Gemeinde,Altersklassen,Geschlecht,Männer,Frauen,Insgesamt
001 Aldein,0,,17,10,27
001 Aldein,1,,13,5,18
001 Aldein,2,,16,16,32
001 Aldein,3,,8,15,23
001 Aldein,4,,17,9,26
001 Aldein,5,,8,8,16
001 Aldein,6,,9,12,21
001 Aldein,7,,14,7,21
001 Aldein,8,,13,11,24
001 Aldein,9,,9,13,22
001 Aldein,10,,7,8,15
001 Aldein,11,,7,6,13
001 Aldein,12,,9,17,26
001 Aldein,13,,11,9,20
001 Aldein,14,,11,8,19
001 Aldein,15,,11,10,21
001 Aldein,16,,12,12,24
001 Aldein,17,,10,7,17
001 Aldein,18,,14,12,26
001 Aldein,19,,15,7,22
001 Aldein,20,,10,16,26
001 Aldein,21,,10,15,25
001 Aldein,22,,10,18,28
001 Aldein,23,,10,9,19
001 Aldein,24,,8,23,31
001 Aldein,25,,13,17,30
001 Aldein,26,,18,18,36
001 Aldein,27,,11,16,27
001 Aldein,28,,14,10,24
001 Aldein,29,,16,12,28
001 Aldein,30,,19,17,36
001 Aldein,31,,15,16,31
001 Aldein,32,,22,9,31
001 Aldein,33,,14,17,31
001 Aldein,34,,6,16,22
001 Aldein,35,,7,20,27
001 Aldein,36,,17,11,28
001 Aldein,37,,15,10,25
001 Aldein,38,,14,6,20
001 Aldein,39,,9,15,24
001 Aldein,40,,15,17,32
001 Aldein,41,,17,9,26
001 Aldein,42,,12,13,25
001 Aldein,43,,8,5,13
001 Aldein,44,,9,10,19
001 Aldein,45,,10,9,19
001 Aldein,46,,8,10,18
001 Aldein,47,,10,7,17
001 Aldein,48,,8,10,18
001 Aldein,49,,9,5,14
001 Aldein,50,,15,11,26
001 Aldein,51,,5,12,17
001 Aldein,52,,8,6,14
001 Aldein,53,,10,9,19
001 Aldein,54,,5,11,16
001 Aldein,55,,7,11,18
001 Aldein,56,,7,5,12
001 Aldein,57,,6,6,12
001 Aldein,58,,11,11,22
001 Aldein,59,,8,13,21
001 Aldein,60,,6,12,18
001 Aldein,61,,9,8,17
001 Aldein,62,,5,8,13
001 Aldein,63,,5,7,12
001 Aldein,64,,7,9,16
001 Aldein,65,,9,6,15
001 Aldein,66,,4,4,8
001 Aldein,67,,15,5,20
001 Aldein,68,,8,3,11
001 Aldein,69,,5,8,13
001 Aldein,70,,8,3,11
001 Aldein,71,,6,5,11
001 Aldein,72,,9,9,18
001 Aldein,73,,6,3,9
001 Aldein,74,,5,6,11
001 Aldein,75,,1,5,6
001 Aldein,76,,3,5,8
001 Aldein,77,,2,8,10
001 Aldein,78,,2,5,7
001 Aldein,79,,1,9,10
001 Aldein,80,,4,12,16
001 Aldein,81,,4,2,6
001 Aldein,82,,-,4,4
001 Aldein,83,,1,-,1
001 Aldein,84,,-,1,1
001 Aldein,85,,2,1,3
001 Aldein,87,,-,3,3
001 Aldein,88,,-,3,3
001 Aldein,89,,2,2,4
001 Aldein,90,,-,1,1
001 Aldein,91,,2,-,2
001 Aldein,92,,-,1,1
001 Aldein,93,,-,2,2
001 Aldein,94,,-,1,1
001 Aldein,95,,-,1,1
002 Andrian,0,,2,4,6
002 Andrian,1,,4,4,8
002 Andrian,2,,2,7,9
002 Andrian,3,,6,1,7
002 Andrian,4,,9,5,14
002 Andrian,5,,2,10,12
002 Andrian,6,,9,4,13
002 Andrian,7,,4,4,8
002 Andrian,8,,5,5,10
002 Andrian,9,,6,6,12
002 Andrian,10,,5,7,12
002 Andrian,11,,5,4,9
002 Andrian,12,,4,4,8
002 Andrian,13,,12,6,18
002 Andrian,14,,6,7,13
002 Andrian,15,,8,6,14
002 Andrian,16,,1,4,5
002 Andrian,17,,6,4,10
002 Andrian,18,,5,2,7
002 Andrian,19,,10,6,16
002 Andrian,20,,1,3,4
002 Andrian,21,,5,2,7
002 Andrian,22,,6,4,10
002 Andrian,23,,5,4,9
002 Andrian,24,,4,3,7
002 Andrian,25,,5,4,9
002 Andrian,26,,4,2,6
002 Andrian,27,,5,6,11
002 Andrian,28,,4,7,11
002 Andrian,29,,6,5,11
002 Andrian,30,,6,10,16
002 Andrian,31,,13,5,18
002 Andrian,32,,4,6,10
002 Andrian,33,,8,8,16
002 Andrian,34,,10,9,19
002 Andrian,35,,9,8,17
002 Andrian,36,,11,7,18
002 Andrian,37,,7,7,14
002 Andrian,38,,8,10,18
002 Andrian,39,,6,6,12
002 Andrian,40,,7,2,9
002 Andrian,41,,6,4,10
002 Andrian,42,,5,4,9
002 Andrian,43,,7,8,15
