Gemeinde,Altersklassen,Geschlecht,Männer,Frauen,Insgesamt
001 Aldein,0,,16,9,25
001 Aldein,1,,10,11,21
001 Aldein,2,,16,10,26
001 Aldein,3,,13,4,17
001 Aldein,4,,16,14,30
001 Aldein,5,,10,15,25
001 Aldein,6,,14,9,23
001 Aldein,7,,7,8,15
001 Aldein,8,,9,12,21
001 Aldein,9,,14,8,22
001 Aldein,10,,13,12,25
001 Aldein,11,,9,13,22
001 Aldein,12,,7,8,15
001 Aldein,13,,8,6,14
001 Aldein,14,,9,16,25
001 Aldein,15,,11,9,20
001 Aldein,16,,11,8,19
001 Aldein,17,,11,10,21
001 Aldein,18,,12,12,24
001 Aldein,19,,10,7,17
001 Aldein,20,,14,13,27
001 Aldein,21,,15,6,21
001 Aldein,22,,10,14,24
001 Aldein,23,,10,15,25
001 Aldein,24,,11,19,30
001 Aldein,25,,10,7,17
001 Aldein,26,,8,22,30
001 Aldein,27,,13,16,29
001 Aldein,28,,16,16,32
001 Aldein,29,,11,15,26
001 Aldein,30,,16,8,24
001 Aldein,31,,18,13,31
001 Aldein,32,,16,16,32
001 Aldein,33,,13,15,28
001 Aldein,34,,22,7,29
001 Aldein,35,,12,16,28
001 Aldein,36,,6,16,22
001 Aldein,37,,7,20,27
001 Aldein,38,,17,10,27
001 Aldein,39,,14,10,24
001 Aldein,40,,15,6,21
001 Aldein,41,,8,16,24
001 Aldein,42,,15,16,31
001 Aldein,43,,16,9,25
001 Aldein,44,,12,13,25
001 Aldein,45,,8,5,13
001 Aldein,46,,9,10,19
001 Aldein,47,,10,8,18
001 Aldein,48,,8,10,18
001 Aldein,49,,9,7,16
001 Aldein,50,,8,10,18
001 Aldein,51,,9,5,14
001 Aldein,52,,15,11,26
001 Aldein,53,,5,12,17
001 Aldein,54,,8,6,14
001 Aldein,55,,9,9,18
001 Aldein,56,,6,11,17
001 Aldein,57,,7,11,18
001 Aldein,58,,10,5,15
001 Aldein,59,,6,7,13
001 Aldein,60,,11,10,21
001 Aldein,61,,8,13,21
001 Aldein,62,,6,12,18
001 Aldein,63,,9,8,17
001 Aldein,64,,5,8,13
001 Aldein,65,,6,7,13
001 Aldein,66,,7,10,17
001 Aldein,67,,8,6,14
001 Aldein,68,,4,4,8
001 Aldein,69,,15,5,20
001 Aldein,70,,8,3,11
001 Aldein,71,,4,7,11
001 Aldein,72,,8,4,12
001 Aldein,73,,5,5,10
001 Aldein,74,,8,9,17
001 Aldein,75,,5,3,8
001 Aldein,76,,6,5,11
001 Aldein,77,,-,5,5
001 Aldein,78,,1,5,6
001 Aldein,79,,2,8,10
001 Aldein,80,,2,5,7
001 Aldein,81,,1,9,10
001 Aldein,82,,4,10,14
001 Aldein,83,,4,2,6
001 Aldein,84,,-,4,4
001 Aldein,86,,-,1,1
001 Aldein,87,,2,1,3
001 Aldein,89,,-,1,1
001 Aldein,90,,-,3,3
001 Aldein,91,,2,2,4
001 Aldein,93,,1,-,1
001 Aldein,96,,-,1,1
002 Andrian,0,,7,5,12
002 Andrian,1,,2,-,2
002 Andrian,2,,2,5,7
002 Andrian,3,,5,4,9
002 Andrian,4,,2,6,8
002 Andrian,5,,8,1,9
002 Andrian,6,,9,6,15
002 Andrian,7,,2,10,12
002 Andrian,8,,8,4,12
002 Andrian,9,,5,5,10
002 Andrian,10,,5,5,10
002 Andrian,11,,6,6,12
002 Andrian,12,,5,7,12
002 Andrian,13,,5,4,9
002 Andrian,14,,4,3,7
002 Andrian,15,,12,7,19
002 Andrian,16,,6,7,13
002 Andrian,17,,8,6,14
002 Andrian,18,,1,3,4
002 Andrian,19,,6,5,11
002 Andrian,20,,5,2,7
002 Andrian,21,,10,6,16
002 Andrian,22,,2,3,5
002 Andrian,23,,6,3,9
002 Andrian,24,,6,4,10
002 Andrian,25,,5,6,11
002 Andrian,26,,4,5,9
002 Andrian,27,,5,4,9
002 Andrian,28,,5,3,8
002 Andrian,29,,5,7,12
002 Andrian,30,,6,8,14
002 Andrian,31,,7,6,13
002 Andrian,32,,7,12,19
002 Andrian,33,,12,5,17
002 Andrian,34,,5,7,12
002 Andrian,35,,8,8,16
002 Andrian,36,,8,7,15
002 Andrian,37,,9,7,16
002 Andrian,38,,10,7,17
002 Andrian,39,,8,7,15
002 Andrian,40,,7,13,20
002 Andrian,41,,9,7,16
002 Andrian,42,,8,2,10
002 Andrian,43,,7,4,11
002 Andrian,44,,6,5,11
002 Andrian,45,,8,8,16
002 Andrian,46,,5,7,12
002 Andrian,47,,5,9,14
002 Andrian,48,,2,4,6
002 Andrian,49,,6,2,8
002 Andrian,50,,7,7,14
002 Andrian,51,,2,3,5
002 Andrian,52,,3,3,6
002 Andrian,53,,7,6,13
002 Andrian,54,,4,2,6
002 Andrian,55,,7,3,10
002 Andrian,56,,5,5,10
002 Andrian,57,,4,8,12
002 Andrian,58,,1,2,3
002 Andrian,59,,1,3,4
002 Andrian,60,,5,7,12
002 Andrian,61,,4,5,9
002 Andrian,62,,6,4,10
002 Andrian,63,,4,8,12
002 Andrian,64,,1,8,9
002 Andrian,65,,4,4,8
002 Andrian,66,,6,4,10
002 Andrian,67,,2,2,4
002 Andrian,68,,2,3,5
002 Andrian,69,,5,3,8
002 Andrian,70,,3,4,7
002 Andrian,71,,7,5,12
002 Andrian,72,,3,4,7
002 Andrian,73,,4,1,5
002 Andrian,74,,2,1,3
002 Andrian,75,,2,4,6
002 Andrian,76,,1,2,3
002 Andrian,77,,3,4,7
002 Andrian,78,,2,1,3
002 Andrian,79,,2,5,7
002 Andrian,80,,1,1,2
002 Andrian,81,,1,4,5
002 Andrian,82,,1,4,5
002 Andrian,83,,1,-,1
002 Andrian,84,,2,2,4
002 Andrian,85,,1,1,2
002 Andrian,87,,1,-,1
002 Andrian,88,,1,2,3
002 Andrian,89,,1,1,2
002 Andrian,90,,1,1,2
002 Andrian,92,,-,1,1
002 Andrian,96,,-,1,1
003 Altrei,0,,-,1,1
003 Altrei,1,,3,2,5
003 Altrei,2,,3,1,4
003 Altrei,3,,1,1,2
003 Altrei,4,,3,-,3
003 Altrei,5,,3,1,4
003 Altrei,6,,1,1,2
003 Altrei,7,,-,3,3
003 Altrei,8,,1,2,3
003 Altrei,9,,3,2,5
