Gemeinde,Altersklassen,Geschlecht,Männer,Frauen,Insgesamt
001 Aldein,0,,13,5,18
001 Aldein,1,,16,16,32
001 Aldein,2,,8,16,24
001 Aldein,3,,17,9,26
001 Aldein,4,,8,8,16
001 Aldein,5,,9,12,21
001 Aldein,6,,14,7,21
001 Aldein,7,,13,11,24
001 Aldein,8,,9,13,22
001 Aldein,9,,7,8,15
001 Aldein,10,,7,6,13
001 Aldein,11,,9,17,26
001 Aldein,12,,11,9,20
001 Aldein,13,,11,8,19
001 Aldein,14,,11,10,21
001 Aldein,15,,12,12,24
001 Aldein,16,,10,7,17
001 Aldein,17,,14,12,26
001 Aldein,18,,15,7,22
001 Aldein,19,,10,16,26
001 Aldein,20,,10,15,25
001 Aldein,21,,10,17,27
001 Aldein,22,,10,8,18
001 Aldein,23,,7,23,30
001 Aldein,24,,14,16,30
001 Aldein,25,,18,17,35
001 Aldein,26,,11,17,28
001 Aldein,27,,14,9,23
001 Aldein,28,,18,12,30
001 Aldein,29,,18,17,35
001 Aldein,30,,17,16,33
001 Aldein,31,,23,10,33
001 Aldein,32,,13,17,30
001 Aldein,33,,7,16,23
001 Aldein,34,,7,20,27
001 Aldein,35,,17,12,29
001 Aldein,36,,14,10,24
001 Aldein,37,,15,6,21
001 Aldein,38,,10,15,25
001 Aldein,39,,15,17,32
001 Aldein,40,,17,9,26
001 Aldein,41,,12,13,25
001 Aldein,42,,9,5,14
001 Aldein,43,,9,10,19
001 Aldein,44,,10,10,20
001 Aldein,45,,8,10,18
001 Aldein,46,,10,7,17
001 Aldein,47,,8,9,17
001 Aldein,48,,9,5,14
001 Aldein,49,,15,11,26
001 Aldein,50,,5,12,17
001 Aldein,51,,8,6,14
001 Aldein,52,,10,9,19
001 Aldein,53,,5,11,16
001 Aldein,54,,7,11,18
001 Aldein,55,,7,5,12
001 Aldein,56,,6,6,12
001 Aldein,57,,11,11,22
001 Aldein,58,,8,13,21
001 Aldein,59,,7,12,19
001 Aldein,60,,9,8,17
001 Aldein,61,,4,9,13
001 Aldein,62,,6,7,13
001 Aldein,63,,7,9,16
001 Aldein,64,,9,6,15
001 Aldein,65,,4,4,8
001 Aldein,66,,15,5,20
001 Aldein,67,,8,3,11
001 Aldein,68,,5,8,13
001 Aldein,69,,9,4,13
001 Aldein,70,,6,6,12
001 Aldein,71,,9,9,18
001 Aldein,72,,6,3,9
001 Aldein,73,,6,6,12
001 Aldein,74,,1,7,8
001 Aldein,75,,3,6,9
001 Aldein,76,,3,7,10
001 Aldein,77,,2,5,7
001 Aldein,78,,1,9,10
001 Aldein,79,,4,12,16
001 Aldein,80,,4,2,6
001 Aldein,81,,1,4,5
001 Aldein,82,,2,1,3
001 Aldein,83,,-,1,1
001 Aldein,84,,2,1,3
001 Aldein,85,,2,-,2
001 Aldein,86,,-,3,3
001 Aldein,87,,-,5,5
001 Aldein,88,,3,2,5
001 Aldein,89,,1,1,2
001 Aldein,90,,2,1,3
001 Aldein,91,,-,1,1
001 Aldein,92,,-,2,2
001 Aldein,93,,-,1,1
001 Aldein,94,,-,1,1
001 Aldein,96,,-,1,1
002 Andrian,0,,4,4,8
002 Andrian,1,,2,7,9
002 Andrian,2,,5,1,6
002 Andrian,3,,9,5,14
002 Andrian,4,,2,10,12
002 Andrian,5,,9,4,13
002 Andrian,6,,4,4,8
002 Andrian,7,,5,6,11
002 Andrian,8,,6,6,12
002 Andrian,9,,6,7,13
002 Andrian,10,,5,4,9
002 Andrian,11,,4,4,8
002 Andrian,12,,12,6,18
002 Andrian,13,,6,7,13
002 Andrian,14,,8,6,14
002 Andrian,15,,1,4,5
002 Andrian,16,,6,4,10
002 Andrian,17,,5,2,7
002 Andrian,18,,10,6,16
002 Andrian,19,,1,3,4
002 Andrian,20,,5,2,7
002 Andrian,21,,5,3,8
002 Andrian,22,,4,4,8
002 Andrian,23,,5,2,7
002 Andrian,24,,5,4,9
002 Andrian,25,,4,2,6
002 Andrian,26,,5,6,11
002 Andrian,27,,4,6,10
002 Andrian,28,,5,5,10
002 Andrian,29,,6,11,17
002 Andrian,30,,11,7,18
002 Andrian,31,,4,6,10
002 Andrian,32,,8,7,15
002 Andrian,33,,9,9,18
002 Andrian,34,,10,7,17
002 Andrian,35,,10,7,17
002 Andrian,36,,6,8,14
002 Andrian,37,,8,11,19
002 Andrian,38,,6,6,12
002 Andrian,39,,7,2,9
002 Andrian,40,,7,4,11
002 Andrian,41,,5,4,9
002 Andrian,42,,8,8,16
002 Andrian,43,,5,8,13
002 Andrian,44,,6,9,15
002 Andrian,45,,2,4,6
002 Andrian,46,,7,2,9
002 Andrian,47,,7,6,13
002 Andrian,48,,2,3,5
002 Andrian,49,,4,3,7
002 Andrian,50,,6,6,12
002 Andrian,51,,4,2,6
002 Andrian,52,,6,3,9
002 Andrian,53,,5,4,9
002 Andrian,54,,4,7,11
002 Andrian,55,,1,2,3
002 Andrian,56,,1,3,4
002 Andrian,57,,5,7,12
002 Andrian,58,,4,5,9
002 Andrian,59,,6,4,10
002 Andrian,60,,3,8,11
002 Andrian,61,,1,7,8
002 Andrian,62,,4,4,8
002 Andrian,63,,6,4,10
002 Andrian,64,,2,3,5
002 Andrian,65,,3,3,6
002 Andrian,66,,5,3,8
002 Andrian,67,,3,4,7
002 Andrian,68,,7,4,11
002 Andrian,69,,3,5,8
002 Andrian,70,,4,1,5
002 Andrian,71,,2,1,3
002 Andrian,72,,2,4,6
002 Andrian,73,,1,2,3
002 Andrian,74,,4,4,8
002 Andrian,75,,2,1,3
002 Andrian,76,,2,4,6
002 Andrian,77,,1,2,3
002 Andrian,78,,1,5,6
002 Andrian,79,,1,4,5
002 Andrian,80,,1,1,2
002 Andrian,81,,2,3,5
002 Andrian,82,,2,1,3
002 Andrian,84,,1,-,1
002 Andrian,85,,1,2,3
002 Andrian,86,,1,1,2
002 Andrian,87,,1,1,2
002 Andrian,88,,-,2,2
002 Andrian,90,,-,1,1
002 Andrian,93,,-,1,1
002 Andrian,97,,-,1,1
003 Altrei,0,,1,1,2
003 Altrei,1,,3,-,3
003 Altrei,2,,4,1,5
003 Altrei,3,,1,1,2
003 Altrei,4,,-,3,3
003 Altrei,5,,1,1,2
003 Altrei,6,,3,2,5
003 Altrei,7,,3,-,3
003 Altrei,8,,6,2,8
003 Altrei,9,,1,1,2
003 Altrei,10,,3,2,5
003 Altrei,11,,2,2,4
003 Altrei,12,,4,4,8
003 Altrei,13,,1,1,2
003 Altrei,14,,3,3,6
003 Altrei,15,,2,2,4
003 Altrei,16,,3,1,4
003 Altrei,17,,4,2,6
003 Altrei,18,,2,2,4
003 Altrei,19,,3,1,4
003 Altrei,20,,3,4,7
003 Altrei,21,,-,1,1
003 Altrei,22,,2,5,7
003 Altrei,23,,-,4,4
003 Altrei,24,,2,3,5
003 Altrei,25,,2,1,3
003 Altrei,26,,1,2,3
003 Altrei,27,,2,3,5
003 Altrei,28,,3,1,4
003 Altrei,29,,5,5,10
003 Altrei,30,,1,3,4
003 Altrei,31,,3,5,8
003 Altrei,32,,-,3,3
003 Altrei,33,,3,-,3
003 Altrei,34,,3,5,8
003 Altrei,35,,2,5,7
003 Altrei,36,,3,5,8
003 Altrei,37,,2,2,4
003 Altrei,38,,9,1,10
003 Altrei,39,,2,3,5
003 Altrei,40,,5,2,7
003 Altrei,41,,5,2,7
003 Altrei,42,,1,3,4
003 Altrei,43,,1,3,4
003 Altrei,44,,5,1,6
003 Altrei,45,,3,3,6
003 Altrei,46,,1,1,2
003 Altrei,47,,3,2,5
003 Altrei,48,,6,3,9
003 Altrei,49,,6,3,9
003 Altrei,50,,1,2,3
003 Altrei,51,,1,-,1
003 Altrei,52,,3,3,6
003 Altrei,53,,3,2,5
003 Altrei,54,,1,3,4
003 Altrei,55,,4,-,4
003 Altrei,56,,2,3,5
003 Altrei,57,,1,3,4
003 Altrei,58,,3,1,4
003 Altrei,59,,1,2,3
003 Altrei,60,,2,4,6
003 Altrei,61,,1,3,4
003 Altrei,62,,1,-,1
003 Altrei,63,,2,1,3
003 Altrei,64,,2,1,3
003 Altrei,65,,3,2,5
003 Altrei,66,,-,2,2
003 Altrei,67,,3,3,6
003 Altrei,68,,-,3,3
003 Altrei,69,,-,2,2
003 Altrei,70,,4,2,6
003 Altrei,71,,2,3,5
003 Altrei,72,,-,2,2
003 Altrei,73,,3,4,7
003 Altrei,74,,2,4,6
003 Altrei,75,,-,3,3
003 Altrei,76,,1,3,4
003 Altrei,77,,1,2,3
003 Altrei,78,,1,1,2
003 Altrei,79,,-,1,1
003 Altrei,80,,2,1,3
003 Altrei,81,,-,1,1
003 Altrei,82,,-,1,1
003 Altrei,83,,-,3,3
003 Altrei,85,,-,1,1
003 Altrei,86,,-,3,3
003 Altrei,87,,1,1,2
003 Altrei,88,,2,-,2
003 Altrei,89,,-,2,2
003 Altrei,92,,-,1,1
003 Altrei,94,,1,-,1
004 Eppan a.d. Weinstr.,0,,70,90,160
004 Eppan a.d. Weinstr.,1,,70,59,129
004 Eppan a.d. Weinstr.,2,,87,79,166
004 Eppan a.d. Weinstr.,3,,73,70,143
004 Eppan a.d. Weinstr.,4,,78,72,150
004 Eppan a.d. Weinstr.,5,,69,61,130
004 Eppan a.d. Weinstr.,6,,71,71,142
004 Eppan a.d. Weinstr.,7,,79,87,166
004 Eppan a.d. Weinstr.,8,,66,76,142
004 Eppan a.d. Weinstr.,9,,76,62,138
004 Eppan a.d. Weinstr.,10,,84,61,145
004 Eppan a.d. Weinstr.,11,,74,58,132
004 Eppan a.d. Weinstr.,12,,75,82,157
004 Eppan a.d. Weinstr.,13,,70,61,131
004 Eppan a.d. Weinstr.,14,,81,69,150
004 Eppan a.d. Weinstr.,15,,78,54,132
004 Eppan a.d. Weinstr.,16,,76,72,148
004 Eppan a.d. Weinstr.,17,,65,64,129
004 Eppan a.d. Weinstr.,18,,67,64,131
004 Eppan a.d. Weinstr.,19,,55,69,124
004 Eppan a.d. Weinstr.,20,,80,69,149
004 Eppan a.d. Weinstr.,21,,72,65,137
004 Eppan a.d. Weinstr.,22,,76,74,150
004 Eppan a.d. Weinstr.,23,,79,52,131
004 Eppan a.d. Weinstr.,24,,69,68,137
004 Eppan a.d. Weinstr.,25,,86,80,166
004 Eppan a.d. Weinstr.,26,,68,89,157
004 Eppan a.d. Weinstr.,27,,83,88,171
004 Eppan a.d. Weinstr.,28,,92,115,207
004 Eppan a.d. Weinstr.,29,,109,93,202
004 Eppan a.d. Weinstr.,30,,129,120,249
004 Eppan a.d. Weinstr.,31,,124,117,241
004 Eppan a.d. Weinstr.,32,,110,101,211
004 Eppan a.d. Weinstr.,33,,123,113,236
004 Eppan a.d. Weinstr.,34,,126,137,263
004 Eppan a.d. Weinstr.,35,,104,108,212
004 Eppan a.d. Weinstr.,36,,122,118,240
004 Eppan a.d. Weinstr.,37,,100,128,228
004 Eppan a.d. Weinstr.,38,,118,112,230
004 Eppan a.d. Weinstr.,39,,123,101,224
004 Eppan a.d. Weinstr.,40,,105,111,216
004 Eppan a.d. Weinstr.,41,,120,108,228
004 Eppan a.d. Weinstr.,42,,101,98,199
004 Eppan a.d. Weinstr.,43,,95,92,187
004 Eppan a.d. Weinstr.,44,,87,73,160
004 Eppan a.d. Weinstr.,45,,88,90,178
004 Eppan a.d. Weinstr.,46,,68,90,158
004 Eppan a.d. Weinstr.,47,,85,73,158
004 Eppan a.d. Weinstr.,48,,69,81,150
004 Eppan a.d. Weinstr.,49,,80,65,145
004 Eppan a.d. Weinstr.,50,,61,70,131
004 Eppan a.d. Weinstr.,51,,67,65,132
004 Eppan a.d. Weinstr.,52,,83,67,150
004 Eppan a.d. Weinstr.,53,,71,83,154
004 Eppan a.d. Weinstr.,54,,84,74,158
004 Eppan a.d. Weinstr.,55,,62,51,113
004 Eppan a.d. Weinstr.,56,,72,83,155
004 Eppan a.d. Weinstr.,57,,99,82,181
004 Eppan a.d. Weinstr.,58,,99,82,181
004 Eppan a.d. Weinstr.,59,,68,109,177
004 Eppan a.d. Weinstr.,60,,79,63,142
004 Eppan a.d. Weinstr.,61,,63,83,146
004 Eppan a.d. Weinstr.,62,,62,53,115
004 Eppan a.d. Weinstr.,63,,48,57,105
004 Eppan a.d. Weinstr.,64,,48,50,98
004 Eppan a.d. Weinstr.,65,,46,50,96
004 Eppan a.d. Weinstr.,66,,33,58,91
004 Eppan a.d. Weinstr.,67,,56,58,114
