Gemeinde,Altersklassen,Geschlecht,Männer,Frauen,Insgesamt
001 Aldein,0,,5,10,15
001 Aldein,1,,7,13,20
001 Aldein,2,,8,11,19
001 Aldein,3,,7,15,22
001 Aldein,4,,10,8,18
001 Aldein,5,,17,9,26
001 Aldein,6,,14,9,23
001 Aldein,7,,11,9,20
001 Aldein,8,,16,8,24
001 Aldein,9,,12,4,16
001 Aldein,10,,16,14,30
001 Aldein,11,,10,16,26
001 Aldein,12,,15,8,23
001 Aldein,13,,7,8,15
001 Aldein,14,,8,12,20
001 Aldein,15,,14,7,21
001 Aldein,16,,13,11,24
001 Aldein,17,,9,13,22
001 Aldein,18,,7,7,14
001 Aldein,19,,7,6,13
001 Aldein,20,,9,16,25
001 Aldein,21,,11,9,20
001 Aldein,22,,11,8,19
001 Aldein,23,,12,8,20
001 Aldein,24,,14,14,28
001 Aldein,25,,10,7,17
001 Aldein,26,,11,12,23
001 Aldein,27,,14,4,18
001 Aldein,28,,10,11,21
001 Aldein,29,,9,14,23
001 Aldein,30,,9,12,21
001 Aldein,31,,10,8,18
001 Aldein,32,,9,18,27
001 Aldein,33,,9,15,24
001 Aldein,34,,17,14,31
001 Aldein,35,,13,11,24
001 Aldein,36,,14,10,24
001 Aldein,37,,19,9,28
001 Aldein,38,,14,14,28
001 Aldein,39,,13,15,28
001 Aldein,40,,21,7,28
001 Aldein,41,,12,16,28
001 Aldein,42,,6,14,20
001 Aldein,43,,6,19,25
001 Aldein,44,,16,9,25
001 Aldein,45,,13,11,24
001 Aldein,46,,13,6,19
001 Aldein,47,,8,16,24
001 Aldein,48,,17,14,31
001 Aldein,49,,15,9,24
001 Aldein,50,,11,13,24
001 Aldein,51,,7,5,12
001 Aldein,52,,9,10,19
001 Aldein,53,,9,8,17
001 Aldein,54,,9,9,18
001 Aldein,55,,9,6,15
001 Aldein,56,,9,9,18
001 Aldein,57,,7,4,11
001 Aldein,58,,16,10,26
001 Aldein,59,,5,13,18
001 Aldein,60,,9,6,15
001 Aldein,61,,9,9,18
001 Aldein,62,,5,10,15
001 Aldein,63,,6,11,17
001 Aldein,64,,10,5,15
001 Aldein,65,,5,7,12
001 Aldein,66,,10,10,20
001 Aldein,67,,6,12,18
001 Aldein,68,,5,12,17
001 Aldein,69,,6,8,14
001 Aldein,70,,5,9,14
001 Aldein,71,,7,7,14
001 Aldein,72,,5,10,15
001 Aldein,73,,5,6,11
001 Aldein,74,,4,4,8
001 Aldein,75,,13,4,17
001 Aldein,76,,7,4,11
001 Aldein,77,,3,7,10
001 Aldein,78,,6,4,10
001 Aldein,79,,3,5,8
001 Aldein,80,,6,7,13
001 Aldein,81,,5,1,6
001 Aldein,82,,5,4,9
001 Aldein,83,,-,2,2
001 Aldein,84,,1,4,5
001 Aldein,85,,-,7,7
001 Aldein,86,,2,4,6
001 Aldein,87,,1,9,10
001 Aldein,88,,1,8,9
001 Aldein,89,,2,1,3
001 Aldein,90,,-,2,2
001 Aldein,93,,1,-,1
001 Aldein,96,,-,1,1
001 Aldein,97,,-,1,1
002 Andrian,0,,9,10,19
002 Andrian,1,,8,5,13
002 Andrian,2,,3,6,9
002 Andrian,3,,9,4,13
002 Andrian,4,,6,6,12
002 Andrian,5,,10,4,14
002 Andrian,6,,7,10,17
002 Andrian,7,,3,3,6
002 Andrian,8,,3,4,7
002 Andrian,9,,6,5,11
002 Andrian,10,,4,5,9
002 Andrian,11,,8,3,11
002 Andrian,12,,8,7,15
002 Andrian,13,,3,10,13
002 Andrian,14,,8,4,12
002 Andrian,15,,7,7,14
002 Andrian,16,,5,4,9
002 Andrian,17,,6,6,12
002 Andrian,18,,5,8,13
002 Andrian,19,,5,5,10
002 Andrian,20,,5,4,9
002 Andrian,21,,11,6,17
002 Andrian,22,,6,8,14
002 Andrian,23,,10,6,16
002 Andrian,24,,1,3,4
002 Andrian,25,,10,5,15
002 Andrian,26,,8,3,11
002 Andrian,27,,10,9,19
002 Andrian,28,,4,6,10
002 Andrian,29,,8,5,13
002 Andrian,30,,6,10,16
002 Andrian,31,,7,4,11
002 Andrian,32,,8,8,16
002 Andrian,33,,10,10,20
002 Andrian,34,,9,4,13
002 Andrian,35,,7,10,17
002 Andrian,36,,14,9,23
002 Andrian,37,,8,11,19
002 Andrian,38,,11,11,22
002 Andrian,39,,12,6,18
002 Andrian,40,,6,8,14
002 Andrian,41,,8,9,17
002 Andrian,42,,10,9,19
002 Andrian,43,,10,9,19
002 Andrian,44,,12,12,24
002 Andrian,45,,8,9,17
002 Andrian,46,,7,13,20
002 Andrian,47,,11,7,18
002 Andrian,48,,8,3,11
002 Andrian,49,,7,6,13
002 Andrian,50,,9,5,14
002 Andrian,51,,8,8,16
002 Andrian,52,,9,7,16
002 Andrian,53,,4,9,13
002 Andrian,54,,2,5,7
002 Andrian,55,,6,3,9
002 Andrian,56,,6,8,14
002 Andrian,57,,3,3,6
002 Andrian,58,,3,3,6
002 Andrian,59,,6,5,11
002 Andrian,60,,4,2,6
002 Andrian,61,,5,4,9
002 Andrian,62,,5,4,9
002 Andrian,63,,7,8,15
002 Andrian,64,,1,2,3
002 Andrian,65,,1,4,5
002 Andrian,66,,6,7,13
002 Andrian,67,,3,5,8
002 Andrian,68,,6,4,10
002 Andrian,69,,3,7,10
002 Andrian,70,,1,7,8
002 Andrian,71,,4,3,7
002 Andrian,72,,5,4,9
002 Andrian,73,,2,3,5
002 Andrian,74,,4,2,6
002 Andrian,75,,5,2,7
002 Andrian,76,,3,4,7
002 Andrian,77,,7,4,11
002 Andrian,78,,3,4,7
002 Andrian,79,,4,2,6
002 Andrian,80,,2,1,3
002 Andrian,81,,1,3,4
002 Andrian,82,,-,2,2
002 Andrian,83,,3,4,7
002 Andrian,84,,1,1,2
002 Andrian,85,,1,4,5
002 Andrian,86,,-,1,1
002 Andrian,87,,1,2,3
002 Andrian,88,,1,3,4
002 Andrian,89,,1,-,1
002 Andrian,90,,1,1,2
002 Andrian,91,,-,1,1
002 Andrian,94,,-,1,1
002 Andrian,95,,1,1,2
003 Altrei,0,,2,2,4
003 Altrei,1,,1,3,4
003 Altrei,2,,6,4,10
003 Altrei,3,,2,-,2
003 Altrei,4,,3,1,4
003 Altrei,5,,1,1,2
003 Altrei,6,,-,1,1
003 Altrei,7,,2,1,3
003 Altrei,8,,4,1,5
003 Altrei,9,,1,1,2
003 Altrei,10,,3,-,3
003 Altrei,11,,3,1,4
003 Altrei,12,,-,1,1
003 Altrei,13,,-,2,2
003 Altrei,14,,1,2,3
003 Altrei,15,,3,2,5
003 Altrei,16,,3,-,3
003 Altrei,17,,6,3,9
003 Altrei,18,,1,-,1
003 Altrei,19,,3,2,5
003 Altrei,20,,1,2,3
003 Altrei,21,,4,6,10
003 Altrei,22,,2,1,3
003 Altrei,23,,3,2,5
003 Altrei,24,,3,2,5
003 Altrei,25,,3,-,3
003 Altrei,26,,4,1,5
003 Altrei,27,,3,3,6
003 Altrei,28,,3,2,5
003 Altrei,29,,2,2,4
003 Altrei,30,,1,2,3
003 Altrei,31,,2,4,6
003 Altrei,32,,-,2,2
003 Altrei,33,,2,3,5
003 Altrei,34,,4,1,5
003 Altrei,35,,1,-,1
003 Altrei,36,,2,3,5
003 Altrei,37,,4,-,4
003 Altrei,38,,4,3,7
003 Altrei,39,,1,3,4
003 Altrei,40,,3,5,8
003 Altrei,41,,1,4,5
003 Altrei,42,,3,1,4
003 Altrei,43,,2,4,6
003 Altrei,44,,2,5,7
003 Altrei,45,,3,6,9
003 Altrei,46,,2,2,4
003 Altrei,47,,10,2,12
003 Altrei,48,,2,3,5
003 Altrei,49,,5,2,7
003 Altrei,50,,5,4,9
003 Altrei,51,,2,3,5
003 Altrei,52,,1,2,3
003 Altrei,53,,5,1,6
003 Altrei,54,,2,3,5
003 Altrei,55,,1,1,2
003 Altrei,56,,3,2,5
003 Altrei,57,,6,3,9
003 Altrei,58,,5,3,8
003 Altrei,59,,1,3,4
003 Altrei,60,,1,-,1
003 Altrei,61,,3,2,5
003 Altrei,62,,3,2,5
003 Altrei,63,,2,3,5
003 Altrei,64,,3,1,4
003 Altrei,65,,2,3,5
003 Altrei,66,,1,3,4
003 Altrei,67,,3,1,4
003 Altrei,68,,1,3,4
003 Altrei,69,,2,4,6
003 Altrei,70,,2,3,5
003 Altrei,71,,1,1,2
003 Altrei,72,,3,1,4
003 Altrei,73,,3,1,4
003 Altrei,74,,3,2,5
003 Altrei,75,,-,2,2
003 Altrei,76,,2,2,4
003 Altrei,77,,-,3,3
003 Altrei,78,,-,2,2
003 Altrei,79,,1,1,2
003 Altrei,80,,2,2,4
003 Altrei,81,,-,2,2
003 Altrei,82,,2,3,5
003 Altrei,83,,1,4,5
003 Altrei,85,,-,2,2
003 Altrei,86,,-,1,1
003 Altrei,87,,-,1,1
003 Altrei,88,,-,1,1
003 Altrei,92,,-,2,2
003 Altrei,94,,-,1,1
003 Altrei,95,,-,1,1
003 Altrei,98,,-,1,1
004 Eppan a.d. Weinstr.,0,,76,66,142
004 Eppan a.d. Weinstr.,1,,86,96,182
004 Eppan a.d. Weinstr.,2,,73,66,139
004 Eppan a.d. Weinstr.,3,,107,79,186
004 Eppan a.d. Weinstr.,4,,73,105,178
004 Eppan a.d. Weinstr.,5,,85,68,153
004 Eppan a.d. Weinstr.,6,,81,65,146
004 Eppan a.d. Weinstr.,7,,78,76,154
004 Eppan a.d. Weinstr.,8,,76,74,150
004 Eppan a.d. Weinstr.,9,,71,76,147
004 Eppan a.d. Weinstr.,10,,89,57,146
004 Eppan a.d. Weinstr.,11,,86,83,169
004 Eppan a.d. Weinstr.,12,,71,68,139
004 Eppan a.d. Weinstr.,13,,76,75,151
004 Eppan a.d. Weinstr.,14,,70,70,140
004 Eppan a.d. Weinstr.,15,,76,78,154
004 Eppan a.d. Weinstr.,16,,83,87,170
004 Eppan a.d. Weinstr.,17,,70,68,138
004 Eppan a.d. Weinstr.,18,,84,64,148
004 Eppan a.d. Weinstr.,19,,85,63,148
004 Eppan a.d. Weinstr.,20,,81,68,149
004 Eppan a.d. Weinstr.,21,,81,87,168
004 Eppan a.d. Weinstr.,22,,77,65,142
004 Eppan a.d. Weinstr.,23,,90,80,170
004 Eppan a.d. Weinstr.,24,,85,62,147
004 Eppan a.d. Weinstr.,25,,85,77,162
004 Eppan a.d. Weinstr.,26,,76,87,163
004 Eppan a.d. Weinstr.,27,,82,94,176
004 Eppan a.d. Weinstr.,28,,74,96,170
004 Eppan a.d. Weinstr.,29,,92,95,187
004 Eppan a.d. Weinstr.,30,,87,83,170
004 Eppan a.d. Weinstr.,31,,99,94,193
004 Eppan a.d. Weinstr.,32,,89,89,178
004 Eppan a.d. Weinstr.,33,,88,91,179
004 Eppan a.d. Weinstr.,34,,94,109,203
004 Eppan a.d. Weinstr.,35,,96,108,204
004 Eppan a.d. Weinstr.,36,,108,104,212
004 Eppan a.d. Weinstr.,37,,111,134,245
004 Eppan a.d. Weinstr.,38,,116,102,218
004 Eppan a.d. Weinstr.,39,,133,118,251
004 Eppan a.d. Weinstr.,40,,143,128,271
004 Eppan a.d. Weinstr.,41,,122,119,241
004 Eppan a.d. Weinstr.,42,,130,126,256
