Gemeinde,Altersklassen,Geschlecht,Männer,Frauen,Insgesamt
001 Aldein,0,,15,8,23
001 Aldein,1,,6,8,14
001 Aldein,2,,9,12,21
001 Aldein,3,,13,7,20
001 Aldein,4,,12,10,22
001 Aldein,5,,8,12,20
001 Aldein,6,,7,7,14
001 Aldein,7,,7,6,13
001 Aldein,8,,9,17,26
001 Aldein,9,,12,9,21
001 Aldein,10,,11,7,18
001 Aldein,11,,11,10,21
001 Aldein,12,,12,12,24
001 Aldein,13,,10,7,17
001 Aldein,14,,14,12,26
001 Aldein,15,,18,7,25
001 Aldein,16,,10,16,26
001 Aldein,17,,10,15,25
001 Aldein,18,,10,20,30
001 Aldein,19,,10,9,19
001 Aldein,20,,7,23,30
001 Aldein,21,,14,17,31
001 Aldein,22,,17,20,37
001 Aldein,23,,10,20,30
001 Aldein,24,,14,11,25
001 Aldein,25,,18,12,30
001 Aldein,26,,18,23,41
001 Aldein,27,,16,18,34
001 Aldein,28,,20,8,28
001 Aldein,29,,13,17,30
001 Aldein,30,,8,17,25
001 Aldein,31,,9,21,30
001 Aldein,32,,19,11,30
001 Aldein,33,,14,8,22
001 Aldein,34,,15,6,21
001 Aldein,35,,10,14,24
001 Aldein,36,,16,17,33
001 Aldein,37,,17,9,26
001 Aldein,38,,13,14,27
001 Aldein,39,,8,5,13
001 Aldein,40,,9,10,19
001 Aldein,41,,10,10,20
001 Aldein,42,,10,10,20
001 Aldein,43,,11,7,18
001 Aldein,44,,8,9,17
001 Aldein,45,,7,4,11
001 Aldein,46,,15,10,25
001 Aldein,47,,6,12,18
001 Aldein,48,,10,6,16
001 Aldein,49,,10,9,19
001 Aldein,50,,4,11,15
001 Aldein,51,,7,11,18
001 Aldein,52,,7,5,12
001 Aldein,53,,6,6,12
001 Aldein,54,,11,11,22
001 Aldein,55,,8,13,21
001 Aldein,56,,7,12,19
001 Aldein,57,,9,9,18
001 Aldein,58,,4,10,14
001 Aldein,59,,6,8,14
001 Aldein,60,,8,9,17
001 Aldein,61,,10,6,16
001 Aldein,62,,4,4,8
001 Aldein,63,,16,5,21
001 Aldein,64,,9,4,13
001 Aldein,65,,5,8,13
001 Aldein,66,,10,4,14
001 Aldein,67,,7,6,13
001 Aldein,68,,9,10,19
001 Aldein,69,,6,4,10
001 Aldein,70,,7,6,13
001 Aldein,71,,3,7,10
001 Aldein,72,,3,7,10
001 Aldein,73,,5,8,13
001 Aldein,74,,3,6,9
001 Aldein,75,,2,9,11
001 Aldein,76,,6,14,20
001 Aldein,77,,6,3,9
001 Aldein,78,,1,4,5
001 Aldein,79,,2,3,5
001 Aldein,80,,-,3,3
001 Aldein,81,,2,2,4
001 Aldein,82,,2,3,5
001 Aldein,83,,1,3,4
001 Aldein,84,,1,5,6
001 Aldein,85,,3,3,6
001 Aldein,86,,1,2,3
001 Aldein,87,,2,3,5
001 Aldein,88,,2,1,3
001 Aldein,89,,-,2,2
001 Aldein,90,,1,1,2
001 Aldein,91,,-,2,2
001 Aldein,93,,-,1,1
001 Aldein,95,,-,1,1
001 Aldein,Insgesamt,,792,844,1.636
002 Andrian,0,,8,5,13
002 Andrian,1,,2,10,12
002 Andrian,2,,7,5,12
002 Andrian,3,,5,4,9
002 Andrian,4,,5,6,11
002 Andrian,5,,6,6,12
002 Andrian,6,,7,7,14
002 Andrian,7,,5,4,9
002 Andrian,8,,4,5,9
002 Andrian,9,,12,6,18
002 Andrian,10,,6,7,13
002 Andrian,11,,8,6,14
002 Andrian,12,,1,4,5
002 Andrian,13,,6,4,10
002 Andrian,14,,5,2,7
002 Andrian,15,,10,7,17
002 Andrian,16,,1,3,4
002 Andrian,17,,5,2,7
002 Andrian,18,,5,3,8
002 Andrian,19,,4,4,8
002 Andrian,20,,4,4,8
002 Andrian,21,,6,4,10
002 Andrian,22,,4,2,6
002 Andrian,23,,6,3,9
002 Andrian,24,,5,7,12
002 Andrian,25,,4,5,9
002 Andrian,26,,6,8,14
002 Andrian,27,,9,8,17
002 Andrian,28,,5,8,13
002 Andrian,29,,8,7,15
002 Andrian,30,,8,5,13
002 Andrian,31,,10,9,19
002 Andrian,32,,10,7,17
002 Andrian,33,,6,6,12
002 Andrian,34,,6,12,18
002 Andrian,35,,6,6,12
002 Andrian,36,,7,2,9
002 Andrian,37,,7,4,11
002 Andrian,38,,7,3,10
002 Andrian,39,,8,8,16
002 Andrian,40,,5,8,13
002 Andrian,41,,6,9,15
002 Andrian,42,,1,4,5
002 Andrian,43,,6,2,8
002 Andrian,44,,6,6,12
002 Andrian,45,,3,3,6
002 Andrian,46,,4,3,7
002 Andrian,47,,7,6,13
002 Andrian,48,,4,1,5
002 Andrian,49,,6,5,11
002 Andrian,50,,5,4,9
002 Andrian,51,,3,7,10
002 Andrian,52,,1,2,3
002 Andrian,53,,1,3,4
002 Andrian,54,,5,7,12
002 Andrian,55,,4,5,9
002 Andrian,56,,6,3,9
002 Andrian,57,,5,8,13
002 Andrian,58,,1,8,9
002 Andrian,59,,4,4,8
002 Andrian,60,,6,4,10
002 Andrian,61,,2,3,5
002 Andrian,62,,3,3,6
002 Andrian,63,,5,3,8
002 Andrian,64,,3,4,7
002 Andrian,65,,7,5,12
002 Andrian,66,,4,5,9
002 Andrian,67,,3,1,4
002 Andrian,68,,2,1,3
002 Andrian,69,,3,5,8
002 Andrian,70,,1,2,3
002 Andrian,71,,4,4,8
002 Andrian,72,,2,1,3
002 Andrian,73,,2,5,7
002 Andrian,74,,1,2,3
002 Andrian,75,,1,5,6
002 Andrian,76,,1,4,5
002 Andrian,77,,1,1,2
002 Andrian,78,,2,3,5
002 Andrian,79,,2,2,4
002 Andrian,81,,1,-,1
002 Andrian,82,,1,2,3
002 Andrian,83,,1,2,3
002 Andrian,84,,1,2,3
002 Andrian,85,,-,2,2
002 Andrian,87,,-,1,1
002 Andrian,88,,1,1,2
002 Andrian,89,,-,1,1
002 Andrian,90,,2,1,3
002 Andrian,92,,-,1,1
002 Andrian,94,,-,1,1
002 Andrian,Insgesamt,,389,393,782
003 Altrei,0,,2,1,3
003 Altrei,1,,-,2,2
003 Altrei,2,,1,1,2
003 Altrei,3,,3,2,5
003 Altrei,4,,3,-,3
003 Altrei,5,,6,2,8
003 Altrei,6,,1,1,2
003 Altrei,7,,3,2,5
003 Altrei,8,,2,2,4
003 Altrei,9,,4,4,8
003 Altrei,10,,2,1,3
003 Altrei,11,,3,3,6
003 Altrei,12,,2,2,4
003 Altrei,13,,3,1,4
003 Altrei,14,,4,2,6
003 Altrei,15,,2,2,4
003 Altrei,16,,3,2,5
003 Altrei,17,,3,4,7
003 Altrei,18,,-,1,1
003 Altrei,19,,2,3,5
003 Altrei,20,,-,4,4
003 Altrei,21,,2,3,5
003 Altrei,22,,2,1,3
003 Altrei,23,,1,2,3
003 Altrei,24,,2,4,6
003 Altrei,25,,3,1,4
003 Altrei,26,,5,4,9
003 Altrei,27,,1,3,4
003 Altrei,28,,3,5,8
003 Altrei,29,,-,2,2
003 Altrei,30,,2,-,2
003 Altrei,31,,4,5,9
003 Altrei,32,,2,5,7
003 Altrei,33,,3,5,8
003 Altrei,34,,3,3,6
003 Altrei,35,,9,1,10
003 Altrei,36,,2,3,5
003 Altrei,37,,5,3,8
003 Altrei,38,,5,2,7
003 Altrei,39,,1,3,4
003 Altrei,40,,1,3,4
003 Altrei,41,,5,1,6
003 Altrei,42,,3,3,6
003 Altrei,43,,1,1,2
003 Altrei,44,,3,2,5
003 Altrei,45,,6,3,9
003 Altrei,46,,6,4,10
003 Altrei,47,,1,2,3
003 Altrei,48,,2,-,2
003 Altrei,49,,3,3,6
003 Altrei,50,,2,2,4
003 Altrei,51,,1,2,3
003 Altrei,52,,4,-,4
003 Altrei,53,,2,2,4
003 Altrei,54,,1,3,4
003 Altrei,55,,3,1,4
003 Altrei,56,,1,2,3
003 Altrei,57,,2,4,6
003 Altrei,58,,1,3,4
003 Altrei,59,,1,-,1
003 Altrei,60,,2,1,3
003 Altrei,61,,2,1,3
003 Altrei,62,,3,2,5
003 Altrei,63,,-,2,2
003 Altrei,64,,3,3,6
003 Altrei,65,,-,3,3
003 Altrei,66,,-,2,2
003 Altrei,67,,5,2,7
003 Altrei,68,,2,3,5
003 Altrei,69,,-,2,2
003 Altrei,70,,3,4,7
003 Altrei,71,,2,4,6
