Gemeinde,Altersklassen,Geschlecht,Männer,Frauen,Insgesamt
001 Aldein,0,,16,17,33
001 Aldein,1,,9,17,26
001 Aldein,2,,17,9,26
001 Aldein,3,,8,8,16
001 Aldein,4,,8,12,20
001 Aldein,5,,14,7,21
001 Aldein,6,,13,11,24
001 Aldein,7,,9,13,22
001 Aldein,8,,7,8,15
001 Aldein,9,,7,6,13
001 Aldein,10,,9,17,26
001 Aldein,11,,11,9,20
001 Aldein,12,,11,8,19
001 Aldein,13,,11,10,21
001 Aldein,14,,12,12,24
001 Aldein,15,,10,7,17
001 Aldein,16,,14,12,26
001 Aldein,17,,15,7,22
001 Aldein,18,,10,16,26
001 Aldein,19,,10,15,25
001 Aldein,20,,10,20,30
001 Aldein,21,,10,8,18
001 Aldein,22,,7,22,29
001 Aldein,23,,14,17,31
001 Aldein,24,,18,18,36
001 Aldein,25,,11,17,28
001 Aldein,26,,16,11,27
001 Aldein,27,,19,11,30
001 Aldein,28,,18,20,38
001 Aldein,29,,17,17,34
001 Aldein,30,,23,10,33
001 Aldein,31,,11,17,28
001 Aldein,32,,8,16,24
001 Aldein,33,,7,21,28
001 Aldein,34,,17,12,29
001 Aldein,35,,16,10,26
001 Aldein,36,,15,7,22
001 Aldein,37,,10,15,25
001 Aldein,38,,15,17,32
001 Aldein,39,,17,9,26
001 Aldein,40,,12,13,25
001 Aldein,41,,8,5,13
001 Aldein,42,,9,10,19
001 Aldein,43,,10,10,20
001 Aldein,44,,8,10,18
001 Aldein,45,,10,7,17
001 Aldein,46,,8,9,17
001 Aldein,47,,9,5,14
001 Aldein,48,,15,10,25
001 Aldein,49,,5,12,17
001 Aldein,50,,9,6,15
001 Aldein,51,,10,9,19
001 Aldein,52,,5,11,16
001 Aldein,53,,7,11,18
001 Aldein,54,,7,5,12
001 Aldein,55,,6,6,12
001 Aldein,56,,11,11,22
001 Aldein,57,,8,13,21
001 Aldein,58,,7,12,19
001 Aldein,59,,9,8,17
001 Aldein,60,,4,9,13
001 Aldein,61,,6,8,14
001 Aldein,62,,8,9,17
001 Aldein,63,,9,6,15
001 Aldein,64,,4,4,8
001 Aldein,65,,15,5,20
001 Aldein,66,,8,3,11
001 Aldein,67,,5,8,13
001 Aldein,68,,10,4,14
001 Aldein,69,,6,6,12
001 Aldein,70,,9,10,19
001 Aldein,71,,6,3,9
001 Aldein,72,,6,6,12
001 Aldein,73,,2,7,9
001 Aldein,74,,3,6,9
001 Aldein,75,,3,8,11
001 Aldein,76,,2,6,8
001 Aldein,77,,2,9,11
001 Aldein,78,,5,12,17
001 Aldein,79,,5,2,7
001 Aldein,80,,1,4,5
001 Aldein,81,,2,3,5
001 Aldein,82,,-,1,1
001 Aldein,83,,2,2,4
001 Aldein,84,,2,-,2
001 Aldein,85,,-,3,3
001 Aldein,86,,1,5,6
001 Aldein,87,,3,3,6
001 Aldein,88,,1,1,2
001 Aldein,89,,2,1,3
001 Aldein,90,,1,1,2
001 Aldein,91,,-,2,2
001 Aldein,92,,-,1,1
001 Aldein,93,,-,2,2
001 Aldein,95,,-,1,1
001 Aldein,97,,-,1,1
002 Andrian,0,,2,9,11
002 Andrian,1,,5,2,7
002 Andrian,2,,9,5,14
002 Andrian,3,,2,10,12
002 Andrian,4,,8,4,12
002 Andrian,5,,4,4,8
002 Andrian,6,,5,6,11
002 Andrian,7,,6,6,12
002 Andrian,8,,7,7,14
002 Andrian,9,,5,4,9
002 Andrian,10,,4,3,7
002 Andrian,11,,12,6,18
002 Andrian,12,,6,7,13
002 Andrian,13,,8,6,14
002 Andrian,14,,1,4,5
002 Andrian,15,,6,4,10
002 Andrian,16,,5,2,7
002 Andrian,17,,10,6,16
002 Andrian,18,,1,3,4
002 Andrian,19,,5,2,7
002 Andrian,20,,5,3,8
002 Andrian,21,,4,4,8
002 Andrian,22,,5,3,8
002 Andrian,23,,6,4,10
002 Andrian,24,,4,2,6
002 Andrian,25,,6,5,11
002 Andrian,26,,4,8,12
002 Andrian,27,,4,5,9
002 Andrian,28,,6,11,17
002 Andrian,29,,9,8,17
002 Andrian,30,,5,6,11
002 Andrian,31,,8,7,15
002 Andrian,32,,8,7,15
002 Andrian,33,,10,8,18
002 Andrian,34,,10,7,17
002 Andrian,35,,7,7,14
002 Andrian,36,,6,11,17
002 Andrian,37,,6,6,12
002 Andrian,38,,7,2,9
002 Andrian,39,,7,4,11
002 Andrian,40,,5,4,9
002 Andrian,41,,8,8,16
002 Andrian,42,,5,8,13
002 Andrian,43,,5,9,14
002 Andrian,44,,1,4,5
002 Andrian,45,,7,2,9
002 Andrian,46,,7,6,13
002 Andrian,47,,2,3,5
002 Andrian,48,,4,3,7
002 Andrian,49,,7,6,13
002 Andrian,50,,4,2,6
002 Andrian,51,,6,3,9
002 Andrian,52,,5,4,9
002 Andrian,53,,4,7,11
002 Andrian,54,,1,2,3
002 Andrian,55,,1,3,4
002 Andrian,56,,5,7,12
002 Andrian,57,,4,5,9
002 Andrian,58,,5,3,8
002 Andrian,59,,4,7,11
002 Andrian,60,,1,8,9
002 Andrian,61,,4,4,8
002 Andrian,62,,5,4,9
002 Andrian,63,,2,3,5
002 Andrian,64,,3,3,6
002 Andrian,65,,5,3,8
002 Andrian,66,,3,4,7
002 Andrian,67,,7,5,12
002 Andrian,68,,4,5,9
002 Andrian,69,,3,1,4
002 Andrian,70,,2,1,3
002 Andrian,71,,2,4,6
002 Andrian,72,,1,2,3
002 Andrian,73,,4,4,8
002 Andrian,74,,2,1,3
002 Andrian,75,,2,4,6
002 Andrian,76,,1,2,3
002 Andrian,77,,1,5,6
002 Andrian,78,,1,4,5
002 Andrian,79,,1,1,2
002 Andrian,80,,2,3,5
002 Andrian,81,,2,2,4
002 Andrian,83,,1,-,1
002 Andrian,84,,1,2,3
002 Andrian,85,,1,2,3
002 Andrian,86,,1,2,3
002 Andrian,87,,-,2,2
002 Andrian,89,,-,1,1
002 Andrian,90,,1,1,2
002 Andrian,92,,1,1,2
002 Andrian,96,,-,1,1
003 Altrei,0,,3,-,3
003 Altrei,1,,4,1,5
003 Altrei,2,,1,1,2
003 Altrei,3,,-,3,3
003 Altrei,4,,1,1,2
003 Altrei,5,,3,2,5
003 Altrei,6,,3,-,3
003 Altrei,7,,6,2,8
003 Altrei,8,,1,1,2
003 Altrei,9,,3,2,5
003 Altrei,10,,2,2,4
003 Altrei,11,,4,4,8
003 Altrei,12,,2,1,3
003 Altrei,13,,3,3,6
003 Altrei,14,,2,2,4
003 Altrei,15,,3,1,4
003 Altrei,16,,4,2,6
003 Altrei,17,,2,2,4
003 Altrei,18,,3,2,5
003 Altrei,19,,3,4,7
003 Altrei,20,,-,1,1
003 Altrei,21,,2,5,7
003 Altrei,22,,-,4,4
003 Altrei,23,,2,3,5
003 Altrei,24,,2,1,3
003 Altrei,25,,1,2,3
003 Altrei,26,,2,3,5
003 Altrei,27,,3,1,4
003 Altrei,28,,5,4,9
003 Altrei,29,,1,3,4
003 Altrei,30,,3,5,8
003 Altrei,31,,-,3,3
003 Altrei,32,,3,-,3
003 Altrei,33,,3,5,8
003 Altrei,34,,2,5,7
003 Altrei,35,,3,5,8
003 Altrei,36,,3,3,6
003 Altrei,37,,9,1,10
003 Altrei,38,,2,3,5
003 Altrei,39,,5,3,8
003 Altrei,40,,4,2,6
003 Altrei,41,,1,3,4
003 Altrei,42,,1,3,4
003 Altrei,43,,5,1,6
003 Altrei,44,,3,3,6
003 Altrei,45,,1,1,2
003 Altrei,46,,3,2,5
003 Altrei,47,,6,3,9
003 Altrei,48,,6,3,9
003 Altrei,49,,1,2,3
003 Altrei,50,,1,-,1
003 Altrei,51,,3,3,6
003 Altrei,52,,2,2,4
003 Altrei,53,,1,3,4
003 Altrei,54,,4,-,4
003 Altrei,55,,2,3,5
003 Altrei,56,,1,3,4
003 Altrei,57,,3,1,4
003 Altrei,58,,1,2,3
003 Altrei,59,,2,4,6
003 Altrei,60,,1,3,4
003 Altrei,61,,1,-,1
003 Altrei,62,,2,1,3
003 Altrei,63,,2,1,3
003 Altrei,64,,3,2,5
003 Altrei,65,,-,2,2
003 Altrei,66,,3,3,6
003 Altrei,67,,-,3,3
003 Altrei,68,,-,2,2
003 Altrei,69,,5,2,7
003 Altrei,70,,2,3,5
003 Altrei,71,,-,2,2
003 Altrei,72,,3,4,7
003 Altrei,73,,2,4,6
003 Altrei,74,,-,3,3
003 Altrei,75,,1,3,4
003 Altrei,76,,1,2,3
003 Altrei,77,,2,2,4
003 Altrei,78,,-,2,2
003 Altrei,79,,2,1,3
003 Altrei,80,,-,1,1
003 Altrei,81,,-,1,1
003 Altrei,82,,-,3,3
003 Altrei,84,,-,1,1
003 Altrei,85,,1,3,4
003 Altrei,86,,1,1,2
003 Altrei,87,,3,-,3
003 Altrei,88,,-,2,2
