Gemeinde,Altersklassen,Geschlecht,Männer,Frauen,Insgesamt
001 Aldein,0,,13,7,20
001 Aldein,1,,12,5,17
001 Aldein,2,,13,7,20
001 Aldein,3,,6,11,17
001 Aldein,4,,14,4,18
001 Aldein,5,,2,10,12
001 Aldein,6,,10,4,14
001 Aldein,7,,12,8,20
001 Aldein,8,,7,9,16
001 Aldein,9,,7,11,18
001 Aldein,10,,8,12,20
001 Aldein,11,,8,14,22
001 Aldein,12,,10,8,18
001 Aldein,13,,17,9,26
001 Aldein,14,,17,10,27
001 Aldein,15,,14,7,21
001 Aldein,16,,17,8,25
001 Aldein,17,,13,4,17
001 Aldein,18,,16,15,31
001 Aldein,19,,12,18,30
001 Aldein,20,,16,7,23
001 Aldein,21,,8,7,15
001 Aldein,22,,9,12,21
001 Aldein,23,,11,7,18
001 Aldein,24,,14,13,27
001 Aldein,25,,8,11,19
001 Aldein,26,,5,5,10
001 Aldein,27,,6,5,11
001 Aldein,28,,10,12,22
001 Aldein,29,,10,4,14
001 Aldein,30,,9,6,15
001 Aldein,31,,7,3,10
001 Aldein,32,,13,11,24
001 Aldein,33,,7,6,13
001 Aldein,34,,7,10,17
001 Aldein,35,,10,11,21
001 Aldein,36,,10,13,23
001 Aldein,37,,7,12,19
001 Aldein,38,,12,13,25
001 Aldein,39,,10,8,18
001 Aldein,40,,8,20,28
001 Aldein,41,,8,12,20
001 Aldein,42,,16,10,26
001 Aldein,43,,14,11,25
001 Aldein,44,,13,10,23
001 Aldein,45,,16,7,23
001 Aldein,46,,16,15,31
001 Aldein,47,,14,15,29
001 Aldein,48,,18,8,26
001 Aldein,49,,12,16,28
001 Aldein,50,,6,14,20
001 Aldein,51,,7,19,26
001 Aldein,52,,16,10,26
001 Aldein,53,,16,10,26
001 Aldein,54,,13,6,19
001 Aldein,55,,9,18,27
001 Aldein,56,,17,14,31
001 Aldein,57,,14,9,23
001 Aldein,58,,10,12,22
001 Aldein,59,,7,4,11
001 Aldein,60,,10,10,20
001 Aldein,61,,6,7,13
001 Aldein,62,,9,9,18
001 Aldein,63,,9,7,16
001 Aldein,64,,9,10,19
001 Aldein,65,,7,4,11
001 Aldein,66,,14,10,24
001 Aldein,67,,5,12,17
001 Aldein,68,,9,6,15
001 Aldein,69,,9,8,17
001 Aldein,70,,4,11,15
001 Aldein,71,,6,10,16
001 Aldein,72,,6,5,11
001 Aldein,73,,4,6,10
001 Aldein,74,,8,9,17
001 Aldein,75,,6,9,15
001 Aldein,76,,5,11,16
001 Aldein,77,,4,8,12
001 Aldein,78,,4,9,13
001 Aldein,79,,7,7,14
001 Aldein,80,,5,7,12
001 Aldein,81,,4,3,7
001 Aldein,82,,4,3,7
001 Aldein,83,,6,3,9
001 Aldein,84,,3,2,5
001 Aldein,85,,2,3,5
001 Aldein,86,,3,1,4
001 Aldein,87,,1,1,2
001 Aldein,88,,5,6,11
001 Aldein,89,,1,1,2
001 Aldein,90,,3,3,6
001 Aldein,91,,-,1,1
001 Aldein,92,,1,3,4
001 Aldein,93,,-,2,2
001 Aldein,94,,1,2,3
001 Aldein,95,,-,2,2
001 Aldein,96,,-,1,1
002 Andrian,0,,7,7,14
002 Andrian,1,,1,5,6
002 Andrian,2,,3,3,6
002 Andrian,3,,9,4,13
002 Andrian,4,,5,4,9
002 Andrian,5,,9,4,13
002 Andrian,6,,8,5,13
002 Andrian,7,,8,6,14
002 Andrian,8,,7,11,18
002 Andrian,9,,4,5,9
002 Andrian,10,,5,6,11
002 Andrian,11,,8,3,11
002 Andrian,12,,5,6,11
002 Andrian,13,,9,4,13
002 Andrian,14,,6,10,16
002 Andrian,15,,3,3,6
002 Andrian,16,,3,2,5
002 Andrian,17,,6,4,10
002 Andrian,18,,3,5,8
002 Andrian,19,,9,1,10
002 Andrian,20,,9,7,16
002 Andrian,21,,2,11,13
002 Andrian,22,,8,4,12
002 Andrian,23,,5,3,8
002 Andrian,24,,4,6,10
002 Andrian,25,,7,6,13
002 Andrian,26,,4,10,14
002 Andrian,27,,8,4,12
002 Andrian,28,,5,4,9
002 Andrian,29,,9,6,15
002 Andrian,30,,7,5,12
002 Andrian,31,,8,7,15
002 Andrian,32,,2,4,6
002 Andrian,33,,6,5,11
002 Andrian,34,,6,4,10
002 Andrian,35,,8,11,19
002 Andrian,36,,6,4,10
002 Andrian,37,,5,5,10
002 Andrian,38,,6,7,13
002 Andrian,39,,7,5,12
002 Andrian,40,,8,11,19
002 Andrian,41,,9,10,19
002 Andrian,42,,9,4,13
002 Andrian,43,,5,10,15
002 Andrian,44,,10,9,19
002 Andrian,45,,9,9,18
002 Andrian,46,,9,10,19
002 Andrian,47,,10,6,16
002 Andrian,48,,8,8,16
002 Andrian,49,,10,10,20
002 Andrian,50,,10,8,18
002 Andrian,51,,9,10,19
002 Andrian,52,,13,8,21
002 Andrian,53,,8,6,14
002 Andrian,54,,8,16,24
002 Andrian,55,,10,7,17
002 Andrian,56,,9,4,13
002 Andrian,57,,8,5,13
002 Andrian,58,,7,4,11
002 Andrian,59,,8,10,18
002 Andrian,60,,6,7,13
002 Andrian,61,,6,10,16
002 Andrian,62,,3,3,6
002 Andrian,63,,5,2,7
002 Andrian,64,,7,7,14
002 Andrian,65,,2,3,5
002 Andrian,66,,4,3,7
002 Andrian,67,,6,5,11
002 Andrian,68,,3,2,5
002 Andrian,69,,2,5,7
002 Andrian,70,,6,4,10
002 Andrian,71,,8,8,16
002 Andrian,72,,1,2,3
002 Andrian,73,,1,4,5
002 Andrian,74,,6,7,13
002 Andrian,75,,2,3,5
002 Andrian,76,,5,4,9
002 Andrian,77,,2,6,8
002 Andrian,78,,1,6,7
002 Andrian,79,,3,3,6
002 Andrian,80,,3,3,6
002 Andrian,81,,2,4,6
002 Andrian,82,,3,2,5
002 Andrian,83,,5,1,6
002 Andrian,84,,2,2,4
002 Andrian,85,,4,2,6
002 Andrian,86,,-,2,2
002 Andrian,87,,2,1,3
002 Andrian,88,,2,1,3
002 Andrian,89,,1,1,2
002 Andrian,90,,-,2,2
002 Andrian,91,,1,1,2
002 Andrian,92,,-,2,2
002 Andrian,93,,-,1,1
002 Andrian,96,,-,2,2
002 Andrian,103,,-,1,1
003 Altrei,0,,4,3,7
003 Altrei,1,,-,2,2
003 Altrei,2,,5,2,7
003 Altrei,3,,2,6,8
003 Altrei,4,,2,2,4
003 Altrei,5,,3,3,6
003 Altrei,6,,-,2,2
003 Altrei,8,,2,2,4
003 Altrei,9,,3,4,7
003 Altrei,10,,6,4,10
003 Altrei,11,,2,-,2
003 Altrei,12,,4,2,6
003 Altrei,13,,2,1,3
003 Altrei,14,,-,1,1
003 Altrei,15,,2,1,3
003 Altrei,16,,4,1,5
003 Altrei,17,,1,2,3
003 Altrei,18,,3,-,3
003 Altrei,19,,3,1,4
003 Altrei,20,,-,1,1
003 Altrei,21,,-,3,3
003 Altrei,22,,1,2,3
003 Altrei,23,,3,1,4
003 Altrei,24,,2,-,2
003 Altrei,25,,7,1,8
003 Altrei,26,,-,1,1
003 Altrei,27,,2,2,4
003 Altrei,28,,1,2,3
003 Altrei,29,,2,6,8
003 Altrei,30,,2,3,5
003 Altrei,31,,1,2,3
003 Altrei,32,,4,1,5
003 Altrei,33,,3,3,6
003 Altrei,34,,5,1,6
003 Altrei,35,,2,2,4
003 Altrei,36,,1,2,3
003 Altrei,37,,1,3,4
003 Altrei,38,,1,3,4
003 Altrei,39,,3,4,7
003 Altrei,40,,-,2,2
003 Altrei,41,,2,4,6
003 Altrei,42,,2,2,4
003 Altrei,43,,1,-,1
003 Altrei,44,,1,4,5
003 Altrei,45,,3,1,4
003 Altrei,46,,4,3,7
003 Altrei,47,,2,3,5
003 Altrei,48,,3,5,8
003 Altrei,49,,-,4,4
003 Altrei,50,,3,1,4
003 Altrei,51,,2,4,6
003 Altrei,52,,3,4,7
003 Altrei,53,,3,6,9
003 Altrei,54,,3,3,6
003 Altrei,55,,10,2,12
003 Altrei,56,,2,3,5
003 Altrei,57,,4,2,6
003 Altrei,58,,5,4,9
003 Altrei,59,,2,4,6
003 Altrei,60,,1,2,3
003 Altrei,61,,5,1,6
003 Altrei,62,,3,3,6
003 Altrei,63,,2,-,2
003 Altrei,64,,2,2,4
003 Altrei,65,,6,2,8
003 Altrei,66,,3,3,6
003 Altrei,67,,-,3,3
003 Altrei,68,,1,-,1
003 Altrei,69,,2,2,4
003 Altrei,70,,3,2,5
003 Altrei,71,,2,2,4
003 Altrei,72,,3,1,4
003 Altrei,73,,1,2,3
003 Altrei,74,,2,3,5
003 Altrei,75,,3,1,4
003 Altrei,76,,1,3,4
003 Altrei,77,,3,3,6
003 Altrei,78,,1,2,3
003 Altrei,79,,-,1,1
003 Altrei,80,,2,1,3
003 Altrei,81,,4,1,5
003 Altrei,82,,1,1,2
003 Altrei,83,,-,2,2
003 Altrei,84,,2,2,4
003 Altrei,85,,-,2,2
003 Altrei,86,,-,1,1
003 Altrei,87,,-,1,1
003 Altrei,88,,-,2,2
003 Altrei,89,,-,1,1
003 Altrei,90,,-,1,1
