Gemeinde,Altersklassen,Geschlecht,Männer,Frauen,Insgesamt
001 Aldein,0,,11,5,16
001 Aldein,1,,13,7,20
001 Aldein,2,,8,12,20
001 Aldein,3,,14,4,18
001 Aldein,4,,2,10,12
001 Aldein,5,,9,3,12
001 Aldein,6,,11,9,20
001 Aldein,7,,7,9,16
001 Aldein,8,,6,11,17
001 Aldein,9,,8,13,21
001 Aldein,10,,8,14,22
001 Aldein,11,,10,8,18
001 Aldein,12,,17,9,26
001 Aldein,13,,17,10,27
001 Aldein,14,,14,7,21
001 Aldein,15,,17,8,25
001 Aldein,16,,13,4,17
001 Aldein,17,,16,15,31
001 Aldein,18,,12,18,30
001 Aldein,19,,16,8,24
001 Aldein,20,,8,7,15
001 Aldein,21,,10,13,23
001 Aldein,22,,13,7,20
001 Aldein,23,,14,10,24
001 Aldein,24,,8,11,19
001 Aldein,25,,5,7,12
001 Aldein,26,,7,5,12
001 Aldein,27,,11,12,23
001 Aldein,28,,10,5,15
001 Aldein,29,,9,5,14
001 Aldein,30,,7,2,9
001 Aldein,31,,14,11,25
001 Aldein,32,,7,6,13
001 Aldein,33,,6,9,15
001 Aldein,34,,11,10,21
001 Aldein,35,,10,13,23
001 Aldein,36,,8,12,20
001 Aldein,37,,12,13,25
001 Aldein,38,,10,8,18
001 Aldein,39,,8,20,28
001 Aldein,40,,8,12,20
001 Aldein,41,,16,12,28
001 Aldein,42,,14,12,26
001 Aldein,43,,13,10,23
001 Aldein,44,,17,7,24
001 Aldein,45,,17,15,32
001 Aldein,46,,14,15,29
001 Aldein,47,,17,8,25
001 Aldein,48,,12,16,28
001 Aldein,49,,6,14,20
001 Aldein,50,,6,19,25
001 Aldein,51,,16,10,26
001 Aldein,52,,16,10,26
001 Aldein,53,,13,6,19
001 Aldein,54,,9,17,26
001 Aldein,55,,17,14,31
001 Aldein,56,,14,9,23
001 Aldein,57,,10,12,22
001 Aldein,58,,7,4,11
001 Aldein,59,,10,10,20
001 Aldein,60,,8,8,16
001 Aldein,61,,9,9,18
001 Aldein,62,,9,7,16
001 Aldein,63,,9,9,18
001 Aldein,64,,7,4,11
001 Aldein,65,,14,10,24
001 Aldein,66,,5,13,18
001 Aldein,67,,9,6,15
001 Aldein,68,,9,9,18
001 Aldein,69,,5,11,16
001 Aldein,70,,6,10,16
001 Aldein,71,,6,5,11
001 Aldein,72,,5,6,11
001 Aldein,73,,8,9,17
001 Aldein,74,,6,9,15
001 Aldein,75,,5,12,17
001 Aldein,76,,4,8,12
001 Aldein,77,,4,9,13
001 Aldein,78,,7,7,14
001 Aldein,79,,5,7,12
001 Aldein,80,,4,4,8
001 Aldein,81,,4,3,7
001 Aldein,82,,10,3,13
001 Aldein,83,,3,2,5
001 Aldein,84,,2,4,6
001 Aldein,85,,3,1,4
001 Aldein,86,,1,2,3
001 Aldein,87,,5,6,11
001 Aldein,88,,1,1,2
001 Aldein,89,,3,3,6
001 Aldein,90,,-,1,1
001 Aldein,91,,1,4,5
001 Aldein,92,,-,5,5
001 Aldein,93,,1,3,4
001 Aldein,94,,-,2,2
001 Aldein,95,,1,2,3
002 Andrian,0,,1,4,5
002 Andrian,1,,3,3,6
002 Andrian,2,,8,4,12
002 Andrian,3,,5,4,9
002 Andrian,4,,9,5,14
002 Andrian,5,,8,5,13
002 Andrian,6,,8,6,14
002 Andrian,7,,8,11,19
002 Andrian,8,,4,6,10
002 Andrian,9,,4,7,11
002 Andrian,10,,8,3,11
002 Andrian,11,,6,6,12
002 Andrian,12,,8,4,12
002 Andrian,13,,6,11,17
002 Andrian,14,,3,3,6
002 Andrian,15,,3,2,5
002 Andrian,16,,6,5,11
002 Andrian,17,,3,5,8
002 Andrian,18,,9,1,10
002 Andrian,19,,9,7,16
002 Andrian,20,,2,10,12
002 Andrian,21,,8,3,11
002 Andrian,22,,5,5,10
002 Andrian,23,,4,5,9
002 Andrian,24,,6,6,12
002 Andrian,25,,5,9,14
002 Andrian,26,,9,5,14
002 Andrian,27,,4,5,9
002 Andrian,28,,10,7,17
002 Andrian,29,,7,6,13
002 Andrian,30,,7,6,13
002 Andrian,31,,2,4,6
002 Andrian,32,,7,5,12
002 Andrian,33,,6,4,10
002 Andrian,34,,9,10,19
002 Andrian,35,,6,5,11
002 Andrian,36,,6,5,11
002 Andrian,37,,7,7,14
002 Andrian,38,,7,5,12
002 Andrian,39,,7,12,19
002 Andrian,40,,9,10,19
002 Andrian,41,,10,4,14
002 Andrian,42,,5,10,15
002 Andrian,43,,11,8,19
002 Andrian,44,,9,9,18
002 Andrian,45,,9,10,19
002 Andrian,46,,10,7,17
002 Andrian,47,,8,8,16
002 Andrian,48,,10,10,20
002 Andrian,49,,10,9,19
002 Andrian,50,,10,9,19
002 Andrian,51,,13,9,22
002 Andrian,52,,8,7,15
002 Andrian,53,,8,16,24
002 Andrian,54,,11,7,18
002 Andrian,55,,9,4,13
002 Andrian,56,,8,5,13
002 Andrian,57,,7,4,11
002 Andrian,58,,8,9,17
002 Andrian,59,,6,7,13
002 Andrian,60,,7,10,17
002 Andrian,61,,3,3,6
002 Andrian,62,,5,3,8
002 Andrian,63,,7,7,14
002 Andrian,64,,2,3,5
002 Andrian,65,,4,3,7
002 Andrian,66,,6,5,11
002 Andrian,67,,3,2,5
002 Andrian,68,,2,5,7
002 Andrian,69,,6,4,10
002 Andrian,70,,7,8,15
002 Andrian,71,,1,2,3
002 Andrian,72,,1,4,5
002 Andrian,73,,6,7,13
002 Andrian,74,,2,3,5
