Gemeinde,Altersklassen,Geschlecht,Männer,Frauen,Insgesamt
001 Aldein,0,,8,5,13
001 Aldein,1,,14,8,22
001 Aldein,2,,12,6,18
001 Aldein,3,,13,8,21
001 Aldein,4,,6,11,17
001 Aldein,5,,14,4,18
001 Aldein,6,,2,9,11
001 Aldein,7,,10,4,14
001 Aldein,8,,12,7,19
001 Aldein,9,,7,9,16
001 Aldein,10,,8,11,19
001 Aldein,11,,8,11,19
001 Aldein,12,,8,14,22
001 Aldein,13,,10,8,18
001 Aldein,14,,17,10,27
001 Aldein,15,,16,10,26
001 Aldein,16,,14,8,22
001 Aldein,17,,17,8,25
001 Aldein,18,,13,5,18
001 Aldein,19,,16,14,30
001 Aldein,20,,12,19,31
001 Aldein,21,,15,7,22
001 Aldein,22,,8,7,15
001 Aldein,23,,8,12,20
001 Aldein,24,,10,6,16
001 Aldein,25,,14,13,27
001 Aldein,26,,9,10,19
001 Aldein,27,,5,4,9
001 Aldein,28,,7,6,13
001 Aldein,29,,11,13,24
001 Aldein,30,,11,4,15
001 Aldein,31,,10,6,16
001 Aldein,32,,6,4,10
001 Aldein,33,,13,10,23
001 Aldein,34,,6,6,12
001 Aldein,35,,7,10,17
001 Aldein,36,,10,10,20
001 Aldein,37,,10,13,23
001 Aldein,38,,7,10,17
001 Aldein,39,,12,13,25
001 Aldein,40,,10,8,18
001 Aldein,41,,8,20,28
001 Aldein,42,,8,12,20
001 Aldein,43,,15,10,25
001 Aldein,44,,14,11,25
001 Aldein,45,,13,10,23
001 Aldein,46,,16,7,23
001 Aldein,47,,16,16,32
001 Aldein,48,,14,17,31
001 Aldein,49,,18,9,27
001 Aldein,50,,12,16,28
001 Aldein,51,,6,13,19
001 Aldein,52,,7,19,26
001 Aldein,53,,16,9,25
001 Aldein,54,,16,10,26
001 Aldein,55,,13,6,19
001 Aldein,56,,9,18,27
001 Aldein,57,,16,14,30
001 Aldein,58,,14,9,23
001 Aldein,59,,10,12,22
001 Aldein,60,,6,4,10
001 Aldein,61,,10,9,19
001 Aldein,62,,7,7,14
001 Aldein,63,,9,9,18
001 Aldein,64,,9,6,15
001 Aldein,65,,9,9,18
001 Aldein,66,,7,4,11
001 Aldein,67,,14,10,24
001 Aldein,68,,5,12,17
001 Aldein,69,,9,6,15
001 Aldein,70,,9,9,18
001 Aldein,71,,4,9,13
001 Aldein,72,,6,8,14
001 Aldein,73,,5,5,10
001 Aldein,74,,4,6,10
001 Aldein,75,,8,9,17
001 Aldein,76,,6,9,15
001 Aldein,77,,5,11,16
001 Aldein,78,,4,8,12
001 Aldein,79,,4,9,13
001 Aldein,80,,7,7,14
001 Aldein,81,,3,8,11
001 Aldein,82,,4,3,7
001 Aldein,83,,3,3,6
001 Aldein,84,,6,3,9
001 Aldein,85,,3,2,5
001 Aldein,86,,1,3,4
001 Aldein,87,,3,1,4
001 Aldein,88,,1,1,2
001 Aldein,89,,4,6,10
001 Aldein,90,,1,1,2
001 Aldein,91,,3,2,5
001 Aldein,92,,-,1,1
001 Aldein,93,,1,3,4
001 Aldein,94,,-,2,2
001 Aldein,95,,1,1,2
001 Aldein,96,,-,1,1
001 Aldein,97,,-,1,1
002 Andrian,0,,5,2,7
002 Andrian,1,,6,9,15
002 Andrian,2,,1,5,6
002 Andrian,3,,4,3,7
002 Andrian,4,,10,2,12
002 Andrian,5,,6,4,10
002 Andrian,6,,10,5,15
002 Andrian,7,,9,5,14
002 Andrian,8,,8,6,14
002 Andrian,9,,7,11,18
002 Andrian,10,,4,4,8
002 Andrian,11,,5,6,11
002 Andrian,12,,8,3,11
002 Andrian,13,,5,6,11
002 Andrian,14,,9,4,13
002 Andrian,15,,6,10,16
002 Andrian,16,,3,3,6
002 Andrian,17,,3,2,5
002 Andrian,18,,6,4,10
002 Andrian,19,,3,5,8
002 Andrian,20,,8,1,9
002 Andrian,21,,9,8,17
002 Andrian,22,,2,12,14
002 Andrian,23,,8,4,12
002 Andrian,24,,6,4,10
002 Andrian,25,,4,4,8
002 Andrian,26,,7,7,14
002 Andrian,27,,4,8,12
002 Andrian,28,,8,4,12
002 Andrian,29,,5,4,9
002 Andrian,30,,9,6,15
002 Andrian,31,,7,6,13
002 Andrian,32,,8,8,16
002 Andrian,33,,2,3,5
002 Andrian,34,,6,7,13
002 Andrian,35,,7,5,12
002 Andrian,36,,7,12,19
002 Andrian,37,,7,3,10
002 Andrian,38,,5,5,10
002 Andrian,39,,6,8,14
002 Andrian,40,,7,5,12
002 Andrian,41,,9,10,19
002 Andrian,42,,9,9,18
002 Andrian,43,,7,4,11
002 Andrian,44,,5,10,15
002 Andrian,45,,10,9,19
002 Andrian,46,,8,9,17
002 Andrian,47,,9,9,18
002 Andrian,48,,9,6,15
002 Andrian,49,,10,8,18
002 Andrian,50,,10,10,20
002 Andrian,51,,10,8,18
002 Andrian,52,,9,9,18
002 Andrian,53,,12,8,20
002 Andrian,54,,7,6,13
002 Andrian,55,,7,15,22
002 Andrian,56,,9,7,16
002 Andrian,57,,9,4,13
002 Andrian,58,,9,5,14
002 Andrian,59,,7,4,11
002 Andrian,60,,9,10,19
002 Andrian,61,,6,7,13
002 Andrian,62,,6,10,16
002 Andrian,63,,3,3,6
002 Andrian,64,,5,2,7
002 Andrian,65,,7,6,13
002 Andrian,66,,2,3,5
002 Andrian,67,,4,3,7
002 Andrian,68,,6,5,11
002 Andrian,69,,3,2,5
002 Andrian,70,,2,4,6
002 Andrian,71,,6,4,10
002 Andrian,72,,8,8,16
002 Andrian,73,,1,2,3
002 Andrian,74,,1,4,5
002 Andrian,75,,6,7,13
002 Andrian,76,,2,3,5
002 Andrian,77,,5,5,10
002 Andrian,78,,2,6,8
002 Andrian,79,,1,6,7
002 Andrian,80,,3,3,6
002 Andrian,81,,3,2,5
002 Andrian,82,,2,4,6
002 Andrian,83,,3,2,5
002 Andrian,84,,5,1,6
002 Andrian,85,,3,2,5
002 Andrian,86,,4,2,6
002 Andrian,87,,-,2,2
002 Andrian,88,,2,1,3
002 Andrian,89,,2,-,2
002 Andrian,90,,1,1,2
002 Andrian,91,,-,2,2
002 Andrian,92,,-,1,1
002 Andrian,93,,-,2,2
002 Andrian,94,,-,1,1
002 Andrian,97,,-,1,1
002 Andrian,104,,-,1,1
003 Altrei,0,,2,1,3
003 Altrei,1,,4,3,7
003 Altrei,2,,-,3,3
003 Altrei,3,,5,2,7
003 Altrei,4,,3,6,9
003 Altrei,5,,2,2,4
003 Altrei,6,,3,3,6
003 Altrei,7,,-,2,2
003 Altrei,9,,2,2,4
003 Altrei,10,,3,4,7
003 Altrei,11,,6,4,10
003 Altrei,12,,2,-,2
003 Altrei,13,,4,2,6
003 Altrei,14,,2,1,3
003 Altrei,15,,-,1,1
003 Altrei,16,,2,1,3
003 Altrei,17,,4,1,5
003 Altrei,18,,1,2,3
003 Altrei,19,,3,-,3
003 Altrei,20,,3,1,4
003 Altrei,21,,-,1,1
003 Altrei,22,,1,3,4
003 Altrei,23,,1,2,3
003 Altrei,24,,3,2,5
003 Altrei,25,,2,1,3
003 Altrei,26,,7,2,9
003 Altrei,27,,-,1,1
003 Altrei,28,,2,3,5
003 Altrei,29,,2,2,4
003 Altrei,30,,2,5,7
003 Altrei,31,,2,3,5
003 Altrei,32,,1,2,3
003 Altrei,33,,4,1,5
003 Altrei,34,,3,3,6
003 Altrei,35,,5,1,6
003 Altrei,36,,2,2,4
003 Altrei,37,,1,2,3
003 Altrei,38,,1,3,4
003 Altrei,39,,1,3,4
003 Altrei,40,,3,4,7
003 Altrei,41,,-,2,2
003 Altrei,42,,2,4,6
003 Altrei,43,,2,2,4
003 Altrei,44,,1,-,1
003 Altrei,45,,1,4,5
003 Altrei,46,,3,1,4
003 Altrei,47,,4,2,6
003 Altrei,48,,2,2,4
003 Altrei,49,,3,5,8
003 Altrei,50,,-,4,4
003 Altrei,51,,3,2,5
003 Altrei,52,,1,4,5
003 Altrei,53,,3,4,7
003 Altrei,54,,3,6,9
003 Altrei,55,,3,3,6
003 Altrei,56,,10,2,12
003 Altrei,57,,2,4,6
003 Altrei,58,,4,2,6
003 Altrei,59,,5,4,9
003 Altrei,60,,2,4,6
003 Altrei,61,,1,2,3
003 Altrei,62,,5,1,6
003 Altrei,63,,3,3,6
003 Altrei,64,,2,-,2
003 Altrei,65,,2,2,4
003 Altrei,66,,6,2,8
003 Altrei,67,,3,3,6
003 Altrei,68,,-,3,3
003 Altrei,69,,1,-,1
003 Altrei,70,,2,2,4
003 Altrei,71,,3,2,5
003 Altrei,72,,2,2,4
003 Altrei,73,,3,1,4
003 Altrei,74,,1,2,3
003 Altrei,75,,2,3,5
003 Altrei,76,,3,1,4
003 Altrei,77,,1,3,4
003 Altrei,78,,3,3,6
003 Altrei,79,,1,2,3
003 Altrei,80,,1,1,2
003 Altrei,81,,2,1,3
003 Altrei,82,,4,1,5
003 Altrei,83,,1,-,1
003 Altrei,84,,-,1,1
003 Altrei,85,,2,1,3
003 Altrei,86,,-,2,2
003 Altrei,87,,-,1,1
003 Altrei,88,,-,1,1
003 Altrei,89,,-,1,1
003 Altrei,90,,-,1,1
003 Altrei,91,,-,1,1
004 Eppan a.d. Weinstr.,0,,86,55,141
004 Eppan a.d. Weinstr.,1,,69,75,144
004 Eppan a.d. Weinstr.,2,,80,68,148
004 Eppan a.d. Weinstr.,3,,73,84,157
004 Eppan a.d. Weinstr.,4,,84,79,163
004 Eppan a.d. Weinstr.,5,,71,74,145
004 Eppan a.d. Weinstr.,6,,88,83,171
004 Eppan a.d. Weinstr.,7,,82,81,163
004 Eppan a.d. Weinstr.,8,,80,78,158
004 Eppan a.d. Weinstr.,9,,80,62,142
004 Eppan a.d. Weinstr.,10,,81,98,179
004 Eppan a.d. Weinstr.,11,,73,66,139
004 Eppan a.d. Weinstr.,12,,108,81,189
004 Eppan a.d. Weinstr.,13,,89,109,198
004 Eppan a.d. Weinstr.,14,,92,63,155
004 Eppan a.d. Weinstr.,15,,91,68,159
004 Eppan a.d. Weinstr.,16,,75,80,155
004 Eppan a.d. Weinstr.,17,,82,81,163
004 Eppan a.d. Weinstr.,18,,79,83,162
004 Eppan a.d. Weinstr.,19,,91,64,155
004 Eppan a.d. Weinstr.,20,,88,82,170
004 Eppan a.d. Weinstr.,21,,75,72,147
004 Eppan a.d. Weinstr.,22,,83,75,158
004 Eppan a.d. Weinstr.,23,,80,78,158
004 Eppan a.d. Weinstr.,24,,90,88,178
004 Eppan a.d. Weinstr.,25,,85,99,184
004 Eppan a.d. Weinstr.,26,,82,85,167
004 Eppan a.d. Weinstr.,27,,85,69,154
004 Eppan a.d. Weinstr.,28,,100,71,171
004 Eppan a.d. Weinstr.,29,,84,79,163
004 Eppan a.d. Weinstr.,30,,96,87,183
004 Eppan a.d. Weinstr.,31,,80,71,151
004 Eppan a.d. Weinstr.,32,,100,85,185
004 Eppan a.d. Weinstr.,33,,97,80,177
004 Eppan a.d. Weinstr.,34,,99,92,191
004 Eppan a.d. Weinstr.,35,,82,96,178
004 Eppan a.d. Weinstr.,36,,95,97,192
004 Eppan a.d. Weinstr.,37,,77,104,181
004 Eppan a.d. Weinstr.,38,,95,101,196
004 Eppan a.d. Weinstr.,39,,94,89,183
004 Eppan a.d. Weinstr.,40,,107,97,204
004 Eppan a.d. Weinstr.,41,,105,91,196
004 Eppan a.d. Weinstr.,42,,91,95,186
004 Eppan a.d. Weinstr.,43,,108,106,214
004 Eppan a.d. Weinstr.,44,,99,113,212
004 Eppan a.d. Weinstr.,45,,119,110,229
004 Eppan a.d. Weinstr.,46,,103,122,225
004 Eppan a.d. Weinstr.,47,,124,116,240
004 Eppan a.d. Weinstr.,48,,137,117,254
004 Eppan a.d. Weinstr.,49,,143,128,271
004 Eppan a.d. Weinstr.,50,,127,118,245
004 Eppan a.d. Weinstr.,51,,115,136,251
004 Eppan a.d. Weinstr.,52,,117,142,259
004 Eppan a.d. Weinstr.,53,,115,117,232
004 Eppan a.d. Weinstr.,54,,128,121,249
004 Eppan a.d. Weinstr.,55,,103,117,220
004 Eppan a.d. Weinstr.,56,,124,121,245
004 Eppan a.d. Weinstr.,57,,129,100,229
004 Eppan a.d. Weinstr.,58,,102,124,226
004 Eppan a.d. Weinstr.,59,,109,99,208
004 Eppan a.d. Weinstr.,60,,91,105,196
004 Eppan a.d. Weinstr.,61,,92,91,183
004 Eppan a.d. Weinstr.,62,,84,79,163
004 Eppan a.d. Weinstr.,63,,86,87,173
004 Eppan a.d. Weinstr.,64,,67,91,158
