Gemeinde,Altersklassen,Geschlecht,Männer,Frauen,Insgesamt
001 Aldein,0,,7,11,18
001 Aldein,1,,7,15,22
001 Aldein,2,,10,8,18
001 Aldein,3,,17,9,26
001 Aldein,4,,15,9,24
001 Aldein,5,,11,10,21
001 Aldein,6,,17,7,24
001 Aldein,7,,13,4,17
001 Aldein,8,,16,14,30
001 Aldein,9,,10,16,26
001 Aldein,10,,15,8,23
001 Aldein,11,,7,8,15
001 Aldein,12,,9,12,21
001 Aldein,13,,14,8,22
001 Aldein,14,,13,12,25
001 Aldein,15,,9,13,22
001 Aldein,16,,7,8,15
001 Aldein,17,,7,6,13
001 Aldein,18,,9,16,25
001 Aldein,19,,11,9,20
001 Aldein,20,,12,8,20
001 Aldein,21,,10,9,19
001 Aldein,22,,16,12,28
001 Aldein,23,,9,8,17
001 Aldein,24,,12,13,25
001 Aldein,25,,14,5,19
001 Aldein,26,,11,13,24
001 Aldein,27,,10,14,24
001 Aldein,28,,9,14,23
001 Aldein,29,,11,8,19
001 Aldein,30,,8,18,26
001 Aldein,31,,10,14,24
001 Aldein,32,,17,14,31
001 Aldein,33,,12,14,26
001 Aldein,34,,14,10,24
001 Aldein,35,,20,11,31
001 Aldein,36,,14,15,29
001 Aldein,37,,13,15,28
001 Aldein,38,,22,7,29
001 Aldein,39,,13,16,29
001 Aldein,40,,6,14,20
001 Aldein,41,,6,19,25
001 Aldein,42,,16,9,25
001 Aldein,43,,14,11,25
001 Aldein,44,,13,6,19
001 Aldein,45,,8,17,25
001 Aldein,46,,17,14,31
001 Aldein,47,,15,9,24
001 Aldein,48,,11,13,24
001 Aldein,49,,7,5,12
001 Aldein,50,,9,10,19
001 Aldein,51,,9,8,17
001 Aldein,52,,10,9,19
001 Aldein,53,,9,6,15
001 Aldein,54,,9,9,18
001 Aldein,55,,7,5,12
001 Aldein,56,,16,10,26
001 Aldein,57,,5,12,17
001 Aldein,58,,8,6,14
001 Aldein,59,,9,9,18
001 Aldein,60,,5,10,15
001 Aldein,61,,7,12,19
001 Aldein,62,,10,5,15
001 Aldein,63,,5,7,12
001 Aldein,64,,11,10,21
001 Aldein,65,,7,12,19
001 Aldein,66,,5,12,17
001 Aldein,67,,6,8,14
001 Aldein,68,,5,8,13
001 Aldein,69,,7,7,14
001 Aldein,70,,5,10,15
001 Aldein,71,,8,6,14
001 Aldein,72,,4,4,8
001 Aldein,73,,14,4,18
001 Aldein,74,,7,4,11
001 Aldein,75,,3,7,10
001 Aldein,76,,6,4,10
001 Aldein,77,,4,5,9
001 Aldein,78,,6,8,14
001 Aldein,79,,5,1,6
001 Aldein,80,,5,5,10
001 Aldein,81,,-,4,4
001 Aldein,82,,1,5,6
001 Aldein,83,,-,7,7
001 Aldein,84,,2,4,6
001 Aldein,85,,1,8,9
001 Aldein,86,,2,8,10
001 Aldein,87,,4,1,5
001 Aldein,88,,-,3,3
001 Aldein,91,,1,-,1
001 Aldein,94,,-,2,2
001 Aldein,95,,-,1,1
001 Aldein,100,,-,1,1
002 Andrian,0,,5,7,12
002 Andrian,1,,8,4,12
002 Andrian,2,,7,6,13
002 Andrian,3,,9,3,12
002 Andrian,4,,7,9,16
002 Andrian,5,,3,3,6
002 Andrian,6,,3,3,6
002 Andrian,7,,6,5,11
002 Andrian,8,,3,6,9
002 Andrian,9,,8,2,10
002 Andrian,10,,9,6,15
002 Andrian,11,,2,11,13
002 Andrian,12,,8,4,12
002 Andrian,13,,7,6,13
002 Andrian,14,,5,5,10
002 Andrian,15,,6,6,12
002 Andrian,16,,5,7,12
002 Andrian,17,,5,5,10
002 Andrian,18,,5,4,9
002 Andrian,19,,11,6,17
002 Andrian,20,,5,8,13
