Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,848,807,1.655
002 Andrian,,528,501,1.029
003 Altrei,,202,197,399
004 Eppan a.d. Weinstr.,,7.410,7.540,14.950
005 Hafling,,386,394,780
006 Abtei,,1.717,1.789,3.506
007 Barbian,,878,874,1.752
008 Bozen,,51.987,56.134,108.121
009 Prags,,324,332,656
010 Brenner,,1.146,1.084,2.230
011 Brixen,,10.926,11.569,22.495
012 Branzoll,,1.400,1.414,2.814
013 Bruneck,,8.307,8.419,16.726
014 Kuens,,193,201,394
015 Kaltern a.d. Weinstr.,,3.929,4.182,8.111
016 Freienfeld,,1.367,1.291,2.658
017 Sand in Taufers,,2.732,2.779,5.511
018 Kastelbell-Tschars,,1.182,1.116,2.298
019 Kastelruth,,3.468,3.407,6.875
020 Tscherms,,767,765,1.532
021 Kiens,,1.467,1.420,2.887
022 Klausen,,2.614,2.602,5.216
023 Karneid,,1.756,1.678,3.434
024 Kurtatsch a.d.Weinstr.,,1.124,1.114,2.238
025 Kurtinig a.d. Weinstr.,,327,338,665
026 Corvara,,678,700,1.378
027 Graun im Vinschgau,,1.220,1.169,2.389
028 Toblach,,1.680,1.680,3.360
029 Neumarkt,,2.644,2.769,5.413
030 Pfalzen,,1.420,1.405,2.825
031 Völs am Schlern,,1.770,1.818,3.588
032 Franzensfeste,,510,492,1.002
033 Villnöss,,1.306,1.323,2.629
034 Gais,,1.699,1.610,3.309
035 Gargazon,,849,877,1.726
036 Glurns,,468,432,900
037 Latsch,,2.604,2.612,5.216
038 Algund,,2.431,2.608,5.039
039 Lajen,,1.350,1.367,2.717
040 Leifers,,9.039,9.114,18.153
041 Lana,,6.098,6.438,12.536
042 Laas,,2.022,2.023,4.045
043 Laurein,,186,156,342
044 Lüsen,,782,788,1.570
045 Margreid a.d. Weinstr.,,618,658,1.276
046 Mals,,2.691,2.581,5.272
047 Enneberg,,1.570,1.526,3.096
048 Marling,,1.421,1.377,2.798
049 Martell,,460,381,841
050 Mölten,,879,814,1.693
051 Meran,,19.728,21.242,40.970
052 Welsberg-Taisten,,1.447,1.480,2.927
053 Montan,,840,862,1.702
054 Moos in Passeier,,1.107,980,2.087
055 Nals,,1.006,1.015,2.021
056 Naturns,,2.962,2.910,5.872
057 Natz-Schabs,,1.615,1.617,3.232
058 Welschnofen,,1.026,954,1.980
059 Deutschnofen,,2.010,1.931,3.941
060 Auer,,1.854,1.970,3.824
061 St.Ulrich,,2.402,2.468,4.870
062 Partschins,,1.869,1.916,3.785
063 Percha,,781,785,1.566
064 Plaus,,375,351,726
065 Waidbruck,,111,84,195
066 Burgstall,,911,959,1.870
067 Prad am Stilfser Joch,,1.828,1.797,3.625
068 Prettau,,284,262,546
069 Proveis,,151,114,265
070 Ratschings,,2.299,2.201,4.500
071 Rasen-Antholz,,1.482,1.449,2.931
072 Ritten,,3.963,3.996,7.959
073 Riffian,,702,660,1.362
074 Mühlbach,,1.599,1.552,3.151
075 Rodeneck,,632,608,1.240
076 Salurn,,1.906,1.929,3.835
077 Innichen,,1.660,1.714,3.374
079 Jenesien,,1.571,1.497,3.068
080 St.Leonhard in Pass.,,1.821,1.739,3.560
081 St.Lorenzen,,1.947,1.938,3.885
082 St.Martin in Thurn,,886,881,1.767
083 St.Martin in Passeier,,1.619,1.636,3.255
084 St.Pankraz,,789,755,1.544
085 St.Christina in Gröden,,988,987,1.975
086 Sarntal,,3.625,3.524,7.149
087 Schenna,,1.451,1.463,2.914
088 Mühlwald,,752,681,1.433
089 Wolkenstein in Gröden,,1.312,1.320,2.632
091 Schnals,,630,598,1.228
092 Sexten,,933,948,1.881
093 Schlanders,,3.059,3.157,6.216
094 Schluderns,,930,909,1.839
095 Stilfs,,596,546,1.142
096 Terenten,,913,852,1.765
097 Terlan,,2.223,2.265,4.488
098 Tramin a.d. Weinstr.,,1.687,1.744,3.431
099 Tisens,,978,991,1.969
100 Tiers,,485,524,1.009
101 Tirol,,1.215,1.237,2.452
102 Truden im Naturpark,,507,534,1.041
103 Taufers im Münstertal,,470,500,970
104 Ulten,,1.476,1.422,2.898
105 Pfatten,,557,504,1.061
106 Olang,,1.614,1.592,3.206
107 Pfitsch,,1.564,1.531,3.095
108 Ahrntal,,3.073,2.956,6.029
109 Gsies,,1.176,1.145,2.321
110 Vintl,,1.677,1.662,3.339
111 Vahrn,,2.349,2.346,4.695
112 Vöran,,508,451,959
113 Niederdorf,,817,780,1.597
114 Villanders,,976,899,1.875
115 Sterzing,,3.523,3.467,6.990
116 Feldthurns,,1.520,1.480,3.000
117 Wengen,,719,672,1.391
118 U.L.Frau i.W.-St.Felix,,392,371,763
