Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,797,859,1.656
002 Andrian,,393,394,787
003 Altrei,,191,196,387
004 Eppan a.d. Weinstr.,,6.041,6.234,12.275
005 Hafling,,339,337,676
006 Abtei,,1.400,1.506,2.906
007 Barbian,,744,722,1.466
008 Bozen,,46.262,50.397,96.659
009 Prags,,324,309,633
010 Brenner,,1.145,980,2.125
011 Brixen,,8.736,9.393,18.129
012 Branzoll,,1.106,1.135,2.241
013 Bruneck,,6.567,6.818,13.385
014 Kuens,,163,155,318
015 Kaltern a.d. Weinstr.,,3.203,3.482,6.685
016 Freienfeld,,1.260,1.176,2.436
017 Sand in Taufers,,2.355,2.394,4.749
018 Kastelbell-Tschars,,1.161,1.179,2.340
019 Kastelruth,,2.949,2.993,5.942
020 Tscherms,,584,591,1.175
021 Kiens,,1.329,1.263,2.592
022 Klausen,,2.244,2.261,4.505
023 Karneid,,1.542,1.456,2.998
024 Kurtatsch a.d.Weinstr.,,969,1.010,1.979
025 Kurtinig a.d. Weinstr.,,288,297,585
026 Corvara,,637,624,1.261
027 Graun im Vinschgau,,1.249,1.158,2.407
028 Toblach,,1.616,1.623,3.239
029 Neumarkt,,2.113,2.150,4.263
030 Pfalzen,,1.091,1.068,2.159
031 Völs am Schlern,,1.514,1.459,2.973
032 Franzensfeste,,432,429,861
033 Villnöss,,1.193,1.175,2.368
034 Gais,,1.373,1.252,2.625
035 Gargazon,,648,652,1.300
036 Glurns,,426,442,868
037 Latsch,,2.346,2.406,4.752
038 Algund,,1.883,1.805,3.688
039 Lajen,,1.086,1.037,2.123
040 Leifers,,7.285,7.485,14.770
041 Lana,,4.487,4.792,9.279
042 Laas,,1.879,1.811,3.690
043 Laurein,,185,168,353
044 Lüsen,,719,733,1.452
045 Margreid a.d. Weinstr.,,567,570,1.137
046 Mals,,2.474,2.352,4.826
047 Enneberg,,1.347,1.315,2.662
048 Marling,,1.122,1.101,2.223
049 Martell,,466,412,878
050 Mölten,,708,639,1.347
051 Meran,,16.096,17.904,34.000
052 Welsberg-Taisten,,1.258,1.261,2.519
053 Montan,,727,716,1.443
054 Moos in Passeier,,1.135,1.058,2.193
055 Nals,,753,768,1.521
056 Naturns,,2.501,2.492,4.993
057 Natz-Schabs,,1.185,1.138,2.323
058 Welschnofen,,907,906,1.813
059 Deutschnofen,,1.757,1.735,3.492
060 Auer,,1.418,1.498,2.916
061 St.Ulrich,,2.204,2.216,4.420
062 Partschins,,1.553,1.605,3.158
063 Percha,,651,630,1.281
064 Plaus,,254,246,500
065 Waidbruck,,85,88,173
066 Burgstall,,666,702,1.368
067 Prad am Stilfser Joch,,1.625,1.547,3.172
068 Prettau,,321,330,651
069 Proveis,,161,128,289
070 Ratschings,,2.047,1.855,3.902
071 Rasen-Antholz,,1.405,1.281,2.686
072 Ritten,,3.457,3.384,6.841
073 Riffian,,588,580,1.168
074 Mühlbach,,1.300,1.289,2.589
075 Rodeneck,,581,542,1.123
076 Salurn,,1.437,1.472,2.909
077 Innichen,,1.532,1.547,3.079
079 Jenesien,,1.299,1.294,2.593
080 St.Leonhard in Pass.,,1.744,1.685,3.429
081 St.Lorenzen,,1.669,1.659,3.328
082 St.Martin in Thurn,,827,780,1.607
083 St.Martin in Passeier,,1.434,1.398,2.832
084 St.Pankraz,,824,777,1.601
085 St.Christina in Gröden,,838,860,1.698
086 Sarntal,,3.337,3.204,6.541
087 Schenna,,1.346,1.281,2.627
088 Mühlwald,,766,678,1.444
089 Wolkenstein in Gröden,,1.217,1.234,2.451
091 Schnals,,734,677,1.411
092 Sexten,,952,953,1.905
093 Schlanders,,2.862,2.878,5.740
094 Schluderns,,888,886,1.774
095 Stilfs,,680,654,1.334
096 Terenten,,798,745,1.543
097 Terlan,,1.693,1.765,3.458
098 Tramin a.d. Weinstr.,,1.499,1.645,3.144
099 Tisens,,853,866,1.719
100 Tiers,,438,433,871
101 Tirol,,1.186,1.187,2.373
102 Truden im Naturpark,,455,485,940
103 Taufers im Münstertal,,480,482,962
104 Ulten,,1.506,1.494,3.000
105 Pfatten,,442,431,873
106 Olang,,1.372,1.390,2.762
107 Pfitsch,,1.336,1.315,2.651
108 Ahrntal,,2.776,2.704,5.480
109 Gsies,,1.039,1.035,2.074
110 Vintl,,1.612,1.536,3.148
111 Vahrn,,1.711,1.770,3.481
112 Vöran,,464,411,875
113 Niederdorf,,653,668,1.321
114 Villanders,,907,887,1.794
115 Sterzing,,2.774,2.882,5.656
116 Feldthurns,,1.193,1.250,2.443
117 Wengen,,647,598,1.245
118 U.L.Frau i.W.-St.Felix,,399,386,785
Insgesamt,,226.192,232.376,458.568
