Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,832,837,1.669
002 Andrian,,460,448,908
003 Altrei,,200,194,394
004 Eppan a.d. Weinstr.,,6.548,6.709,13.257
005 Hafling,,354,357,711
006 Abtei,,1.546,1.633,3.179
007 Barbian,,794,758,1.552
008 Bozen,,47.403,51.566,98.969
009 Prags,,322,325,647
010 Brenner,,1.051,993,2.044
011 Brixen,,9.373,10.037,19.410
012 Branzoll,,1.208,1.218,2.426
013 Bruneck,,6.976,7.215,14.191
014 Kuens,,178,166,344
015 Kaltern a.d. Weinstr.,,3.491,3.782,7.273
016 Freienfeld,,1.325,1.244,2.569
017 Sand in Taufers,,2.509,2.491,5.000
018 Kastelbell-Tschars,,1.169,1.153,2.322
019 Kastelruth,,3.112,3.111,6.223
020 Tscherms,,659,671,1.330
021 Kiens,,1.351,1.327,2.678
022 Klausen,,2.457,2.462,4.919
023 Karneid,,1.681,1.558,3.239
024 Kurtatsch a.d.Weinstr.,,1.082,1.092,2.174
025 Kurtinig a.d. Weinstr.,,297,319,616
026 Corvara,,637,616,1.253
027 Graun im Vinschgau,,1.230,1.169,2.399
028 Toblach,,1.641,1.623,3.264
029 Neumarkt,,2.234,2.377,4.611
030 Pfalzen,,1.206,1.187,2.393
031 Völs am Schlern,,1.587,1.559,3.146
032 Franzensfeste,,483,448,931
033 Villnöss,,1.222,1.216,2.438
034 Gais,,1.558,1.497,3.055
035 Gargazon,,720,767,1.487
036 Glurns,,443,435,878
037 Latsch,,2.513,2.524,5.037
038 Algund,,2.050,2.198,4.248
039 Lajen,,1.231,1.205,2.436
040 Leifers,,7.875,7.949,15.824
041 Lana,,5.078,5.334,10.412
042 Laas,,1.917,1.865,3.782
043 Laurein,,188,178,366
044 Lüsen,,738,736,1.474
045 Margreid a.d. Weinstr.,,595,596,1.191
046 Mals,,2.525,2.422,4.947
047 Enneberg,,1.441,1.352,2.793
048 Marling,,1.147,1.137,2.284
049 Martell,,472,410,882
050 Mölten,,785,721,1.506
051 Meran,,16.912,18.424,35.336
052 Welsberg-Taisten,,1.330,1.329,2.659
053 Montan,,807,761,1.568
054 Moos in Passeier,,1.133,1.037,2.170
055 Nals,,813,832,1.645
056 Naturns,,2.621,2.549,5.170
057 Natz-Schabs,,1.353,1.287,2.640
058 Welschnofen,,948,921,1.869
059 Deutschnofen,,1.863,1.838,3.701
060 Auer,,1.633,1.743,3.376
061 St.Ulrich,,2.263,2.321,4.584
062 Partschins,,1.622,1.694,3.316
063 Percha,,694,687,1.381
064 Plaus,,317,283,600
065 Waidbruck,,104,88,192
066 Burgstall,,783,820,1.603
067 Prad am Stilfser Joch,,1.674,1.607,3.281
068 Prettau,,310,295,605
069 Proveis,,154,122,276
070 Ratschings,,2.170,1.989,4.159
071 Rasen-Antholz,,1.435,1.352,2.787
072 Ritten,,3.592,3.524,7.116
073 Riffian,,609,592,1.201
074 Mühlbach,,1.369,1.339,2.708
075 Rodeneck,,607,551,1.158
076 Salurn,,1.626,1.652,3.278
077 Innichen,,1.543,1.568,3.111
079 Jenesien,,1.414,1.421,2.835
080 St.Leonhard in Pass.,,1.756,1.653,3.409
081 St.Lorenzen,,1.795,1.745,3.540
082 St.Martin in Thurn,,873,841,1.714
083 St.Martin in Passeier,,1.498,1.487,2.985
084 St.Pankraz,,831,743,1.574
085 St.Christina in Gröden,,915,902,1.817
086 Sarntal,,3.421,3.251,6.672
087 Schenna,,1.395,1.348,2.743
088 Mühlwald,,786,683,1.469
089 Wolkenstein in Gröden,,1.269,1.304,2.573
091 Schnals,,726,681,1.407
092 Sexten,,958,977,1.935
093 Schlanders,,2.903,2.982,5.885
094 Schluderns,,932,908,1.840
095 Stilfs,,651,617,1.268
096 Terenten,,861,802,1.663
097 Terlan,,1.872,1.969,3.841
098 Tramin a.d. Weinstr.,,1.541,1.648,3.189
099 Tisens,,891,922,1.813
100 Tiers,,457,479,936
101 Tirol,,1.188,1.153,2.341
102 Truden im Naturpark,,464,509,973
103 Taufers im Münstertal,,488,483,971
104 Ulten,,1.489,1.486,2.975
105 Pfatten,,452,457,909
106 Olang,,1.471,1.450,2.921
107 Pfitsch,,1.365,1.357,2.722
108 Ahrntal,,2.861,2.766,5.627
109 Gsies,,1.081,1.058,2.139
110 Vintl,,1.651,1.545,3.196
111 Vahrn,,1.893,1.948,3.841
112 Vöran,,484,412,896
113 Niederdorf,,696,719,1.415
114 Villanders,,952,894,1.846
115 Sterzing,,2.946,2.960,5.906
116 Feldthurns,,1.301,1.353,2.654
117 Wengen,,666,593,1.259
118 U.L.Frau i.W.-St.Felix,,421,404,825
