Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,829,840,1.669
002 Andrian,,527,510,1.037
003 Altrei,,197,186,383
004 Eppan a.d. Weinstr.,,7.104,7.260,14.364
005 Hafling,,372,381,753
006 Abtei,,1.652,1.723,3.375
007 Barbian,,830,789,1.619
008 Bozen,,49.987,54.768,104.755
009 Prags,,335,334,669
010 Brenner,,1.094,1.020,2.114
011 Brixen,,10.104,10.753,20.857
012 Branzoll,,1.312,1.337,2.649
013 Bruneck,,7.744,7.886,15.630
014 Kuens,,200,214,414
015 Kaltern a.d. Weinstr.,,3.739,4.001,7.740
016 Freienfeld,,1.390,1.295,2.685
017 Sand in Taufers,,2.643,2.650,5.293
018 Kastelbell-Tschars,,1.221,1.165,2.386
019 Kastelruth,,3.266,3.217,6.483
020 Tscherms,,707,734,1.441
021 Kiens,,1.373,1.343,2.716
022 Klausen,,2.587,2.567,5.154
023 Karneid,,1.715,1.631,3.346
024 Kurtatsch a.d.Weinstr.,,1.107,1.124,2.231
025 Kurtinig a.d. Weinstr.,,326,328,654
026 Corvara,,665,668,1.333
027 Graun im Vinschgau,,1.259,1.191,2.450
028 Toblach,,1.652,1.673,3.325
029 Neumarkt,,2.456,2.572,5.028
030 Pfalzen,,1.348,1.334,2.682
031 Völs am Schlern,,1.718,1.757,3.475
032 Franzensfeste,,500,481,981
033 Villnöss,,1.278,1.306,2.584
034 Gais,,1.623,1.565,3.188
035 Gargazon,,817,854,1.671
036 Glurns,,455,434,889
037 Latsch,,2.571,2.586,5.157
038 Algund,,2.368,2.515,4.883
039 Lajen,,1.324,1.315,2.639
040 Leifers,,8.645,8.749,17.394
041 Lana,,5.528,5.821,11.349
042 Laas,,1.990,1.959,3.949
043 Laurein,,188,157,345
044 Lüsen,,752,777,1.529
045 Margreid a.d. Weinstr.,,635,662,1.297
046 Mals,,2.632,2.495,5.127
047 Enneberg,,1.507,1.437,2.944
048 Marling,,1.286,1.287,2.573
049 Martell,,474,405,879
050 Mölten,,859,794,1.653
051 Meran,,18.709,20.152,38.861
052 Welsberg-Taisten,,1.417,1.430,2.847
053 Montan,,830,819,1.649
054 Moos in Passeier,,1.141,1.022,2.163
055 Nals,,903,939,1.842
056 Naturns,,2.838,2.749,5.587
057 Natz-Schabs,,1.474,1.431,2.905
058 Welschnofen,,983,928,1.911
059 Deutschnofen,,1.981,1.959,3.940
060 Auer,,1.737,1.832,3.569
061 St.Ulrich,,2.298,2.399,4.697
062 Partschins,,1.758,1.806,3.564
063 Percha,,736,738,1.474
064 Plaus,,370,330,700
065 Waidbruck,,106,96,202
066 Burgstall,,861,903,1.764
067 Prad am Stilfser Joch,,1.727,1.664,3.391
068 Prettau,,310,294,604
069 Proveis,,150,117,267
070 Ratschings,,2.273,2.136,4.409
071 Rasen-Antholz,,1.481,1.403,2.884
072 Ritten,,3.828,3.855,7.683
073 Riffian,,672,674,1.346
074 Mühlbach,,1.510,1.474,2.984
075 Rodeneck,,608,580,1.188
076 Salurn,,1.788,1.803,3.591
077 Innichen,,1.597,1.624,3.221
079 Jenesien,,1.495,1.478,2.973
080 St.Leonhard in Pass.,,1.807,1.734,3.541
081 St.Lorenzen,,1.914,1.874,3.788
082 St.Martin in Thurn,,867,856,1.723
083 St.Martin in Passeier,,1.591,1.569,3.160
084 St.Pankraz,,819,760,1.579
085 St.Christina in Gröden,,965,941,1.906
086 Sarntal,,3.512,3.407,6.919
087 Schenna,,1.426,1.420,2.846
088 Mühlwald,,780,687,1.467
089 Wolkenstein in Gröden,,1.314,1.347,2.661
091 Schnals,,671,642,1.313
092 Sexten,,943,999,1.942
093 Schlanders,,2.936,3.089,6.025
094 Schluderns,,912,905,1.817
095 Stilfs,,608,591,1.199
096 Terenten,,892,836,1.728
097 Terlan,,2.068,2.134,4.202
098 Tramin a.d. Weinstr.,,1.634,1.678,3.312
099 Tisens,,924,962,1.886
100 Tiers,,475,499,974
101 Tirol,,1.234,1.228,2.462
102 Truden im Naturpark,,491,530,1.021
103 Taufers im Münstertal,,476,492,968
104 Ulten,,1.483,1.435,2.918
105 Pfatten,,512,510,1.022
106 Olang,,1.554,1.559,3.113
107 Pfitsch,,1.417,1.398,2.815
108 Ahrntal,,2.982,2.937,5.919
109 Gsies,,1.153,1.115,2.268
110 Vintl,,1.656,1.610,3.266
111 Vahrn,,2.107,2.185,4.292
112 Vöran,,512,423,935
113 Niederdorf,,719,763,1.482
114 Villanders,,981,911,1.892
115 Sterzing,,3.300,3.230,6.530
116 Feldthurns,,1.390,1.370,2.760
117 Wengen,,679,621,1.300
118 U.L.Frau i.W.-St.Felix,,403,377,780
