Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,792,844,1.636
002 Andrian,,389,393,782
003 Altrei,,192,198,390
004 Eppan a.d. Weinstr.,,5.937,6.168,12.105
005 Hafling,,338,328,666
006 Abtei,,1.391,1.500,2.891
007 Barbian,,736,715,1.451
008 Bozen,,46.244,50.200,96.444
009 Prags,,336,311,647
010 Brenner,,1.152,1.000,2.152
011 Brixen,,8.633,9.276,17.909
012 Branzoll,,1.102,1.136,2.238
013 Bruneck,,6.500,6.756,13.256
014 Kuens,,160,147,307
015 Kaltern a.d. Weinstr.,,3.186,3.443,6.629
016 Freienfeld,,1.257,1.166,2.423
017 Sand in Taufers,,2.341,2.368,4.709
018 Kastelbell-Tschars,,1.153,1.189,2.342
019 Kastelruth,,2.919,2.999,5.918
020 Tscherms,,570,573,1.143
021 Kiens,,1.320,1.259,2.579
022 Klausen,,2.261,2.269,4.530
023 Karneid,,1.531,1.445,2.976
024 Kurtatsch a.d.Weinstr.,,960,999,1.959
025 Kurtinig a.d. Weinstr.,,290,290,580
026 Corvara,,629,624,1.253
027 Graun im Vinschgau,,1.254,1.145,2.399
028 Toblach,,1.597,1.615,3.212
029 Neumarkt,,2.100,2.121,4.221
030 Pfalzen,,1.086,1.058,2.144
031 Völs am Schlern,,1.500,1.433,2.933
032 Franzensfeste,,447,432,879
033 Villnöss,,1.176,1.165,2.341
034 Gais,,1.373,1.347,2.720
035 Gargazon,,632,640,1.272
036 Glurns,,412,434,846
037 Latsch,,2.324,2.385,4.709
038 Algund,,1.955,2.086,4.041
039 Lajen,,1.060,1.018,2.078
040 Leifers,,7.198,7.399,14.597
041 Lana,,4.417,4.732,9.149
042 Laas,,1.868,1.803,3.671
043 Laurein,,187,167,354
044 Lüsen,,718,737,1.455
045 Margreid a.d. Weinstr.,,567,560,1.127
046 Mals,,2.457,2.339,4.796
047 Enneberg,,1.333,1.309,2.642
048 Marling,,1.119,1.103,2.222
049 Martell,,467,409,876
050 Mölten,,696,625,1.321
051 Meran,,16.067,17.889,33.956
052 Welsberg-Taisten,,1.241,1.247,2.488
053 Montan,,718,713,1.431
054 Moos in Passeier,,1.133,1.043,2.176
055 Nals,,745,760,1.505
056 Naturns,,2.497,2.478,4.975
057 Natz-Schabs,,1.149,1.119,2.268
058 Welschnofen,,901,892,1.793
059 Deutschnofen,,1.726,1.730,3.456
060 Auer,,1.401,1.495,2.896
061 St.Ulrich,,2.175,2.179,4.354
062 Partschins,,1.538,1.598,3.136
063 Percha,,642,625,1.267
064 Plaus,,246,240,486
065 Waidbruck,,96,96,192
066 Burgstall,,654,688,1.342
067 Prad am Stilfser Joch,,1.608,1.547,3.155
068 Prettau,,324,326,650
069 Proveis,,157,126,283
070 Ratschings,,2.022,1.848,3.870
071 Rasen-Antholz,,1.408,1.287,2.695
072 Ritten,,3.408,3.339,6.747
073 Riffian,,587,581,1.168
074 Mühlbach,,1.296,1.276,2.572
075 Rodeneck,,574,538,1.112
076 Salurn,,1.434,1.443,2.877
077 Innichen,,1.539,1.555,3.094
079 Jenesien,,1.279,1.270,2.549
080 St.Leonhard in Pass.,,1.730,1.687,3.417
081 St.Lorenzen,,1.663,1.637,3.300
082 St.Martin in Thurn,,813,772,1.585
083 St.Martin in Passeier,,1.435,1.398,2.833
084 St.Pankraz,,811,758,1.569
085 St.Christina in Gröden,,844,852,1.696
086 Sarntal,,3.301,3.181,6.482
087 Schenna,,1.341,1.288,2.629
088 Mühlwald,,766,673,1.439
089 Wolkenstein in Gröden,,1.206,1.216,2.422
091 Schnals,,734,677,1.411
092 Sexten,,939,950,1.889
093 Schlanders,,2.822,2.819,5.641
094 Schluderns,,903,892,1.795
095 Stilfs,,683,656,1.339
096 Terenten,,782,724,1.506
097 Terlan,,1.647,1.740,3.387
098 Tramin a.d. Weinstr.,,1.491,1.647,3.138
099 Tisens,,838,855,1.693
100 Tiers,,431,428,859
101 Tirol,,1.193,1.201,2.394
102 Truden im Naturpark,,457,485,942
103 Taufers im Münstertal,,485,480,965
104 Ulten,,1.509,1.484,2.993
105 Pfatten,,433,421,854
106 Olang,,1.359,1.363,2.722
107 Pfitsch,,1.324,1.334,2.658
108 Ahrntal,,2.748,2.696,5.444
109 Gsies,,1.033,1.049,2.082
110 Vintl,,1.597,1.513,3.110
111 Vahrn,,1.708,1.770,3.478
112 Vöran,,464,406,870
113 Niederdorf,,656,664,1.320
114 Villanders,,896,888,1.784
115 Sterzing,,2.770,2.862,5.632
116 Feldthurns,,1.179,1.240,2.419
117 Wengen,,643,597,1.240
118 U.L.Frau i.W.-St.Felix,,402,376,778
