Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,799,834,1.633
002 Andrian,,386,389,775
003 Altrei,,190,196,386
004 Eppan a.d. Weinstr.,,5.716,5.944,11.660
005 Hafling,,328,321,649
006 Abtei,,1.350,1.469,2.819
007 Barbian,,738,723,1.461
008 Bozen,,46.379,50.422,96.801
009 Prags,,334,302,636
010 Brenner,,1.150,986,2.136
011 Brixen,,8.447,9.120,17.567
012 Branzoll,,1.041,1.075,2.116
013 Bruneck,,6.337,6.575,12.912
014 Kuens,,157,152,309
015 Kaltern a.d. Weinstr.,,3.150,3.420,6.570
016 Freienfeld,,1.247,1.179,2.426
017 Sand in Taufers,,2.314,2.366,4.680
018 Kastelbell-Tschars,,1.150,1.186,2.336
019 Kastelruth,,2.867,2.941,5.808
020 Tscherms,,577,593,1.170
021 Kiens,,1.324,1.258,2.582
022 Klausen,,2.227,2.213,4.440
023 Karneid,,1.464,1.370,2.834
024 Kurtatsch a.d.Weinstr.,,937,981,1.918
025 Kurtinig a.d. Weinstr.,,281,291,572
026 Corvara,,627,640,1.267
027 Graun im Vinschgau,,1.243,1.128,2.371
028 Toblach,,1.571,1.606,3.177
029 Neumarkt,,2.097,2.114,4.211
030 Pfalzen,,1.085,1.055,2.140
031 Völs am Schlern,,1.463,1.377,2.840
032 Franzensfeste,,461,454,915
033 Villnöss,,1.168,1.140,2.308
034 Gais,,1.341,1.336,2.677
035 Gargazon,,596,600,1.196
036 Glurns,,407,437,844
037 Latsch,,2.232,2.317,4.549
038 Algund,,1.954,2.086,4.040
039 Lajen,,1.047,998,2.045
040 Leifers,,7.064,7.363,14.427
041 Lana,,4.317,4.627,8.944
042 Laas,,1.834,1.759,3.593
043 Laurein,,187,164,351
044 Lüsen,,708,722,1.430
045 Margreid a.d. Weinstr.,,558,549,1.107
046 Mals,,2.425,2.291,4.716
047 Enneberg,,1.307,1.312,2.619
048 Marling,,1.079,1.082,2.161
049 Martell,,473,403,876
050 Mölten,,675,620,1.295
051 Meran,,16.054,18.014,34.068
052 Welsberg-Taisten,,1.224,1.231,2.455
053 Montan,,716,708,1.424
054 Moos in Passeier,,1.121,1.035,2.156
055 Nals,,725,758,1.483
056 Naturns,,2.464,2.434,4.898
057 Natz-Schabs,,1.101,1.078,2.179
058 Welschnofen,,888,876,1.764
059 Deutschnofen,,1.679,1.689,3.368
060 Auer,,1.371,1.458,2.829
061 St.Ulrich,,2.164,2.177,4.341
062 Partschins,,1.522,1.560,3.082
063 Percha,,633,605,1.238
064 Plaus,,217,234,451
065 Waidbruck,,96,101,197
066 Burgstall,,652,672,1.324
067 Prad am Stilfser Joch,,1.593,1.529,3.122
068 Prettau,,321,331,652
069 Proveis,,159,130,289
070 Ratschings,,1.969,1.804,3.773
071 Rasen-Antholz,,1.376,1.262,2.638
072 Ritten,,3.290,3.231,6.521
073 Riffian,,574,560,1.134
074 Mühlbach,,1.244,1.246,2.490
075 Rodeneck,,564,530,1.094
076 Salurn,,1.403,1.400,2.803
077 Innichen,,1.522,1.524,3.046
079 Jenesien,,1.249,1.253,2.502
080 St.Leonhard in Pass.,,1.717,1.671,3.388
081 St.Lorenzen,,1.612,1.586,3.198
082 St.Martin in Thurn,,788,767,1.555
083 St.Martin in Passeier,,1.410,1.362,2.772
084 St.Pankraz,,806,754,1.560
085 St.Christina in Gröden,,809,832,1.641
086 Sarntal,,3.256,3.151,6.407
087 Schenna,,1.340,1.285,2.625
088 Mühlwald,,758,668,1.426
089 Wolkenstein in Gröden,,1.191,1.206,2.397
091 Schnals,,737,672,1.409
092 Sexten,,931,941,1.872
093 Schlanders,,2.768,2.779,5.547
094 Schluderns,,898,879,1.777
095 Stilfs,,684,657,1.341
096 Terenten,,776,722,1.498
097 Terlan,,1.626,1.696,3.322
098 Tramin a.d. Weinstr.,,1.460,1.601,3.061
099 Tisens,,852,856,1.708
100 Tiers,,437,431,868
101 Tirol,,1.155,1.183,2.338
102 Truden im Naturpark,,457,495,952
103 Taufers im Münstertal,,488,472,960
104 Ulten,,1.523,1.481,3.004
105 Pfatten,,407,394,801
106 Olang,,1.332,1.332,2.664
107 Pfitsch,,1.293,1.310,2.603
108 Ahrntal,,2.721,2.637,5.358
109 Gsies,,1.018,1.029,2.047
110 Vintl,,1.592,1.511,3.103
111 Vahrn,,1.624,1.720,3.344
112 Vöran,,444,402,846
113 Niederdorf,,637,644,1.281
114 Villanders,,879,888,1.767
115 Sterzing,,2.764,2.833,5.597
116 Feldthurns,,1.155,1.212,2.367
117 Wengen,,632,597,1.229
118 U.L.Frau i.W.-St.Felix,,385,363,748
