Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,834,835,1.669
002 Andrian,,469,448,917
003 Altrei,,200,188,388
004 Eppan a.d. Weinstr.,,6.636,6.801,13.437
005 Hafling,,347,367,714
006 Abtei,,1.577,1.650,3.227
007 Barbian,,796,749,1.545
008 Bozen,,47.862,51.930,99.792
009 Prags,,328,325,653
010 Brenner,,1.045,992,2.037
011 Brixen,,9.501,10.178,19.679
012 Branzoll,,1.249,1.266,2.515
013 Bruneck,,7.148,7.299,14.447
014 Kuens,,185,173,358
015 Kaltern a.d. Weinstr.,,3.552,3.814,7.366
016 Freienfeld,,1.339,1.255,2.594
017 Sand in Taufers,,2.514,2.501,5.015
018 Kastelbell-Tschars,,1.188,1.150,2.338
019 Kastelruth,,3.135,3.139,6.274
020 Tscherms,,677,689,1.366
021 Kiens,,1.347,1.319,2.666
022 Klausen,,2.492,2.499,4.991
023 Karneid,,1.697,1.566,3.263
024 Kurtatsch a.d.Weinstr.,,1.064,1.109,2.173
025 Kurtinig a.d. Weinstr.,,302,316,618
026 Corvara,,650,618,1.268
027 Graun im Vinschgau,,1.242,1.181,2.423
028 Toblach,,1.640,1.618,3.258
029 Neumarkt,,2.274,2.415,4.689
030 Pfalzen,,1.228,1.221,2.449
031 Völs am Schlern,,1.618,1.598,3.216
032 Franzensfeste,,474,446,920
033 Villnöss,,1.222,1.235,2.457
034 Gais,,1.573,1.497,3.070
035 Gargazon,,749,786,1.535
036 Glurns,,445,431,876
037 Latsch,,2.537,2.529,5.066
038 Algund,,2.118,2.229,4.347
039 Lajen,,1.238,1.212,2.450
040 Leifers,,7.999,8.052,16.051
041 Lana,,5.189,5.451,10.640
042 Laas,,1.929,1.883,3.812
043 Laurein,,195,177,372
044 Lüsen,,739,744,1.483
045 Margreid a.d. Weinstr.,,612,624,1.236
046 Mals,,2.530,2.451,4.981
047 Enneberg,,1.448,1.369,2.817
048 Marling,,1.166,1.160,2.326
049 Martell,,473,410,883
050 Mölten,,790,738,1.528
051 Meran,,17.197,18.717,35.914
052 Welsberg-Taisten,,1.339,1.349,2.688
053 Montan,,773,755,1.528
054 Moos in Passeier,,1.137,1.039,2.176
055 Nals,,806,822,1.628
056 Naturns,,2.666,2.576,5.242
057 Natz-Schabs,,1.352,1.301,2.653
058 Welschnofen,,949,919,1.868
059 Deutschnofen,,1.888,1.852,3.740
060 Auer,,1.639,1.739,3.378
061 St.Ulrich,,2.252,2.289,4.541
062 Partschins,,1.633,1.699,3.332
063 Percha,,695,689,1.384
064 Plaus,,326,290,616
065 Waidbruck,,105,92,197
066 Burgstall,,784,819,1.603
067 Prad am Stilfser Joch,,1.684,1.627,3.311
068 Prettau,,314,297,611
069 Proveis,,154,125,279
070 Ratschings,,2.198,2.019,4.217
071 Rasen-Antholz,,1.431,1.363,2.794
072 Ritten,,3.620,3.570,7.190
073 Riffian,,617,608,1.225
074 Mühlbach,,1.383,1.341,2.724
075 Rodeneck,,612,551,1.163
076 Salurn,,1.648,1.687,3.335
077 Innichen,,1.546,1.586,3.132
079 Jenesien,,1.430,1.425,2.855
080 St.Leonhard in Pass.,,1.774,1.659,3.433
081 St.Lorenzen,,1.806,1.762,3.568
082 St.Martin in Thurn,,876,851,1.727
083 St.Martin in Passeier,,1.517,1.500,3.017
084 St.Pankraz,,823,747,1.570
085 St.Christina in Gröden,,926,921,1.847
086 Sarntal,,3.443,3.298,6.741
087 Schenna,,1.412,1.362,2.774
088 Mühlwald,,781,676,1.457
089 Wolkenstein in Gröden,,1.271,1.311,2.582
091 Schnals,,723,669,1.392
092 Sexten,,958,981,1.939
093 Schlanders,,2.899,3.004,5.903
094 Schluderns,,929,903,1.832
095 Stilfs,,641,612,1.253
096 Terenten,,875,820,1.695
097 Terlan,,1.894,2.016,3.910
098 Tramin a.d. Weinstr.,,1.557,1.657,3.214
099 Tisens,,890,924,1.814
100 Tiers,,456,489,945
101 Tirol,,1.181,1.157,2.338
102 Truden im Naturpark,,454,496,950
103 Taufers im Münstertal,,490,491,981
104 Ulten,,1.485,1.455,2.940
105 Pfatten,,506,485,991
106 Olang,,1.467,1.458,2.925
107 Pfitsch,,1.392,1.345,2.737
108 Ahrntal,,2.893,2.799,5.692
109 Gsies,,1.099,1.059,2.158
110 Vintl,,1.642,1.545,3.187
111 Vahrn,,1.940,2.020,3.960
112 Vöran,,487,408,895
113 Niederdorf,,700,717,1.417
114 Villanders,,966,893,1.859
115 Sterzing,,2.962,2.977,5.939
116 Feldthurns,,1.319,1.339,2.658
117 Wengen,,663,595,1.258
118 U.L.Frau i.W.-St.Felix,,426,398,824
