Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,806,861,1.667
002 Andrian,,392,399,791
003 Altrei,,191,199,390
004 Eppan a.d. Weinstr.,,6.101,6.308,12.409
005 Hafling,,344,334,678
006 Abtei,,1.436,1.517,2.953
007 Barbian,,751,717,1.468
008 Bozen,,46.433,50.431,96.864
009 Prags,,326,309,635
010 Brenner,,1.115,999,2.114
011 Brixen,,8.830,9.493,18.323
012 Branzoll,,1.110,1.157,2.267
013 Bruneck,,6.669,6.940,13.609
014 Kuens,,165,149,314
015 Kaltern a.d. Weinstr.,,3.228,3.491,6.719
016 Freienfeld,,1.265,1.187,2.452
017 Sand in Taufers,,2.374,2.412,4.786
018 Kastelbell-Tschars,,1.177,1.162,2.339
019 Kastelruth,,2.957,3.013,5.970
020 Tscherms,,596,591,1.187
021 Kiens,,1.332,1.259,2.591
022 Klausen,,2.263,2.272,4.535
023 Karneid,,1.556,1.493,3.049
024 Kurtatsch a.d.Weinstr.,,992,1.025,2.017
025 Kurtinig a.d. Weinstr.,,285,295,580
026 Corvara,,639,622,1.261
027 Graun im Vinschgau,,1.251,1.154,2.405
028 Toblach,,1.633,1.625,3.258
029 Neumarkt,,2.116,2.171,4.287
030 Pfalzen,,1.124,1.090,2.214
031 Völs am Schlern,,1.532,1.462,2.994
032 Franzensfeste,,432,433,865
033 Villnöss,,1.192,1.193,2.385
034 Gais,,1.402,1.393,2.795
035 Gargazon,,666,675,1.341
036 Glurns,,429,443,872
037 Latsch,,2.370,2.426,4.796
038 Algund,,1.976,2.120,4.096
039 Lajen,,1.097,1.061,2.158
040 Leifers,,7.359,7.523,14.882
041 Lana,,4.564,4.850,9.414
042 Laas,,1.872,1.811,3.683
043 Laurein,,187,172,359
044 Lüsen,,718,735,1.453
045 Margreid a.d. Weinstr.,,578,580,1.158
046 Mals,,2.473,2.348,4.821
047 Enneberg,,1.349,1.324,2.673
048 Marling,,1.110,1.105,2.215
049 Martell,,463,419,882
050 Mölten,,708,650,1.358
051 Meran,,16.232,18.007,34.239
052 Welsberg-Taisten,,1.263,1.258,2.521
053 Montan,,732,736,1.468
054 Moos in Passeier,,1.145,1.045,2.190
055 Nals,,766,772,1.538
056 Naturns,,2.526,2.503,5.029
057 Natz-Schabs,,1.198,1.146,2.344
058 Welschnofen,,898,913,1.811
059 Deutschnofen,,1.789,1.747,3.536
060 Auer,,1.428,1.518,2.946
061 St.Ulrich,,2.210,2.204,4.414
062 Partschins,,1.557,1.611,3.168
063 Percha,,640,626,1.266
064 Plaus,,258,247,505
065 Waidbruck,,93,97,190
066 Burgstall,,663,696,1.359
067 Prad am Stilfser Joch,,1.628,1.568,3.196
068 Prettau,,327,326,653
069 Proveis,,164,126,290
070 Ratschings,,2.063,1.866,3.929
071 Rasen-Antholz,,1.396,1.283,2.679
072 Ritten,,3.479,3.431,6.910
073 Riffian,,587,591,1.178
074 Mühlbach,,1.289,1.281,2.570
075 Rodeneck,,590,549,1.139
076 Salurn,,1.423,1.441,2.864
077 Innichen,,1.530,1.565,3.095
079 Jenesien,,1.307,1.316,2.623
080 St.Leonhard in Pass.,,1.740,1.702,3.442
081 St.Lorenzen,,1.680,1.676,3.356
082 St.Martin in Thurn,,836,804,1.640
083 St.Martin in Passeier,,1.428,1.399,2.827
084 St.Pankraz,,826,767,1.593
085 St.Christina in Gröden,,867,886,1.753
086 Sarntal,,3.353,3.221,6.574
087 Schenna,,1.358,1.299,2.657
088 Mühlwald,,766,678,1.444
089 Wolkenstein in Gröden,,1.226,1.247,2.473
091 Schnals,,727,670,1.397
092 Sexten,,951,968,1.919
093 Schlanders,,2.873,2.865,5.738
094 Schluderns,,899,894,1.793
095 Stilfs,,669,639,1.308
096 Terenten,,802,757,1.559
097 Terlan,,1.711,1.782,3.493
098 Tramin a.d. Weinstr.,,1.508,1.642,3.150
099 Tisens,,867,884,1.751
100 Tiers,,450,450,900
101 Tirol,,1.174,1.172,2.346
102 Truden im Naturpark,,458,498,956
103 Taufers im Münstertal,,473,477,950
104 Ulten,,1.499,1.498,2.997
105 Pfatten,,431,424,855
106 Olang,,1.386,1.386,2.772
107 Pfitsch,,1.335,1.304,2.639
108 Ahrntal,,2.785,2.724,5.509
109 Gsies,,1.052,1.035,2.087
110 Vintl,,1.599,1.536,3.135
111 Vahrn,,1.731,1.801,3.532
112 Vöran,,464,404,868
113 Niederdorf,,657,665,1.322
114 Villanders,,911,894,1.805
115 Sterzing,,2.810,2.891,5.701
116 Feldthurns,,1.199,1.272,2.471
117 Wengen,,648,597,1.245
118 U.L.Frau i.W.-St.Felix,,399,383,782
