Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,807,844,1.651
002 Andrian,,398,396,794
003 Altrei,,188,195,383
004 Eppan a.d. Weinstr.,,6.134,6.377,12.511
005 Hafling,,353,351,704
006 Abtei,,1.455,1.541,2.996
007 Barbian,,761,728,1.489
008 Bozen,,46.485,50.531,97.016
009 Prags,,324,304,628
010 Brenner,,1.087,1.008,2.095
011 Brixen,,8.892,9.580,18.472
012 Branzoll,,1.136,1.163,2.299
013 Bruneck,,6.688,6.976,13.664
014 Kuens,,160,150,310
015 Kaltern a.d. Weinstr.,,3.261,3.522,6.783
016 Freienfeld,,1.268,1.187,2.455
017 Sand in Taufers,,2.403,2.420,4.823
018 Kastelbell-Tschars,,1.161,1.153,2.314
019 Kastelruth,,2.976,3.003,5.979
020 Tscherms,,614,605,1.219
021 Kiens,,1.339,1.278,2.617
022 Klausen,,2.278,2.288,4.566
023 Karneid,,1.580,1.502,3.082
024 Kurtatsch a.d.Weinstr.,,1.009,1.040,2.049
025 Kurtinig a.d. Weinstr.,,292,299,591
026 Corvara,,634,627,1.261
027 Graun im Vinschgau,,1.246,1.159,2.405
028 Toblach,,1.640,1.632,3.272
029 Neumarkt,,2.115,2.199,4.314
030 Pfalzen,,1.133,1.106,2.239
031 Völs am Schlern,,1.558,1.505,3.063
032 Franzensfeste,,442,448,890
033 Villnöss,,1.196,1.199,2.395
034 Gais,,1.449,1.406,2.855
035 Gargazon,,664,672,1.336
036 Glurns,,431,444,875
037 Latsch,,2.421,2.472,4.893
038 Algund,,1.966,2.126,4.092
039 Lajen,,1.124,1.096,2.220
040 Leifers,,7.473,7.589,15.062
041 Lana,,4.670,4.956,9.626
042 Laas,,1.868,1.831,3.699
043 Laurein,,184,176,360
044 Lüsen,,727,739,1.466
045 Margreid a.d. Weinstr.,,580,585,1.165
046 Mals,,2.493,2.363,4.856
047 Enneberg,,1.356,1.326,2.682
048 Marling,,1.096,1.096,2.192
049 Martell,,463,408,871
050 Mölten,,737,672,1.409
051 Meran,,16.307,18.034,34.341
052 Welsberg-Taisten,,1.275,1.279,2.554
053 Montan,,737,731,1.468
054 Moos in Passeier,,1.136,1.031,2.167
055 Nals,,772,786,1.558
056 Naturns,,2.543,2.518,5.061
057 Natz-Schabs,,1.223,1.175,2.398
058 Welschnofen,,901,899,1.800
059 Deutschnofen,,1.799,1.762,3.561
060 Auer,,1.436,1.537,2.973
061 St.Ulrich,,2.213,2.227,4.440
062 Partschins,,1.565,1.614,3.179
063 Percha,,653,645,1.298
064 Plaus,,279,261,540
065 Waidbruck,,101,92,193
066 Burgstall,,683,711,1.394
067 Prad am Stilfser Joch,,1.622,1.561,3.183
068 Prettau,,319,320,639
069 Proveis,,162,124,286
070 Ratschings,,2.095,1.889,3.984
071 Rasen-Antholz,,1.407,1.290,2.697
072 Ritten,,3.492,3.430,6.922
073 Riffian,,600,587,1.187
074 Mühlbach,,1.311,1.298,2.609
075 Rodeneck,,587,565,1.152
076 Salurn,,1.456,1.474,2.930
077 Innichen,,1.527,1.543,3.070
079 Jenesien,,1.328,1.329,2.657
080 St.Leonhard in Pass.,,1.755,1.712,3.467
081 St.Lorenzen,,1.688,1.688,3.376
082 St.Martin in Thurn,,843,814,1.657
083 St.Martin in Passeier,,1.429,1.411,2.840
084 St.Pankraz,,828,755,1.583
085 St.Christina in Gröden,,873,882,1.755
086 Sarntal,,3.377,3.246,6.623
087 Schenna,,1.373,1.300,2.673
088 Mühlwald,,773,685,1.458
089 Wolkenstein in Gröden,,1.246,1.254,2.500
091 Schnals,,726,675,1.401
092 Sexten,,958,983,1.941
093 Schlanders,,2.911,2.917,5.828
094 Schluderns,,907,894,1.801
095 Stilfs,,661,638,1.299
096 Terenten,,803,753,1.556
097 Terlan,,1.727,1.809,3.536
098 Tramin a.d. Weinstr.,,1.519,1.636,3.155
099 Tisens,,870,895,1.765
100 Tiers,,452,457,909
101 Tirol,,1.180,1.175,2.355
102 Truden im Naturpark,,462,505,967
103 Taufers im Münstertal,,479,475,954
104 Ulten,,1.491,1.496,2.987
105 Pfatten,,412,412,824
106 Olang,,1.386,1.395,2.781
107 Pfitsch,,1.337,1.325,2.662
108 Ahrntal,,2.817,2.729,5.546
109 Gsies,,1.058,1.033,2.091
110 Vintl,,1.607,1.535,3.142
111 Vahrn,,1.765,1.818,3.583
112 Vöran,,480,402,882
113 Niederdorf,,653,678,1.331
114 Villanders,,914,894,1.808
115 Sterzing,,2.833,2.918,5.751
116 Feldthurns,,1.221,1.281,2.502
117 Wengen,,640,589,1.229
118 U.L.Frau i.W.-St.Felix,,398,385,783
