Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,820,838,1.658
002 Andrian,,424,416,840
003 Altrei,,189,192,381
004 Eppan a.d. Weinstr.,,6.383,6.567,12.950
005 Hafling,,359,358,717
006 Abtei,,1.505,1.595,3.100
007 Barbian,,784,762,1.546
008 Bozen,,46.251,50.628,96.879
009 Prags,,322,314,636
010 Brenner,,1.069,986,2.055
011 Brixen,,9.051,9.746,18.797
012 Branzoll,,1.163,1.177,2.340
013 Bruneck,,6.819,7.073,13.892
014 Kuens,,169,160,329
015 Kaltern a.d. Weinstr.,,3.384,3.655,7.039
016 Freienfeld,,1.329,1.233,2.562
017 Sand in Taufers,,2.435,2.479,4.914
018 Kastelbell-Tschars,,1.163,1.152,2.315
019 Kastelruth,,3.033,3.024,6.057
020 Tscherms,,649,643,1.292
021 Kiens,,1.349,1.299,2.648
022 Klausen,,2.369,2.399,4.768
023 Karneid,,1.620,1.531,3.151
024 Kurtatsch a.d.Weinstr.,,1.064,1.064,2.128
025 Kurtinig a.d. Weinstr.,,301,316,617
026 Corvara,,634,631,1.265
027 Graun im Vinschgau,,1.230,1.159,2.389
028 Toblach,,1.649,1.642,3.291
029 Neumarkt,,2.172,2.328,4.500
030 Pfalzen,,1.168,1.143,2.311
031 Völs am Schlern,,1.549,1.528,3.077
032 Franzensfeste,,461,450,911
033 Villnöss,,1.229,1.211,2.440
034 Gais,,1.501,1.451,2.952
035 Gargazon,,700,750,1.450
036 Glurns,,440,443,883
037 Latsch,,2.458,2.508,4.966
038 Algund,,2.008,2.153,4.161
039 Lajen,,1.190,1.157,2.347
040 Leifers,,7.696,7.794,15.490
041 Lana,,4.880,5.167,10.047
042 Laas,,1.891,1.852,3.743
043 Laurein,,188,176,364
044 Lüsen,,731,745,1.476
045 Margreid a.d. Weinstr.,,597,604,1.201
046 Mals,,2.517,2.396,4.913
047 Enneberg,,1.401,1.332,2.733
048 Marling,,1.103,1.124,2.227
049 Martell,,470,417,887
050 Mölten,,767,710,1.477
051 Meran,,16.399,18.161,34.560
052 Welsberg-Taisten,,1.309,1.306,2.615
053 Montan,,797,763,1.560
054 Moos in Passeier,,1.146,1.048,2.194
055 Nals,,804,797,1.601
056 Naturns,,2.581,2.548,5.129
057 Natz-Schabs,,1.285,1.225,2.510
058 Welschnofen,,938,917,1.855
059 Deutschnofen,,1.824,1.798,3.622
060 Auer,,1.545,1.640,3.185
061 St.Ulrich,,2.239,2.312,4.551
062 Partschins,,1.609,1.668,3.277
063 Percha,,671,648,1.319
064 Plaus,,295,268,563
065 Waidbruck,,109,92,201
066 Burgstall,,756,803,1.559
067 Prad am Stilfser Joch,,1.639,1.574,3.213
068 Prettau,,314,302,616
069 Proveis,,159,119,278
070 Ratschings,,2.123,1.926,4.049
071 Rasen-Antholz,,1.414,1.342,2.756
072 Ritten,,3.566,3.500,7.066
073 Riffian,,586,572,1.158
074 Mühlbach,,1.358,1.326,2.684
075 Rodeneck,,604,562,1.166
076 Salurn,,1.503,1.539,3.042
077 Innichen,,1.545,1.572,3.117
079 Jenesien,,1.384,1.393,2.777
080 St.Leonhard in Pass.,,1.752,1.657,3.409
081 St.Lorenzen,,1.773,1.743,3.516
082 St.Martin in Thurn,,862,831,1.693
083 St.Martin in Passeier,,1.449,1.442,2.891
084 St.Pankraz,,832,760,1.592
085 St.Christina in Gröden,,892,885,1.777
086 Sarntal,,3.402,3.243,6.645
087 Schenna,,1.389,1.315,2.704
088 Mühlwald,,784,693,1.477
089 Wolkenstein in Gröden,,1.270,1.293,2.563
091 Schnals,,724,675,1.399
092 Sexten,,954,979,1.933
093 Schlanders,,2.891,2.896,5.787
094 Schluderns,,944,937,1.881
095 Stilfs,,664,640,1.304
096 Terenten,,836,776,1.612
097 Terlan,,1.841,1.916,3.757
098 Tramin a.d. Weinstr.,,1.534,1.653,3.187
099 Tisens,,881,932,1.813
100 Tiers,,449,460,909
101 Tirol,,1.193,1.151,2.344
102 Truden im Naturpark,,474,507,981
103 Taufers im Münstertal,,487,467,954
104 Ulten,,1.494,1.486,2.980
105 Pfatten,,431,418,849
106 Olang,,1.429,1.425,2.854
107 Pfitsch,,1.316,1.295,2.611
108 Ahrntal,,2.846,2.745,5.591
109 Gsies,,1.072,1.049,2.121
110 Vintl,,1.613,1.550,3.163
111 Vahrn,,1.803,1.832,3.635
112 Vöran,,478,403,881
113 Niederdorf,,668,694,1.362
114 Villanders,,934,897,1.831
115 Sterzing,,2.901,2.950,5.851
116 Feldthurns,,1.261,1.313,2.574
117 Wengen,,652,595,1.247
118 U.L.Frau i.W.-St.Felix,,405,397,802
