Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,831,835,1.666
002 Andrian,,486,476,962
003 Altrei,,202,190,392
004 Eppan a.d. Weinstr.,,6.718,6.910,13.628
005 Hafling,,356,370,726
006 Abtei,,1.591,1.683,3.274
007 Barbian,,798,753,1.551
008 Bozen,,48.138,52.438,100.576
009 Prags,,332,325,657
010 Brenner,,1.062,990,2.052
011 Brixen,,9.661,10.289,19.950
012 Branzoll,,1.263,1.294,2.557
013 Bruneck,,7.328,7.469,14.797
014 Kuens,,186,178,364
015 Kaltern a.d. Weinstr.,,3.598,3.863,7.461
016 Freienfeld,,1.354,1.258,2.612
017 Sand in Taufers,,2.558,2.521,5.079
018 Kastelbell-Tschars,,1.199,1.166,2.365
019 Kastelruth,,3.194,3.162,6.356
020 Tscherms,,682,701,1.383
021 Kiens,,1.337,1.305,2.642
022 Klausen,,2.519,2.520,5.039
023 Karneid,,1.678,1.584,3.262
024 Kurtatsch a.d.Weinstr.,,1.080,1.116,2.196
025 Kurtinig a.d. Weinstr.,,307,330,637
026 Corvara,,656,637,1.293
027 Graun im Vinschgau,,1.237,1.173,2.410
028 Toblach,,1.634,1.610,3.244
029 Neumarkt,,2.275,2.426,4.701
030 Pfalzen,,1.241,1.230,2.471
031 Völs am Schlern,,1.645,1.636,3.281
032 Franzensfeste,,489,455,944
033 Villnöss,,1.230,1.252,2.482
034 Gais,,1.583,1.506,3.089
035 Gargazon,,753,781,1.534
036 Glurns,,446,429,875
037 Latsch,,2.539,2.548,5.087
038 Algund,,2.169,2.331,4.500
039 Lajen,,1.252,1.215,2.467
040 Leifers,,8.132,8.171,16.303
041 Lana,,5.289,5.533,10.822
042 Laas,,1.938,1.885,3.823
043 Laurein,,193,170,363
044 Lüsen,,743,758,1.501
045 Margreid a.d. Weinstr.,,619,621,1.240
046 Mals,,2.550,2.470,5.020
047 Enneberg,,1.463,1.383,2.846
048 Marling,,1.198,1.194,2.392
049 Martell,,465,407,872
050 Mölten,,806,748,1.554
051 Meran,,17.453,19.027,36.480
052 Welsberg-Taisten,,1.359,1.372,2.731
053 Montan,,773,769,1.542
054 Moos in Passeier,,1.140,1.028,2.168
055 Nals,,814,831,1.645
056 Naturns,,2.693,2.636,5.329
057 Natz-Schabs,,1.404,1.360,2.764
058 Welschnofen,,963,923,1.886
059 Deutschnofen,,1.955,1.901,3.856
060 Auer,,1.668,1.768,3.436
061 St.Ulrich,,2.243,2.297,4.540
062 Partschins,,1.648,1.725,3.373
063 Percha,,697,686,1.383
064 Plaus,,342,304,646
065 Waidbruck,,93,88,181
066 Burgstall,,794,825,1.619
067 Prad am Stilfser Joch,,1.697,1.642,3.339
068 Prettau,,311,292,603
069 Proveis,,152,121,273
070 Ratschings,,2.231,2.055,4.286
071 Rasen-Antholz,,1.447,1.391,2.838
072 Ritten,,3.682,3.642,7.324
073 Riffian,,639,628,1.267
074 Mühlbach,,1.422,1.392,2.814
075 Rodeneck,,604,548,1.152
076 Salurn,,1.663,1.704,3.367
077 Innichen,,1.525,1.588,3.113
079 Jenesien,,1.442,1.453,2.895
080 St.Leonhard in Pass.,,1.792,1.669,3.461
081 St.Lorenzen,,1.824,1.794,3.618
082 St.Martin in Thurn,,875,853,1.728
083 St.Martin in Passeier,,1.540,1.529,3.069
084 St.Pankraz,,823,752,1.575
085 St.Christina in Gröden,,955,940,1.895
086 Sarntal,,3.467,3.296,6.763
087 Schenna,,1.414,1.367,2.781
088 Mühlwald,,787,674,1.461
089 Wolkenstein in Gröden,,1.285,1.322,2.607
091 Schnals,,703,662,1.365
092 Sexten,,936,975,1.911
093 Schlanders,,2.877,3.004,5.881
094 Schluderns,,940,927,1.867
095 Stilfs,,634,605,1.239
096 Terenten,,868,817,1.685
097 Terlan,,1.909,2.063,3.972
098 Tramin a.d. Weinstr.,,1.578,1.659,3.237
099 Tisens,,888,934,1.822
100 Tiers,,460,493,953
101 Tirol,,1.211,1.163,2.374
102 Truden im Naturpark,,460,498,958
103 Taufers im Münstertal,,473,491,964
104 Ulten,,1.482,1.442,2.924
105 Pfatten,,511,496,1.007
106 Olang,,1.475,1.487,2.962
107 Pfitsch,,1.403,1.356,2.759
108 Ahrntal,,2.928,2.852,5.780
109 Gsies,,1.111,1.063,2.174
110 Vintl,,1.637,1.567,3.204
111 Vahrn,,2.027,2.095,4.122
112 Vöran,,493,407,900
113 Niederdorf,,706,729,1.435
114 Villanders,,983,906,1.889
115 Sterzing,,2.988,3.036,6.024
116 Feldthurns,,1.338,1.336,2.674
117 Wengen,,673,595,1.268
118 U.L.Frau i.W.-St.Felix,,420,390,810
