Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,792,838,1.630
002 Andrian,,382,395,777
003 Altrei,,191,201,392
004 Eppan a.d. Weinstr.,,5.845,6.051,11.896
005 Hafling,,336,316,652
006 Abtei,,1.363,1.472,2.835
007 Barbian,,740,722,1.462
008 Bozen,,46.319,50.380,96.699
009 Prags,,336,308,644
010 Brenner,,1.161,1.005,2.166
011 Brixen,,8.512,9.185,17.697
012 Branzoll,,1.072,1.101,2.173
013 Bruneck,,6.407,6.664,13.071
014 Kuens,,156,143,299
015 Kaltern a.d. Weinstr.,,3.158,3.417,6.575
016 Freienfeld,,1.251,1.174,2.425
017 Sand in Taufers,,2.333,2.351,4.684
018 Kastelbell-Tschars,,1.150,1.175,2.325
019 Kastelruth,,2.876,2.953,5.829
020 Tscherms,,575,582,1.157
021 Kiens,,1.320,1.257,2.577
022 Klausen,,2.233,2.241,4.474
023 Karneid,,1.459,1.381,2.840
024 Kurtatsch a.d.Weinstr.,,956,993,1.949
025 Kurtinig a.d. Weinstr.,,285,294,579
026 Corvara,,631,631,1.262
027 Graun im Vinschgau,,1.257,1.146,2.403
028 Toblach,,1.586,1.599,3.185
029 Neumarkt,,2.100,2.132,4.232
030 Pfalzen,,1.091,1.056,2.147
031 Völs am Schlern,,1.482,1.402,2.884
032 Franzensfeste,,452,440,892
033 Villnöss,,1.165,1.146,2.311
034 Gais,,1.352,1.354,2.706
035 Gargazon,,599,611,1.210
036 Glurns,,407,432,839
037 Latsch,,2.249,2.338,4.587
038 Algund,,1.942,2.089,4.031
039 Lajen,,1.053,1.007,2.060
040 Leifers,,7.119,7.383,14.502
041 Lana,,4.340,4.654,8.994
042 Laas,,1.844,1.779,3.623
043 Laurein,,184,162,346
044 Lüsen,,712,730,1.442
045 Margreid a.d. Weinstr.,,551,554,1.105
046 Mals,,2.475,2.362,4.837
047 Enneberg,,1.308,1.305,2.613
048 Marling,,1.113,1.103,2.216
049 Martell,,473,406,879
050 Mölten,,685,621,1.306
051 Meran,,16.089,17.919,34.008
052 Welsberg-Taisten,,1.224,1.231,2.455
053 Montan,,723,710,1.433
054 Moos in Passeier,,1.129,1.047,2.176
055 Nals,,733,755,1.488
056 Naturns,,2.489,2.460,4.949
057 Natz-Schabs,,1.120,1.084,2.204
058 Welschnofen,,898,882,1.780
059 Deutschnofen,,1.699,1.715,3.414
060 Auer,,1.380,1.466,2.846
061 St.Ulrich,,2.169,2.166,4.335
062 Partschins,,1.530,1.579,3.109
063 Percha,,636,608,1.244
064 Plaus,,227,232,459
065 Waidbruck,,90,95,185
066 Burgstall,,654,683,1.337
067 Prad am Stilfser Joch,,1.610,1.516,3.126
068 Prettau,,320,322,642
069 Proveis,,158,131,289
070 Ratschings,,1.990,1.823,3.813
071 Rasen-Antholz,,1.394,1.268,2.662
072 Ritten,,3.326,3.269,6.595
073 Riffian,,576,571,1.147
074 Mühlbach,,1.272,1.259,2.531
075 Rodeneck,,568,534,1.102
076 Salurn,,1.419,1.420,2.839
077 Innichen,,1.523,1.545,3.068
079 Jenesien,,1.259,1.263,2.522
080 St.Leonhard in Pass.,,1.724,1.668,3.392
081 St.Lorenzen,,1.636,1.589,3.225
082 St.Martin in Thurn,,799,773,1.572
083 St.Martin in Passeier,,1.422,1.369,2.791
084 St.Pankraz,,809,757,1.566
085 St.Christina in Gröden,,831,844,1.675
086 Sarntal,,3.273,3.176,6.449
087 Schenna,,1.347,1.287,2.634
088 Mühlwald,,760,675,1.435
089 Wolkenstein in Gröden,,1.185,1.201,2.386
091 Schnals,,736,684,1.420
092 Sexten,,935,944,1.879
093 Schlanders,,2.770,2.788,5.558
094 Schluderns,,896,890,1.786
095 Stilfs,,674,648,1.322
096 Terenten,,772,722,1.494
097 Terlan,,1.616,1.697,3.313
098 Tramin a.d. Weinstr.,,1.465,1.612,3.077
099 Tisens,,841,855,1.696
100 Tiers,,428,426,854
101 Tirol,,1.161,1.182,2.343
102 Truden im Naturpark,,461,496,957
103 Taufers im Münstertal,,485,477,962
104 Ulten,,1.507,1.475,2.982
105 Pfatten,,426,411,837
106 Olang,,1.355,1.363,2.718
107 Pfitsch,,1.300,1.324,2.624
108 Ahrntal,,2.727,2.662,5.389
109 Gsies,,1.031,1.043,2.074
110 Vintl,,1.596,1.514,3.110
111 Vahrn,,1.674,1.748,3.422
112 Vöran,,450,403,853
113 Niederdorf,,639,650,1.289
114 Villanders,,888,884,1.772
115 Sterzing,,2.771,2.834,5.605
116 Feldthurns,,1.166,1.224,2.390
117 Wengen,,634,595,1.229
118 U.L.Frau i.W.-St.Felix,,391,364,755
