Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,808,845,1.653
002 Andrian,,399,397,796
003 Altrei,,190,198,388
004 Eppan a.d. Weinstr.,,6.220,6.468,12.688
005 Hafling,,356,359,715
006 Abtei,,1.472,1.553,3.025
007 Barbian,,768,747,1.515
008 Bozen,,46.393,50.471,96.864
009 Prags,,323,312,635
010 Brenner,,1.055,996,2.051
011 Brixen,,8.968,9.629,18.597
012 Branzoll,,1.143,1.176,2.319
013 Bruneck,,6.720,6.981,13.701
014 Kuens,,163,156,319
015 Kaltern a.d. Weinstr.,,3.289,3.562,6.851
016 Freienfeld,,1.290,1.184,2.474
017 Sand in Taufers,,2.431,2.439,4.870
018 Kastelbell-Tschars,,1.178,1.161,2.339
019 Kastelruth,,2.990,2.999,5.989
020 Tscherms,,625,605,1.230
021 Kiens,,1.355,1.300,2.655
022 Klausen,,2.298,2.331,4.629
023 Karneid,,1.602,1.510,3.112
024 Kurtatsch a.d.Weinstr.,,1.034,1.053,2.087
025 Kurtinig a.d. Weinstr.,,294,303,597
026 Corvara,,632,620,1.252
027 Graun im Vinschgau,,1.236,1.160,2.396
028 Toblach,,1.633,1.629,3.262
029 Neumarkt,,2.102,2.226,4.328
030 Pfalzen,,1.131,1.113,2.244
031 Völs am Schlern,,1.539,1.507,3.046
032 Franzensfeste,,454,449,903
033 Villnöss,,1.193,1.187,2.380
034 Gais,,1.462,1.417,2.879
035 Gargazon,,673,694,1.367
036 Glurns,,440,442,882
037 Latsch,,2.410,2.490,4.900
038 Algund,,1.999,2.137,4.136
039 Lajen,,1.147,1.111,2.258
040 Leifers,,7.513,7.619,15.132
041 Lana,,4.716,5.032,9.748
042 Laas,,1.868,1.829,3.697
043 Laurein,,184,171,355
044 Lüsen,,723,739,1.462
045 Margreid a.d. Weinstr.,,588,594,1.182
046 Mals,,2.486,2.357,4.843
047 Enneberg,,1.366,1.322,2.688
048 Marling,,1.089,1.096,2.185
049 Martell,,467,420,887
050 Mölten,,754,697,1.451
051 Meran,,16.201,17.970,34.171
052 Welsberg-Taisten,,1.294,1.276,2.570
053 Montan,,746,731,1.477
054 Moos in Passeier,,1.133,1.035,2.168
055 Nals,,776,796,1.572
056 Naturns,,2.549,2.526,5.075
057 Natz-Schabs,,1.235,1.192,2.427
058 Welschnofen,,930,917,1.847
059 Deutschnofen,,1.809,1.779,3.588
060 Auer,,1.462,1.573,3.035
061 St.Ulrich,,2.210,2.231,4.441
062 Partschins,,1.558,1.637,3.195
063 Percha,,658,654,1.312
064 Plaus,,286,265,551
065 Waidbruck,,93,91,184
066 Burgstall,,708,738,1.446
067 Prad am Stilfser Joch,,1.613,1.543,3.156
068 Prettau,,319,311,630
069 Proveis,,162,123,285
070 Ratschings,,2.106,1.906,4.012
071 Rasen-Antholz,,1.409,1.297,2.706
072 Ritten,,3.540,3.469,7.009
073 Riffian,,602,588,1.190
074 Mühlbach,,1.318,1.305,2.623
075 Rodeneck,,597,562,1.159
076 Salurn,,1.476,1.494,2.970
077 Innichen,,1.533,1.547,3.080
079 Jenesien,,1.355,1.355,2.710
080 St.Leonhard in Pass.,,1.741,1.683,3.424
081 St.Lorenzen,,1.723,1.718,3.441
082 St.Martin in Thurn,,855,835,1.690
083 St.Martin in Passeier,,1.423,1.414,2.837
084 St.Pankraz,,829,765,1.594
085 St.Christina in Gröden,,867,871,1.738
086 Sarntal,,3.383,3.234,6.617
087 Schenna,,1.384,1.296,2.680
088 Mühlwald,,777,681,1.458
089 Wolkenstein in Gröden,,1.258,1.266,2.524
091 Schnals,,722,676,1.398
092 Sexten,,961,973,1.934
093 Schlanders,,2.906,2.905,5.811
094 Schluderns,,917,910,1.827
095 Stilfs,,664,650,1.314
096 Terenten,,816,761,1.577
097 Terlan,,1.774,1.839,3.613
098 Tramin a.d. Weinstr.,,1.529,1.645,3.174
099 Tisens,,879,918,1.797
100 Tiers,,440,449,889
101 Tirol,,1.189,1.163,2.352
102 Truden im Naturpark,,462,505,967
103 Taufers im Münstertal,,476,466,942
104 Ulten,,1.506,1.494,3.000
105 Pfatten,,424,423,847
106 Olang,,1.402,1.394,2.796
107 Pfitsch,,1.334,1.327,2.661
108 Ahrntal,,2.812,2.717,5.529
109 Gsies,,1.062,1.041,2.103
110 Vintl,,1.606,1.525,3.131
111 Vahrn,,1.769,1.815,3.584
112 Vöran,,484,399,883
113 Niederdorf,,647,675,1.322
114 Villanders,,932,901,1.833
115 Sterzing,,2.856,2.935,5.791
116 Feldthurns,,1.240,1.292,2.532
117 Wengen,,639,591,1.230
118 U.L.Frau i.W.-St.Felix,,397,394,791
Insgesamt,,229.932,236.250,466.182
