Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,833,841,1.674
002 Andrian,,523,515,1.038
003 Altrei,,192,184,376
004 Eppan a.d. Weinstr.,,7.234,7.365,14.599
005 Hafling,,370,368,738
006 Abtei,,1.672,1.722,3.394
007 Barbian,,836,792,1.628
008 Bozen,,50.372,55.095,105.467
009 Prags,,334,323,657
010 Brenner,,1.100,1.040,2.140
011 Brixen,,10.135,10.861,20.996
012 Branzoll,,1.309,1.348,2.657
013 Bruneck,,7.781,7.940,15.721
014 Kuens,,192,206,398
015 Kaltern a.d. Weinstr.,,3.747,4.024,7.771
016 Freienfeld,,1.385,1.289,2.674
017 Sand in Taufers,,2.654,2.683,5.337
018 Kastelbell-Tschars,,1.221,1.159,2.380
019 Kastelruth,,3.309,3.261,6.570
020 Tscherms,,713,744,1.457
021 Kiens,,1.377,1.356,2.733
022 Klausen,,2.605,2.578,5.183
023 Karneid,,1.731,1.633,3.364
024 Kurtatsch a.d.Weinstr.,,1.092,1.106,2.198
025 Kurtinig a.d. Weinstr.,,326,326,652
026 Corvara,,675,679,1.354
027 Graun im Vinschgau,,1.255,1.187,2.442
028 Toblach,,1.681,1.715,3.396
029 Neumarkt,,2.489,2.607,5.096
030 Pfalzen,,1.388,1.335,2.723
031 Völs am Schlern,,1.725,1.763,3.488
032 Franzensfeste,,500,487,987
033 Villnöss,,1.282,1.319,2.601
034 Gais,,1.623,1.557,3.180
035 Gargazon,,826,871,1.697
036 Glurns,,461,433,894
037 Latsch,,2.575,2.588,5.163
038 Algund,,2.399,2.579,4.978
039 Lajen,,1.324,1.309,2.633
040 Leifers,,8.740,8.815,17.555
041 Lana,,5.515,5.849,11.364
042 Laas,,1.989,1.980,3.969
043 Laurein,,188,157,345
044 Lüsen,,755,772,1.527
045 Margreid a.d. Weinstr.,,628,656,1.284
046 Mals,,2.639,2.515,5.154
047 Enneberg,,1.505,1.444,2.949
048 Marling,,1.292,1.275,2.567
049 Martell,,481,402,883
050 Mölten,,860,791,1.651
051 Meran,,18.899,20.358,39.257
052 Welsberg-Taisten,,1.408,1.432,2.840
053 Montan,,825,830,1.655
054 Moos in Passeier,,1.136,1.012,2.148
055 Nals,,889,938,1.827
056 Naturns,,2.861,2.763,5.624
057 Natz-Schabs,,1.468,1.461,2.929
058 Welschnofen,,988,937,1.925
059 Deutschnofen,,1.973,1.950,3.923
060 Auer,,1.733,1.818,3.551
061 St.Ulrich,,2.301,2.416,4.717
062 Partschins,,1.774,1.810,3.584
063 Percha,,734,729,1.463
064 Plaus,,372,336,708
065 Waidbruck,,106,95,201
066 Burgstall,,880,927,1.807
067 Prad am Stilfser Joch,,1.700,1.641,3.341
068 Prettau,,306,285,591
069 Proveis,,150,115,265
070 Ratschings,,2.281,2.129,4.410
071 Rasen-Antholz,,1.454,1.405,2.859
072 Ritten,,3.840,3.849,7.689
073 Riffian,,672,687,1.359
074 Mühlbach,,1.539,1.508,3.047
075 Rodeneck,,602,576,1.178
076 Salurn,,1.814,1.836,3.650
077 Innichen,,1.615,1.655,3.270
079 Jenesien,,1.516,1.478,2.994
080 St.Leonhard in Pass.,,1.809,1.749,3.558
081 St.Lorenzen,,1.911,1.875,3.786
082 St.Martin in Thurn,,872,845,1.717
083 St.Martin in Passeier,,1.598,1.592,3.190
084 St.Pankraz,,808,756,1.564
085 St.Christina in Gröden,,964,948,1.912
086 Sarntal,,3.524,3.432,6.956
087 Schenna,,1.432,1.437,2.869
088 Mühlwald,,773,689,1.462
089 Wolkenstein in Gröden,,1.310,1.343,2.653
091 Schnals,,670,626,1.296
092 Sexten,,935,987,1.922
093 Schlanders,,2.937,3.072,6.009
094 Schluderns,,908,902,1.810
095 Stilfs,,609,576,1.185
096 Terenten,,890,838,1.728
097 Terlan,,2.103,2.158,4.261
098 Tramin a.d. Weinstr.,,1.609,1.670,3.279
099 Tisens,,920,961,1.881
100 Tiers,,470,494,964
101 Tirol,,1.231,1.215,2.446
102 Truden im Naturpark,,485,538,1.023
103 Taufers im Münstertal,,476,494,970
104 Ulten,,1.467,1.421,2.888
105 Pfatten,,519,512,1.031
106 Olang,,1.554,1.550,3.104
107 Pfitsch,,1.458,1.422,2.880
108 Ahrntal,,2.993,2.943,5.936
109 Gsies,,1.151,1.123,2.274
110 Vintl,,1.656,1.616,3.272
111 Vahrn,,2.149,2.225,4.374
112 Vöran,,516,430,946
113 Niederdorf,,731,774,1.505
114 Villanders,,980,908,1.888
115 Sterzing,,3.335,3.275,6.610
116 Feldthurns,,1.399,1.382,2.781
117 Wengen,,684,625,1.309
118 U.L.Frau i.W.-St.Felix,,400,383,783
Insgesamt,,253.910,260.606,514.516
