Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,827,838,1.665
002 Andrian,,528,514,1.042
003 Altrei,,197,186,383
004 Eppan a.d. Weinstr.,,7.021,7.215,14.236
005 Hafling,,371,381,752
006 Abtei,,1.649,1.711,3.360
007 Barbian,,820,783,1.603
008 Bozen,,49.674,54.249,103.923
009 Prags,,325,332,657
010 Brenner,,1.089,1.004,2.093
011 Brixen,,10.036,10.659,20.695
012 Branzoll,,1.306,1.340,2.646
013 Bruneck,,7.701,7.822,15.523
014 Kuens,,196,204,400
015 Kaltern a.d. Weinstr.,,3.687,3.923,7.610
016 Freienfeld,,1.386,1.277,2.663
017 Sand in Taufers,,2.613,2.654,5.267
018 Kastelbell-Tschars,,1.211,1.181,2.392
019 Kastelruth,,3.244,3.219,6.463
020 Tscherms,,682,722,1.404
021 Kiens,,1.377,1.350,2.727
022 Klausen,,2.573,2.570,5.143
023 Karneid,,1.690,1.622,3.312
024 Kurtatsch a.d.Weinstr.,,1.109,1.144,2.253
025 Kurtinig a.d. Weinstr.,,323,327,650
026 Corvara,,667,668,1.335
027 Graun im Vinschgau,,1.254,1.193,2.447
028 Toblach,,1.652,1.646,3.298
029 Neumarkt,,2.433,2.576,5.009
030 Pfalzen,,1.318,1.301,2.619
031 Völs am Schlern,,1.719,1.757,3.476
032 Franzensfeste,,498,477,975
033 Villnöss,,1.274,1.282,2.556
034 Gais,,1.618,1.545,3.163
035 Gargazon,,802,835,1.637
036 Glurns,,455,425,880
037 Latsch,,2.564,2.575,5.139
038 Algund,,2.346,2.486,4.832
039 Lajen,,1.316,1.301,2.617
040 Leifers,,8.538,8.657,17.195
041 Lana,,5.460,5.776,11.236
042 Laas,,1.988,1.949,3.937
043 Laurein,,186,160,346
044 Lüsen,,757,780,1.537
045 Margreid a.d. Weinstr.,,644,658,1.302
046 Mals,,2.606,2.491,5.097
047 Enneberg,,1.483,1.427,2.910
048 Marling,,1.269,1.254,2.523
049 Martell,,471,412,883
050 Mölten,,837,789,1.626
051 Meran,,18.341,19.885,38.226
052 Welsberg-Taisten,,1.403,1.427,2.830
053 Montan,,823,811,1.634
054 Moos in Passeier,,1.138,1.029,2.167
055 Nals,,898,922,1.820
056 Naturns,,2.814,2.740,5.554
057 Natz-Schabs,,1.462,1.434,2.896
058 Welschnofen,,977,928,1.905
059 Deutschnofen,,1.972,1.930,3.902
060 Auer,,1.736,1.812,3.548
061 St.Ulrich,,2.279,2.357,4.636
062 Partschins,,1.735,1.798,3.533
063 Percha,,735,720,1.455
064 Plaus,,363,323,686
065 Waidbruck,,103,95,198
066 Burgstall,,856,887,1.743
067 Prad am Stilfser Joch,,1.713,1.668,3.381
068 Prettau,,305,292,597
069 Proveis,,154,120,274
070 Ratschings,,2.258,2.111,4.369
071 Rasen-Antholz,,1.479,1.397,2.876
072 Ritten,,3.794,3.804,7.598
073 Riffian,,657,660,1.317
074 Mühlbach,,1.484,1.477,2.961
075 Rodeneck,,615,575,1.190
076 Salurn,,1.749,1.787,3.536
077 Innichen,,1.569,1.606,3.175
079 Jenesien,,1.473,1.467,2.940
080 St.Leonhard in Pass.,,1.823,1.728,3.551
081 St.Lorenzen,,1.897,1.859,3.756
082 St.Martin in Thurn,,869,856,1.725
083 St.Martin in Passeier,,1.572,1.571,3.143
084 St.Pankraz,,822,766,1.588
085 St.Christina in Gröden,,966,942,1.908
086 Sarntal,,3.508,3.394,6.902
087 Schenna,,1.431,1.412,2.843
088 Mühlwald,,786,688,1.474
089 Wolkenstein in Gröden,,1.301,1.338,2.639
091 Schnals,,686,651,1.337
092 Sexten,,946,1.007,1.953
093 Schlanders,,2.917,3.081,5.998
094 Schluderns,,916,907,1.823
095 Stilfs,,618,597,1.215
096 Terenten,,895,825,1.720
097 Terlan,,2.015,2.119,4.134
098 Tramin a.d. Weinstr.,,1.634,1.668,3.302
099 Tisens,,909,947,1.856
100 Tiers,,479,500,979
101 Tirol,,1.228,1.216,2.444
102 Truden im Naturpark,,487,521,1.008
103 Taufers im Münstertal,,479,483,962
104 Ulten,,1.501,1.431,2.932
105 Pfatten,,497,506,1.003
106 Olang,,1.533,1.522,3.055
107 Pfitsch,,1.393,1.367,2.760
108 Ahrntal,,2.970,2.914,5.884
109 Gsies,,1.146,1.112,2.258
110 Vintl,,1.661,1.602,3.263
111 Vahrn,,2.084,2.152,4.236
112 Vöran,,503,424,927
113 Niederdorf,,719,757,1.476
114 Villanders,,987,919,1.906
115 Sterzing,,3.211,3.208,6.419
116 Feldthurns,,1.379,1.370,2.749
117 Wengen,,679,623,1.302
118 U.L.Frau i.W.-St.Felix,,404,377,781
Insgesamt,,250.526,257.069,507.595
