Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,842,840,1.682
002 Andrian,,526,505,1.031
003 Altrei,,198,191,389
004 Eppan a.d. Weinstr.,,7.261,7.470,14.731
005 Hafling,,377,381,758
006 Abtei,,1.707,1.758,3.465
007 Barbian,,858,827,1.685
008 Bozen,,50.849,55.535,106.384
009 Prags,,331,318,649
010 Brenner,,1.102,1.030,2.132
011 Brixen,,10.329,11.108,21.437
012 Branzoll,,1.334,1.357,2.691
013 Bruneck,,7.919,8.093,16.012
014 Kuens,,201,209,410
015 Kaltern a.d. Weinstr.,,3.777,4.055,7.832
016 Freienfeld,,1.367,1.295,2.662
017 Sand in Taufers,,2.647,2.692,5.339
018 Kastelbell-Tschars,,1.202,1.131,2.333
019 Kastelruth,,3.375,3.349,6.724
020 Tscherms,,733,767,1.500
021 Kiens,,1.409,1.382,2.791
022 Klausen,,2.613,2.576,5.189
023 Karneid,,1.726,1.635,3.361
024 Kurtatsch a.d.Weinstr.,,1.113,1.105,2.218
025 Kurtinig a.d. Weinstr.,,319,325,644
026 Corvara,,683,682,1.365
027 Graun im Vinschgau,,1.244,1.170,2.414
028 Toblach,,1.680,1.672,3.352
029 Neumarkt,,2.548,2.648,5.196
030 Pfalzen,,1.401,1.364,2.765
031 Völs am Schlern,,1.758,1.785,3.543
032 Franzensfeste,,498,486,984
033 Villnöss,,1.286,1.317,2.603
034 Gais,,1.646,1.581,3.227
035 Gargazon,,835,862,1.697
036 Glurns,,466,428,894
037 Latsch,,2.590,2.593,5.183
038 Algund,,2.413,2.610,5.023
039 Lajen,,1.317,1.338,2.655
040 Leifers,,8.757,8.901,17.658
041 Lana,,5.651,6.037,11.688
042 Laas,,1.997,1.977,3.974
043 Laurein,,184,153,337
044 Lüsen,,763,768,1.531
045 Margreid a.d. Weinstr.,,631,670,1.301
046 Mals,,2.610,2.522,5.132
047 Enneberg,,1.495,1.472,2.967
048 Marling,,1.290,1.304,2.594
049 Martell,,483,400,883
050 Mölten,,862,801,1.663
051 Meran,,18.931,20.534,39.465
052 Welsberg-Taisten,,1.422,1.447,2.869
053 Montan,,812,804,1.616
054 Moos in Passeier,,1.120,1.002,2.122
055 Nals,,939,970,1.909
056 Naturns,,2.918,2.814,5.732
057 Natz-Schabs,,1.515,1.511,3.026
058 Welschnofen,,997,953,1.950
059 Deutschnofen,,1.970,1.931,3.901
060 Auer,,1.752,1.854,3.606
061 St.Ulrich,,2.326,2.431,4.757
062 Partschins,,1.797,1.853,3.650
063 Percha,,759,744,1.503
064 Plaus,,374,327,701
065 Waidbruck,,111,92,203
066 Burgstall,,888,934,1.822
067 Prad am Stilfser Joch,,1.732,1.720,3.452
068 Prettau,,296,280,576
069 Proveis,,154,112,266
070 Ratschings,,2.283,2.139,4.422
071 Rasen-Antholz,,1.443,1.426,2.869
072 Ritten,,3.877,3.872,7.749
073 Riffian,,670,678,1.348
074 Mühlbach,,1.564,1.505,3.069
075 Rodeneck,,611,585,1.196
076 Salurn,,1.838,1.868,3.706
077 Innichen,,1.635,1.680,3.315
079 Jenesien,,1.536,1.513,3.049
080 St.Leonhard in Pass.,,1.833,1.772,3.605
081 St.Lorenzen,,1.943,1.916,3.859
082 St.Martin in Thurn,,866,845,1.711
083 St.Martin in Passeier,,1.621,1.575,3.196
084 St.Pankraz,,815,753,1.568
085 St.Christina in Gröden,,985,984,1.969
086 Sarntal,,3.560,3.443,7.003
087 Schenna,,1.451,1.442,2.893
088 Mühlwald,,769,689,1.458
089 Wolkenstein in Gröden,,1.311,1.327,2.638
091 Schnals,,663,622,1.285
092 Sexten,,951,966,1.917
093 Schlanders,,2.938,3.059,5.997
094 Schluderns,,907,897,1.804
095 Stilfs,,609,549,1.158
096 Terenten,,891,842,1.733
097 Terlan,,2.130,2.159,4.289
098 Tramin a.d. Weinstr.,,1.630,1.685,3.315
099 Tisens,,925,963,1.888
100 Tiers,,479,495,974
101 Tirol,,1.221,1.227,2.448
102 Truden im Naturpark,,496,545,1.041
103 Taufers im Münstertal,,477,493,970
104 Ulten,,1.459,1.418,2.877
105 Pfatten,,534,513,1.047
106 Olang,,1.570,1.547,3.117
107 Pfitsch,,1.469,1.444,2.913
108 Ahrntal,,3.027,2.939,5.966
109 Gsies,,1.158,1.150,2.308
110 Vintl,,1.645,1.653,3.298
111 Vahrn,,2.182,2.251,4.433
112 Vöran,,505,436,941
113 Niederdorf,,756,780,1.536
114 Villanders,,969,892,1.861
115 Sterzing,,3.445,3.368,6.813
116 Feldthurns,,1.426,1.382,2.808
117 Wengen,,696,642,1.338
118 U.L.Frau i.W.-St.Felix,,397,376,773
