Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,848,822,1.670
002 Andrian,,516,507,1.023
003 Altrei,,199,196,395
004 Eppan a.d. Weinstr.,,7.260,7.526,14.786
005 Hafling,,382,387,769
006 Abtei,,1.717,1.770,3.487
007 Barbian,,851,839,1.690
008 Bozen,,51.054,55.732,106.786
009 Prags,,327,325,652
010 Brenner,,1.119,1.068,2.187
011 Brixen,,10.434,11.172,21.606
012 Branzoll,,1.374,1.380,2.754
013 Bruneck,,7.986,8.138,16.124
014 Kuens,,193,203,396
015 Kaltern a.d. Weinstr.,,3.827,4.088,7.915
016 Freienfeld,,1.366,1.300,2.666
017 Sand in Taufers,,2.647,2.726,5.373
018 Kastelbell-Tschars,,1.186,1.123,2.309
019 Kastelruth,,3.429,3.396,6.825
020 Tscherms,,756,780,1.536
021 Kiens,,1.424,1.366,2.790
022 Klausen,,2.612,2.608,5.220
023 Karneid,,1.739,1.650,3.389
024 Kurtatsch a.d.Weinstr.,,1.106,1.117,2.223
025 Kurtinig a.d. Weinstr.,,319,324,643
026 Corvara,,676,683,1.359
027 Graun im Vinschgau,,1.225,1.155,2.380
028 Toblach,,1.688,1.680,3.368
029 Neumarkt,,2.560,2.684,5.244
030 Pfalzen,,1.396,1.365,2.761
031 Völs am Schlern,,1.765,1.778,3.543
032 Franzensfeste,,502,490,992
033 Villnöss,,1.294,1.318,2.612
034 Gais,,1.646,1.573,3.219
035 Gargazon,,827,860,1.687
036 Glurns,,471,425,896
037 Latsch,,2.594,2.594,5.188
038 Algund,,2.420,2.621,5.041
039 Lajen,,1.315,1.332,2.647
040 Leifers,,8.799,8.945,17.744
041 Lana,,5.785,6.169,11.954
042 Laas,,2.002,1.991,3.993
043 Laurein,,185,157,342
044 Lüsen,,759,758,1.517
045 Margreid a.d. Weinstr.,,617,663,1.280
046 Mals,,2.635,2.530,5.165
047 Enneberg,,1.511,1.503,3.014
048 Marling,,1.328,1.310,2.638
049 Martell,,478,391,869
050 Mölten,,859,803,1.662
051 Meran,,18.972,20.644,39.616
052 Welsberg-Taisten,,1.443,1.457,2.900
053 Montan,,822,820,1.642
054 Moos in Passeier,,1.112,987,2.099
055 Nals,,959,983,1.942
056 Naturns,,2.914,2.825,5.739
057 Natz-Schabs,,1.556,1.565,3.121
058 Welschnofen,,989,954,1.943
059 Deutschnofen,,1.965,1.919,3.884
060 Auer,,1.768,1.882,3.650
061 St.Ulrich,,2.347,2.439,4.786
062 Partschins,,1.801,1.852,3.653
063 Percha,,771,761,1.532
064 Plaus,,380,340,720
065 Waidbruck,,107,86,193
066 Burgstall,,904,954,1.858
067 Prad am Stilfser Joch,,1.741,1.736,3.477
068 Prettau,,293,278,571
069 Proveis,,152,112,264
070 Ratschings,,2.269,2.136,4.405
071 Rasen-Antholz,,1.434,1.427,2.861
072 Ritten,,3.880,3.918,7.798
073 Riffian,,648,662,1.310
074 Mühlbach,,1.567,1.503,3.070
075 Rodeneck,,603,586,1.189
076 Salurn,,1.874,1.901,3.775
077 Innichen,,1.622,1.688,3.310
079 Jenesien,,1.538,1.509,3.047
080 St.Leonhard in Pass.,,1.825,1.760,3.585
081 St.Lorenzen,,1.940,1.930,3.870
082 St.Martin in Thurn,,871,840,1.711
083 St.Martin in Passeier,,1.610,1.600,3.210
084 St.Pankraz,,810,744,1.554
085 St.Christina in Gröden,,981,984,1.965
086 Sarntal,,3.584,3.452,7.036
087 Schenna,,1.458,1.470,2.928
088 Mühlwald,,764,678,1.442
089 Wolkenstein in Gröden,,1.304,1.321,2.625
091 Schnals,,653,613,1.266
092 Sexten,,942,951,1.893
093 Schlanders,,2.936,3.080,6.016
094 Schluderns,,900,904,1.804
095 Stilfs,,611,550,1.161
096 Terenten,,893,849,1.742
097 Terlan,,2.166,2.207,4.373
098 Tramin a.d. Weinstr.,,1.654,1.702,3.356
099 Tisens,,954,953,1.907
100 Tiers,,481,498,979
101 Tirol,,1.250,1.227,2.477
102 Truden im Naturpark,,493,533,1.026
103 Taufers im Münstertal,,477,500,977
104 Ulten,,1.464,1.409,2.873
105 Pfatten,,533,505,1.038
106 Olang,,1.573,1.564,3.137
107 Pfitsch,,1.519,1.452,2.971
108 Ahrntal,,3.035,2.948,5.983
109 Gsies,,1.160,1.138,2.298
110 Vintl,,1.664,1.650,3.314
111 Vahrn,,2.200,2.247,4.447
112 Vöran,,498,438,936
113 Niederdorf,,775,787,1.562
114 Villanders,,965,889,1.854
115 Sterzing,,3.480,3.382,6.862
116 Feldthurns,,1.432,1.387,2.819
117 Wengen,,708,656,1.364
118 U.L.Frau i.W.-St.Felix,,402,384,786
Insgesamt,,257.404,264.427,521.831
