Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,822,836,1.658
002 Andrian,,523,502,1.025
003 Altrei,,199,190,389
004 Eppan a.d. Weinstr.,,6.912,7.100,14.012
005 Hafling,,365,367,732
006 Abtei,,1.632,1.717,3.349
007 Barbian,,822,759,1.581
008 Bozen,,49.242,53.816,103.058
009 Prags,,333,327,660
010 Brenner,,1.096,1.022,2.118
011 Brixen,,9.927,10.591,20.518
012 Branzoll,,1.300,1.340,2.640
013 Bruneck,,7.640,7.731,15.371
014 Kuens,,194,202,396
015 Kaltern a.d. Weinstr.,,3.650,3.923,7.573
016 Freienfeld,,1.389,1.290,2.679
017 Sand in Taufers,,2.599,2.631,5.230
018 Kastelbell-Tschars,,1.207,1.176,2.383
019 Kastelruth,,3.242,3.214,6.456
020 Tscherms,,679,714,1.393
021 Kiens,,1.362,1.360,2.722
022 Klausen,,2.581,2.563,5.144
023 Karneid,,1.705,1.629,3.334
024 Kurtatsch a.d.Weinstr.,,1.111,1.133,2.244
025 Kurtinig a.d. Weinstr.,,318,324,642
026 Corvara,,659,648,1.307
027 Graun im Vinschgau,,1.252,1.197,2.449
028 Toblach,,1.633,1.623,3.256
029 Neumarkt,,2.389,2.537,4.926
030 Pfalzen,,1.291,1.269,2.560
031 Völs am Schlern,,1.695,1.739,3.434
032 Franzensfeste,,496,475,971
033 Villnöss,,1.255,1.277,2.532
034 Gais,,1.617,1.532,3.149
035 Gargazon,,779,808,1.587
036 Glurns,,447,424,871
037 Latsch,,2.568,2.573,5.141
038 Algund,,2.306,2.460,4.766
039 Lajen,,1.302,1.285,2.587
040 Leifers,,8.434,8.528,16.962
041 Lana,,5.411,5.714,11.125
042 Laas,,1.968,1.928,3.896
043 Laurein,,192,167,359
044 Lüsen,,760,779,1.539
045 Margreid a.d. Weinstr.,,648,647,1.295
046 Mals,,2.578,2.476,5.054
047 Enneberg,,1.478,1.419,2.897
048 Marling,,1.243,1.244,2.487
049 Martell,,459,412,871
050 Mölten,,835,776,1.611
051 Meran,,18.085,19.582,37.667
052 Welsberg-Taisten,,1.403,1.421,2.824
053 Montan,,801,802,1.603
054 Moos in Passeier,,1.154,1.041,2.195
055 Nals,,880,875,1.755
056 Naturns,,2.756,2.684,5.440
057 Natz-Schabs,,1.466,1.422,2.888
058 Welschnofen,,982,935,1.917
059 Deutschnofen,,1.970,1.906,3.876
060 Auer,,1.719,1.818,3.537
061 St.Ulrich,,2.262,2.344,4.606
062 Partschins,,1.700,1.777,3.477
063 Percha,,720,704,1.424
064 Plaus,,360,323,683
065 Waidbruck,,97,86,183
066 Burgstall,,849,868,1.717
067 Prad am Stilfser Joch,,1.700,1.670,3.370
068 Prettau,,307,289,596
069 Proveis,,154,119,273
070 Ratschings,,2.241,2.090,4.331
071 Rasen-Antholz,,1.481,1.401,2.882
072 Ritten,,3.748,3.760,7.508
073 Riffian,,644,647,1.291
074 Mühlbach,,1.447,1.416,2.863
075 Rodeneck,,613,568,1.181
076 Salurn,,1.743,1.779,3.522
077 Innichen,,1.560,1.640,3.200
079 Jenesien,,1.469,1.468,2.937
080 St.Leonhard in Pass.,,1.801,1.717,3.518
081 St.Lorenzen,,1.869,1.848,3.717
082 St.Martin in Thurn,,875,849,1.724
083 St.Martin in Passeier,,1.560,1.551,3.111
084 St.Pankraz,,817,772,1.589
085 St.Christina in Gröden,,963,945,1.908
086 Sarntal,,3.493,3.369,6.862
087 Schenna,,1.433,1.402,2.835
088 Mühlwald,,792,690,1.482
089 Wolkenstein in Gröden,,1.298,1.323,2.621
091 Schnals,,698,668,1.366
092 Sexten,,941,999,1.940
093 Schlanders,,2.928,3.086,6.014
094 Schluderns,,936,917,1.853
095 Stilfs,,624,604,1.228
096 Terenten,,887,824,1.711
097 Terlan,,2.010,2.119,4.129
098 Tramin a.d. Weinstr.,,1.614,1.668,3.282
099 Tisens,,903,948,1.851
100 Tiers,,465,500,965
101 Tirol,,1.222,1.185,2.407
102 Truden im Naturpark,,476,524,1.000
103 Taufers im Münstertal,,484,498,982
104 Ulten,,1.489,1.439,2.928
105 Pfatten,,500,503,1.003
106 Olang,,1.525,1.516,3.041
107 Pfitsch,,1.369,1.351,2.720
108 Ahrntal,,2.973,2.903,5.876
109 Gsies,,1.125,1.090,2.215
110 Vintl,,1.649,1.593,3.242
111 Vahrn,,2.064,2.151,4.215
112 Vöran,,500,418,918
113 Niederdorf,,711,746,1.457
114 Villanders,,986,922,1.908
115 Sterzing,,3.148,3.158,6.306
116 Feldthurns,,1.360,1.361,2.721
117 Wengen,,673,608,1.281
118 U.L.Frau i.W.-St.Felix,,407,381,788
Insgesamt,,248.424,254.975,503.399
