Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,848,816,1.664
002 Andrian,,521,508,1.029
003 Altrei,,198,198,396
004 Eppan a.d. Weinstr.,,7.339,7.571,14.910
005 Hafling,,382,381,763
006 Abtei,,1.716,1.780,3.496
007 Barbian,,857,846,1.703
008 Bozen,,51.679,55.897,107.576
009 Prags,,326,324,650
010 Brenner,,1.123,1.067,2.190
011 Brixen,,10.501,11.268,21.769
012 Branzoll,,1.395,1.403,2.798
013 Bruneck,,8.096,8.266,16.362
014 Kuens,,193,210,403
015 Kaltern a.d. Weinstr.,,3.877,4.134,8.011
016 Freienfeld,,1.372,1.297,2.669
017 Sand in Taufers,,2.672,2.729,5.401
018 Kastelbell-Tschars,,1.183,1.117,2.300
019 Kastelruth,,3.481,3.402,6.883
020 Tscherms,,781,778,1.559
021 Kiens,,1.424,1.382,2.806
022 Klausen,,2.605,2.604,5.209
023 Karneid,,1.729,1.631,3.360
024 Kurtatsch a.d.Weinstr.,,1.116,1.110,2.226
025 Kurtinig a.d. Weinstr.,,327,327,654
026 Corvara,,684,692,1.376
027 Graun im Vinschgau,,1.226,1.151,2.377
028 Toblach,,1.685,1.685,3.370
029 Neumarkt,,2.576,2.707,5.283
030 Pfalzen,,1.394,1.371,2.765
031 Völs am Schlern,,1.782,1.798,3.580
032 Franzensfeste,,514,495,1.009
033 Villnöss,,1.286,1.308,2.594
034 Gais,,1.656,1.581,3.237
035 Gargazon,,840,865,1.705
036 Glurns,,465,423,888
037 Latsch,,2.609,2.612,5.221
038 Algund,,2.426,2.625,5.051
039 Lajen,,1.313,1.341,2.654
040 Leifers,,8.850,8.966,17.816
041 Lana,,5.826,6.221,12.047
042 Laas,,2.014,1.980,3.994
043 Laurein,,184,157,341
044 Lüsen,,768,759,1.527
045 Margreid a.d. Weinstr.,,626,666,1.292
046 Mals,,2.677,2.546,5.223
047 Enneberg,,1.519,1.510,3.029
048 Marling,,1.347,1.339,2.686
049 Martell,,469,393,862
050 Mölten,,875,801,1.676
051 Meran,,19.334,20.901,40.235
052 Welsberg-Taisten,,1.431,1.462,2.893
053 Montan,,821,846,1.667
054 Moos in Passeier,,1.116,991,2.107
055 Nals,,977,1.000,1.977
056 Naturns,,2.920,2.858,5.778
057 Natz-Schabs,,1.589,1.582,3.171
058 Welschnofen,,988,959,1.947
059 Deutschnofen,,1.989,1.935,3.924
060 Auer,,1.796,1.909,3.705
061 St.Ulrich,,2.375,2.450,4.825
062 Partschins,,1.816,1.869,3.685
063 Percha,,767,755,1.522
064 Plaus,,380,342,722
065 Waidbruck,,111,88,199
066 Burgstall,,910,964,1.874
067 Prad am Stilfser Joch,,1.789,1.776,3.565
068 Prettau,,282,269,551
069 Proveis,,152,111,263
070 Ratschings,,2.285,2.162,4.447
071 Rasen-Antholz,,1.444,1.426,2.870
072 Ritten,,3.907,3.951,7.858
073 Riffian,,672,656,1.328
074 Mühlbach,,1.565,1.515,3.080
075 Rodeneck,,610,588,1.198
076 Salurn,,1.888,1.913,3.801
077 Innichen,,1.629,1.690,3.319
079 Jenesien,,1.542,1.503,3.045
080 St.Leonhard in Pass.,,1.814,1.736,3.550
081 St.Lorenzen,,1.962,1.934,3.896
082 St.Martin in Thurn,,874,845,1.719
083 St.Martin in Passeier,,1.622,1.620,3.242
084 St.Pankraz,,819,757,1.576
085 St.Christina in Gröden,,975,986,1.961
086 Sarntal,,3.599,3.460,7.059
087 Schenna,,1.457,1.462,2.919
088 Mühlwald,,759,681,1.440
089 Wolkenstein in Gröden,,1.303,1.311,2.614
091 Schnals,,635,606,1.241
092 Sexten,,951,964,1.915
093 Schlanders,,2.954,3.107,6.061
094 Schluderns,,911,902,1.813
095 Stilfs,,597,540,1.137
096 Terenten,,898,850,1.748
097 Terlan,,2.153,2.210,4.363
098 Tramin a.d. Weinstr.,,1.671,1.714,3.385
099 Tisens,,968,968,1.936
100 Tiers,,483,499,982
101 Tirol,,1.231,1.226,2.457
102 Truden im Naturpark,,502,526,1.028
103 Taufers im Münstertal,,475,503,978
104 Ulten,,1.454,1.407,2.861
105 Pfatten,,523,496,1.019
106 Olang,,1.581,1.571,3.152
107 Pfitsch,,1.535,1.478,3.013
108 Ahrntal,,3.043,2.958,6.001
109 Gsies,,1.174,1.151,2.325
110 Vintl,,1.664,1.653,3.317
111 Vahrn,,2.253,2.272,4.525
112 Vöran,,498,447,945
113 Niederdorf,,799,800,1.599
114 Villanders,,959,890,1.849
115 Sterzing,,3.477,3.409,6.886
116 Feldthurns,,1.459,1.413,2.872
117 Wengen,,717,659,1.376
118 U.L.Frau i.W.-St.Felix,,397,372,769
Insgesamt,,259.583,265.892,525.475
