Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,827,839,1.666
002 Andrian,,508,495,1.003
003 Altrei,,203,188,391
004 Eppan a.d. Weinstr.,,6.823,6.987,13.810
005 Hafling,,360,365,725
006 Abtei,,1.607,1.697,3.304
007 Barbian,,808,744,1.552
008 Bozen,,48.713,53.217,101.930
009 Prags,,336,330,666
010 Brenner,,1.088,1.014,2.102
011 Brixen,,9.796,10.448,20.244
012 Branzoll,,1.274,1.305,2.579
013 Bruneck,,7.464,7.573,15.037
014 Kuens,,185,195,380
015 Kaltern a.d. Weinstr.,,3.612,3.905,7.517
016 Freienfeld,,1.376,1.270,2.646
017 Sand in Taufers,,2.583,2.575,5.158
018 Kastelbell-Tschars,,1.199,1.167,2.366
019 Kastelruth,,3.227,3.184,6.411
020 Tscherms,,680,716,1.396
021 Kiens,,1.349,1.317,2.666
022 Klausen,,2.555,2.527,5.082
023 Karneid,,1.693,1.604,3.297
024 Kurtatsch a.d.Weinstr.,,1.106,1.114,2.220
025 Kurtinig a.d. Weinstr.,,312,319,631
026 Corvara,,661,648,1.309
027 Graun im Vinschgau,,1.240,1.173,2.413
028 Toblach,,1.637,1.611,3.248
029 Neumarkt,,2.321,2.471,4.792
030 Pfalzen,,1.261,1.255,2.516
031 Völs am Schlern,,1.655,1.687,3.342
032 Franzensfeste,,490,464,954
033 Villnöss,,1.240,1.259,2.499
034 Gais,,1.595,1.523,3.118
035 Gargazon,,770,780,1.550
036 Glurns,,455,427,882
037 Latsch,,2.556,2.553,5.109
038 Algund,,2.227,2.380,4.607
039 Lajen,,1.279,1.247,2.526
040 Leifers,,8.248,8.348,16.596
041 Lana,,5.331,5.617,10.948
042 Laas,,1.956,1.895,3.851
043 Laurein,,194,171,365
044 Lüsen,,749,766,1.515
045 Margreid a.d. Weinstr.,,627,642,1.269
046 Mals,,2.568,2.469,5.037
047 Enneberg,,1.464,1.398,2.862
048 Marling,,1.214,1.213,2.427
049 Martell,,464,405,869
050 Mölten,,814,772,1.586
051 Meran,,17.700,19.246,36.946
052 Welsberg-Taisten,,1.372,1.392,2.764
053 Montan,,776,775,1.551
054 Moos in Passeier,,1.141,1.028,2.169
055 Nals,,841,845,1.686
056 Naturns,,2.721,2.669,5.390
057 Natz-Schabs,,1.451,1.387,2.838
058 Welschnofen,,973,927,1.900
059 Deutschnofen,,1.951,1.890,3.841
060 Auer,,1.679,1.799,3.478
061 St.Ulrich,,2.264,2.318,4.582
062 Partschins,,1.682,1.741,3.423
063 Percha,,703,687,1.390
064 Plaus,,348,312,660
065 Waidbruck,,96,85,181
066 Burgstall,,826,865,1.691
067 Prad am Stilfser Joch,,1.693,1.667,3.360
068 Prettau,,312,290,602
069 Proveis,,151,119,270
070 Ratschings,,2.227,2.060,4.287
071 Rasen-Antholz,,1.456,1.379,2.835
072 Ritten,,3.696,3.687,7.383
073 Riffian,,631,629,1.260
074 Mühlbach,,1.426,1.390,2.816
075 Rodeneck,,608,565,1.173
076 Salurn,,1.707,1.734,3.441
077 Innichen,,1.542,1.605,3.147
079 Jenesien,,1.458,1.471,2.929
080 St.Leonhard in Pass.,,1.796,1.691,3.487
081 St.Lorenzen,,1.838,1.794,3.632
082 St.Martin in Thurn,,873,849,1.722
083 St.Martin in Passeier,,1.553,1.538,3.091
084 St.Pankraz,,820,766,1.586
085 St.Christina in Gröden,,958,944,1.902
086 Sarntal,,3.483,3.350,6.833
087 Schenna,,1.416,1.370,2.786
088 Mühlwald,,791,686,1.477
089 Wolkenstein in Gröden,,1.294,1.323,2.617
091 Schnals,,695,658,1.353
092 Sexten,,937,984,1.921
093 Schlanders,,2.877,3.025,5.902
094 Schluderns,,937,913,1.850
095 Stilfs,,635,601,1.236
096 Terenten,,871,812,1.683
097 Terlan,,1.969,2.102,4.071
098 Tramin a.d. Weinstr.,,1.597,1.655,3.252
099 Tisens,,902,934,1.836
100 Tiers,,468,497,965
101 Tirol,,1.219,1.179,2.398
102 Truden im Naturpark,,475,515,990
103 Taufers im Münstertal,,470,488,958
104 Ulten,,1.489,1.438,2.927
105 Pfatten,,505,500,1.005
106 Olang,,1.515,1.503,3.018
107 Pfitsch,,1.375,1.354,2.729
108 Ahrntal,,2.948,2.869,5.817
109 Gsies,,1.111,1.069,2.180
110 Vintl,,1.651,1.590,3.241
111 Vahrn,,2.048,2.114,4.162
112 Vöran,,497,411,908
113 Niederdorf,,705,746,1.451
114 Villanders,,975,912,1.887
115 Sterzing,,3.066,3.096,6.162
116 Feldthurns,,1.342,1.345,2.687
117 Wengen,,671,602,1.273
118 U.L.Frau i.W.-St.Felix,,408,386,794
Insgesamt,,245.311,251.440,496.751
