Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,847,809,1.656
002 Andrian,,521,503,1.024
003 Altrei,,197,198,395
004 Eppan a.d. Weinstr.,,7.375,7.591,14.966
005 Hafling,,385,391,776
006 Abtei,,1.720,1.780,3.500
007 Barbian,,860,857,1.717
008 Bozen,,51.654,56.038,107.692
009 Prags,,322,330,652
010 Brenner,,1.121,1.065,2.186
011 Brixen,,10.725,11.414,22.139
012 Branzoll,,1.396,1.403,2.799
013 Bruneck,,8.234,8.348,16.582
014 Kuens,,189,206,395
015 Kaltern a.d. Weinstr.,,3.899,4.156,8.055
016 Freienfeld,,1.360,1.285,2.645
017 Sand in Taufers,,2.697,2.752,5.449
018 Kastelbell-Tschars,,1.187,1.121,2.308
019 Kastelruth,,3.486,3.418,6.904
020 Tscherms,,776,770,1.546
021 Kiens,,1.435,1.403,2.838
022 Klausen,,2.623,2.614,5.237
023 Karneid,,1.748,1.647,3.395
024 Kurtatsch a.d.Weinstr.,,1.116,1.119,2.235
025 Kurtinig a.d. Weinstr.,,327,337,664
026 Corvara,,680,697,1.377
027 Graun im Vinschgau,,1.225,1.156,2.381
028 Toblach,,1.683,1.673,3.356
029 Neumarkt,,2.587,2.719,5.306
030 Pfalzen,,1.404,1.386,2.790
031 Völs am Schlern,,1.782,1.816,3.598
032 Franzensfeste,,505,494,999
033 Villnöss,,1.292,1.311,2.603
034 Gais,,1.676,1.602,3.278
035 Gargazon,,838,851,1.689
036 Glurns,,464,424,888
037 Latsch,,2.607,2.607,5.214
038 Algund,,2.432,2.621,5.053
039 Lajen,,1.327,1.349,2.676
040 Leifers,,9.001,9.065,18.066
041 Lana,,5.970,6.335,12.305
042 Laas,,2.024,2.004,4.028
043 Laurein,,182,156,338
044 Lüsen,,771,773,1.544
045 Margreid a.d. Weinstr.,,624,671,1.295
046 Mals,,2.694,2.571,5.265
047 Enneberg,,1.539,1.504,3.043
048 Marling,,1.375,1.346,2.721
049 Martell,,465,388,853
050 Mölten,,879,801,1.680
051 Meran,,19.559,21.035,40.594
052 Welsberg-Taisten,,1.415,1.454,2.869
053 Montan,,831,856,1.687
054 Moos in Passeier,,1.109,988,2.097
055 Nals,,1.005,1.015,2.020
056 Naturns,,2.934,2.875,5.809
057 Natz-Schabs,,1.599,1.590,3.189
058 Welschnofen,,1.015,970,1.985
059 Deutschnofen,,1.989,1.938,3.927
060 Auer,,1.846,1.946,3.792
061 St.Ulrich,,2.405,2.479,4.884
062 Partschins,,1.831,1.893,3.724
063 Percha,,778,772,1.550
064 Plaus,,373,340,713
065 Waidbruck,,112,83,195
066 Burgstall,,917,969,1.886
067 Prad am Stilfser Joch,,1.812,1.796,3.608
068 Prettau,,281,266,547
069 Proveis,,153,114,267
070 Ratschings,,2.298,2.173,4.471
071 Rasen-Antholz,,1.468,1.441,2.909
072 Ritten,,3.931,3.973,7.904
073 Riffian,,697,660,1.357
074 Mühlbach,,1.570,1.528,3.098
075 Rodeneck,,628,602,1.230
076 Salurn,,1.918,1.941,3.859
077 Innichen,,1.662,1.693,3.355
079 Jenesien,,1.541,1.504,3.045
080 St.Leonhard in Pass.,,1.814,1.741,3.555
081 St.Lorenzen,,1.949,1.940,3.889
082 St.Martin in Thurn,,875,869,1.744
083 St.Martin in Passeier,,1.610,1.623,3.233
084 St.Pankraz,,793,756,1.549
085 St.Christina in Gröden,,984,975,1.959
086 Sarntal,,3.612,3.488,7.100
087 Schenna,,1.450,1.457,2.907
088 Mühlwald,,753,684,1.437
089 Wolkenstein in Gröden,,1.307,1.316,2.623
091 Schnals,,637,597,1.234
092 Sexten,,953,953,1.906
093 Schlanders,,3.033,3.148,6.181
094 Schluderns,,921,899,1.820
095 Stilfs,,592,552,1.144
096 Terenten,,904,850,1.754
097 Terlan,,2.177,2.231,4.408
098 Tramin a.d. Weinstr.,,1.686,1.727,3.413
099 Tisens,,991,987,1.978
100 Tiers,,483,507,990
101 Tirol,,1.220,1.247,2.467
102 Truden im Naturpark,,500,528,1.028
103 Taufers im Münstertal,,477,511,988
104 Ulten,,1.467,1.404,2.871
105 Pfatten,,551,506,1.057
106 Olang,,1.601,1.578,3.179
107 Pfitsch,,1.569,1.505,3.074
108 Ahrntal,,3.061,2.944,6.005
109 Gsies,,1.164,1.166,2.330
110 Vintl,,1.684,1.653,3.337
111 Vahrn,,2.275,2.276,4.551
112 Vöran,,504,448,952
113 Niederdorf,,812,798,1.610
114 Villanders,,956,896,1.852
115 Sterzing,,3.503,3.457,6.960
116 Feldthurns,,1.470,1.441,2.911
117 Wengen,,722,670,1.392
118 U.L.Frau i.W.-St.Felix,,396,373,769
Insgesamt,,261.359,267.470,528.829
