Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,827,844,1.671
002 Andrian,,450,438,888
003 Altrei,,191,189,380
004 Eppan a.d. Weinstr.,,6.477,6.624,13.101
005 Hafling,,358,360,718
006 Abtei,,1.528,1.607,3.135
007 Barbian,,785,749,1.534
008 Bozen,,46.783,51.112,97.895
009 Prags,,317,317,634
010 Brenner,,1.055,995,2.050
011 Brixen,,9.213,9.876,19.089
012 Branzoll,,1.186,1.186,2.372
013 Bruneck,,6.925,7.158,14.083
014 Kuens,,174,164,338
015 Kaltern a.d. Weinstr.,,3.462,3.738,7.200
016 Freienfeld,,1.328,1.230,2.558
017 Sand in Taufers,,2.467,2.466,4.933
018 Kastelbell-Tschars,,1.166,1.157,2.323
019 Kastelruth,,3.079,3.073,6.152
020 Tscherms,,663,658,1.321
021 Kiens,,1.340,1.298,2.638
022 Klausen,,2.410,2.445,4.855
023 Karneid,,1.668,1.538,3.206
024 Kurtatsch a.d.Weinstr.,,1.070,1.069,2.139
025 Kurtinig a.d. Weinstr.,,296,314,610
026 Corvara,,642,623,1.265
027 Graun im Vinschgau,,1.226,1.166,2.392
028 Toblach,,1.662,1.625,3.287
029 Neumarkt,,2.195,2.332,4.527
030 Pfalzen,,1.198,1.170,2.368
031 Völs am Schlern,,1.564,1.543,3.107
032 Franzensfeste,,474,436,910
033 Villnöss,,1.212,1.213,2.425
034 Gais,,1.513,1.474,2.987
035 Gargazon,,712,755,1.467
036 Glurns,,442,437,879
037 Latsch,,2.480,2.500,4.980
038 Algund,,2.014,2.177,4.191
039 Lajen,,1.203,1.189,2.392
040 Leifers,,7.729,7.819,15.548
041 Lana,,4.987,5.207,10.194
042 Laas,,1.900,1.863,3.763
043 Laurein,,185,171,356
044 Lüsen,,733,744,1.477
045 Margreid a.d. Weinstr.,,586,595,1.181
046 Mals,,2.536,2.406,4.942
047 Enneberg,,1.408,1.342,2.750
048 Marling,,1.117,1.141,2.258
049 Martell,,468,408,876
050 Mölten,,787,729,1.516
051 Meran,,16.713,18.276,34.989
052 Welsberg-Taisten,,1.297,1.300,2.597
053 Montan,,812,775,1.587
054 Moos in Passeier,,1.151,1.055,2.206
055 Nals,,812,809,1.621
056 Naturns,,2.590,2.533,5.123
057 Natz-Schabs,,1.324,1.263,2.587
058 Welschnofen,,951,915,1.866
059 Deutschnofen,,1.847,1.812,3.659
060 Auer,,1.621,1.707,3.328
061 St.Ulrich,,2.260,2.334,4.594
062 Partschins,,1.618,1.687,3.305
063 Percha,,677,663,1.340
064 Plaus,,310,284,594
065 Waidbruck,,103,90,193
066 Burgstall,,768,814,1.582
067 Prad am Stilfser Joch,,1.650,1.579,3.229
068 Prettau,,315,305,620
069 Proveis,,158,120,278
070 Ratschings,,2.150,1.951,4.101
071 Rasen-Antholz,,1.415,1.350,2.765
072 Ritten,,3.592,3.516,7.108
073 Riffian,,595,593,1.188
074 Mühlbach,,1.375,1.337,2.712
075 Rodeneck,,606,550,1.156
076 Salurn,,1.566,1.592,3.158
077 Innichen,,1.545,1.582,3.127
079 Jenesien,,1.401,1.408,2.809
080 St.Leonhard in Pass.,,1.743,1.660,3.403
081 St.Lorenzen,,1.783,1.749,3.532
082 St.Martin in Thurn,,873,842,1.715
083 St.Martin in Passeier,,1.473,1.464,2.937
084 St.Pankraz,,830,752,1.582
085 St.Christina in Gröden,,896,893,1.789
086 Sarntal,,3.404,3.240,6.644
087 Schenna,,1.395,1.314,2.709
088 Mühlwald,,785,693,1.478
089 Wolkenstein in Gröden,,1.271,1.293,2.564
091 Schnals,,725,679,1.404
092 Sexten,,948,970,1.918
093 Schlanders,,2.908,2.948,5.856
094 Schluderns,,945,930,1.875
095 Stilfs,,658,633,1.291
096 Terenten,,849,794,1.643
097 Terlan,,1.830,1.917,3.747
098 Tramin a.d. Weinstr.,,1.540,1.642,3.182
099 Tisens,,897,935,1.832
100 Tiers,,458,467,925
101 Tirol,,1.189,1.149,2.338
102 Truden im Naturpark,,470,506,976
103 Taufers im Münstertal,,484,468,952
104 Ulten,,1.485,1.476,2.961
105 Pfatten,,421,421,842
106 Olang,,1.444,1.426,2.870
107 Pfitsch,,1.339,1.316,2.655
108 Ahrntal,,2.863,2.753,5.616
109 Gsies,,1.070,1.058,2.128
110 Vintl,,1.626,1.546,3.172
111 Vahrn,,1.838,1.898,3.736
112 Vöran,,482,405,887
113 Niederdorf,,681,710,1.391
114 Villanders,,953,904,1.857
115 Sterzing,,2.947,2.953,5.900
116 Feldthurns,,1.286,1.337,2.623
117 Wengen,,657,591,1.248
118 U.L.Frau i.W.-St.Felix,,417,403,820
