Gemeinde, ,Männer,Frauen,Insgesamt
001 Aldein,,800,841,1.641
002 Andrian,,416,403,819
003 Altrei,,189,192,381
004 Eppan a.d. Weinstr.,,6.284,6.489,12.773
005 Hafling,,365,354,719
006 Abtei,,1.492,1.570,3.062
007 Barbian,,781,758,1.539
008 Bozen,,46.400,50.512,96.912
009 Prags,,324,308,632
010 Brenner,,1.068,991,2.059
011 Brixen,,8.930,9.605,18.535
012 Branzoll,,1.131,1.158,2.289
013 Bruneck,,6.672,6.971,13.643
014 Kuens,,160,156,316
015 Kaltern a.d. Weinstr.,,3.328,3.598,6.926
016 Freienfeld,,1.302,1.217,2.519
017 Sand in Taufers,,2.414,2.462,4.876
018 Kastelbell-Tschars,,1.166,1.144,2.310
019 Kastelruth,,2.990,3.004,5.994
020 Tscherms,,632,613,1.245
021 Kiens,,1.348,1.297,2.645
022 Klausen,,2.328,2.343,4.671
023 Karneid,,1.595,1.508,3.103
024 Kurtatsch a.d.Weinstr.,,1.033,1.052,2.085
025 Kurtinig a.d. Weinstr.,,293,304,597
026 Corvara,,636,629,1.265
027 Graun im Vinschgau,,1.220,1.148,2.368
028 Toblach,,1.639,1.633,3.272
029 Neumarkt,,2.124,2.267,4.391
030 Pfalzen,,1.146,1.115,2.261
031 Völs am Schlern,,1.544,1.521,3.065
032 Franzensfeste,,454,448,902
033 Villnöss,,1.207,1.197,2.404
034 Gais,,1.479,1.435,2.914
035 Gargazon,,685,724,1.409
036 Glurns,,435,440,875
037 Latsch,,2.410,2.485,4.895
038 Algund,,1.974,2.122,4.096
039 Lajen,,1.168,1.137,2.305
040 Leifers,,7.535,7.675,15.210
041 Lana,,4.771,5.056,9.827
042 Laas,,1.876,1.838,3.714
043 Laurein,,186,174,360
044 Lüsen,,733,737,1.470
045 Margreid a.d. Weinstr.,,590,596,1.186
046 Mals,,2.477,2.365,4.842
047 Enneberg,,1.376,1.323,2.699
048 Marling,,1.088,1.094,2.182
049 Martell,,471,421,892
050 Mölten,,752,692,1.444
051 Meran,,16.049,17.910,33.959
052 Welsberg-Taisten,,1.305,1.296,2.601
053 Montan,,751,745,1.496
054 Moos in Passeier,,1.137,1.045,2.182
055 Nals,,786,794,1.580
056 Naturns,,2.554,2.536,5.090
057 Natz-Schabs,,1.251,1.216,2.467
058 Welschnofen,,930,907,1.837
059 Deutschnofen,,1.819,1.784,3.603
060 Auer,,1.490,1.589,3.079
061 St.Ulrich,,2.223,2.262,4.485
062 Partschins,,1.585,1.646,3.231
063 Percha,,668,655,1.323
064 Plaus,,289,272,561
065 Waidbruck,,99,87,186
066 Burgstall,,734,779,1.513
067 Prad am Stilfser Joch,,1.615,1.561,3.176
068 Prettau,,315,307,622
069 Proveis,,161,121,282
070 Ratschings,,2.099,1.905,4.004
071 Rasen-Antholz,,1.412,1.320,2.732
072 Ritten,,3.532,3.471,7.003
073 Riffian,,586,586,1.172
074 Mühlbach,,1.329,1.326,2.655
075 Rodeneck,,598,550,1.148
076 Salurn,,1.464,1.479,2.943
077 Innichen,,1.542,1.554,3.096
079 Jenesien,,1.362,1.374,2.736
080 St.Leonhard in Pass.,,1.745,1.663,3.408
081 St.Lorenzen,,1.742,1.726,3.468
082 St.Martin in Thurn,,860,836,1.696
083 St.Martin in Passeier,,1.431,1.425,2.856
084 St.Pankraz,,827,761,1.588
085 St.Christina in Gröden,,885,894,1.779
086 Sarntal,,3.376,3.234,6.610
087 Schenna,,1.382,1.304,2.686
088 Mühlwald,,777,689,1.466
089 Wolkenstein in Gröden,,1.264,1.287,2.551
091 Schnals,,724,680,1.404
092 Sexten,,948,968,1.916
093 Schlanders,,2.879,2.898,5.777
094 Schluderns,,934,915,1.849
095 Stilfs,,667,638,1.305
096 Terenten,,824,765,1.589
097 Terlan,,1.798,1.876,3.674
098 Tramin a.d. Weinstr.,,1.531,1.645,3.176
099 Tisens,,880,915,1.795
100 Tiers,,448,453,901
101 Tirol,,1.192,1.153,2.345
102 Truden im Naturpark,,472,508,980
103 Taufers im Münstertal,,479,461,940
104 Ulten,,1.496,1.485,2.981
105 Pfatten,,429,421,850
106 Olang,,1.407,1.400,2.807
107 Pfitsch,,1.292,1.284,2.576
108 Ahrntal,,2.826,2.709,5.535
109 Gsies,,1.062,1.040,2.102
110 Vintl,,1.615,1.537,3.152
111 Vahrn,,1.771,1.816,3.587
112 Vöran,,476,411,887
113 Niederdorf,,646,665,1.311
114 Villanders,,929,900,1.829
115 Sterzing,,2.880,2.948,5.828
116 Feldthurns,,1.260,1.315,2.575
117 Wengen,,645,586,1.231
118 U.L.Frau i.W.-St.Felix,,398,392,790
