Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.637,45,26,13,0,4,2,0
002 Andrian,964,67,42,19,1,2,3,0
003 Altrei,375,14,2,10,2,0,0,0
004 Eppan a.d. Weinstr.,13.417,1.314,693,385,81,110,45,0
005 Hafling,703,55,40,14,1,0,0,0
006 Abtei,3.362,103,67,21,5,5,5,0
007 Barbian,1.580,105,47,18,4,33,3,0
008 Bozen,90.924,15.460,2.878,5.065,2.771,3.582,1.163,1
009 Prags,636,13,10,1,0,2,0,0
010 Brenner,1.821,311,81,94,15,117,3,1
011 Brixen,19.302,2.135,762,652,150,502,69,0
012 Branzoll,2.455,236,40,115,31,43,7,0
013 Bruneck,14.489,1.523,536,692,27,238,30,0
014 Kuens,403,7,7,0,0,0,0,0
015 Kaltern a.d. Weinstr.,7.215,617,323,169,38,70,17,0
016 Freienfeld,2.523,139,83,37,4,14,0,1
017 Sand in Taufers,5.098,241,104,69,11,42,15,0
018 Kastelbell-Tschars,2.210,123,54,19,24,26,0,0
019 Kastelruth,6.278,446,213,109,44,55,25,0
020 Tscherms,1.395,105,70,20,12,1,2,0
021 Kiens,2.686,105,49,37,5,14,0,0
022 Klausen,4.873,316,131,77,8,77,23,0
023 Karneid,3.190,171,64,48,16,31,12,0
024 Kurtatsch a.d.Weinstr.,2.100,118,65,21,7,22,3,0
025 Kurtinig a.d. Weinstr.,597,47,26,4,17,0,0,0
026 Corvara,1.340,25,13,7,0,2,3,0
027 Graun im Vinschgau,2.325,89,64,6,11,8,0,0
028 Toblach,3.157,195,80,92,5,15,3,0
029 Neumarkt,4.675,521,133,209,95,60,24,0
030 Pfalzen,2.695,70,30,32,3,5,0,0
031 Völs am Schlern,3.223,320,140,78,29,59,14,0
032 Franzensfeste,739,245,40,64,45,91,5,0
033 Villnöss,2.497,106,53,9,11,31,2,0
034 Gais,3.139,88,46,32,6,3,1,0
035 Gargazon,1.581,116,59,37,5,8,7,0
036 Glurns,860,34,22,7,1,4,0,0
037 Latsch,4.825,358,182,100,33,41,2,0
038 Algund,4.596,427,223,111,42,48,3,0
039 Lajen,2.487,168,32,38,28,69,1,0
040 Leifers,15.987,1.671,352,618,294,278,129,0
041 Lana,10.726,962,483,330,71,65,13,0
042 Laas,3.831,143,99,29,8,4,3,0
043 Laurein,337,0,0,0,0,0,0,0
044 Lüsen,1.471,60,57,1,1,0,1,0
045 Margreid a.d. Weinstr.,1.158,143,59,20,30,32,2,0
046 Mals,4.884,248,151,61,34,1,1,0
047 Enneberg,2.792,175,101,64,3,4,3,0
048 Marling,2.386,208,98,64,7,35,4,0
049 Martell,853,30,25,5,0,0,0,0
050 Mölten,1.620,43,30,13,0,0,0,0
051 Meran,33.136,6.329,1.829,2.580,721,1.072,125,2
052 Welsberg-Taisten,2.699,170,50,58,16,43,3,0
053 Montan,1.559,57,34,10,4,3,6,0
054 Moos in Passeier,2.098,24,22,2,0,0,0,0
055 Nals,1.795,114,83,17,0,13,1,0
056 Naturns,5.321,411,234,93,41,39,4,0
057 Natz-Schabs,2.761,265,163,46,6,37,13,0
058 Welschnofen,1.772,178,70,79,6,18,5,0
059 Deutschnofen,3.653,248,116,92,13,24,3,0
060 Auer,3.307,299,96,92,60,43,8,0
061 St.Ulrich,4.418,339,97,115,24,32,71,0
062 Partschins,3.473,177,99,49,16,10,3,0
063 Percha,1.466,37,21,13,3,0,0,0
064 Plaus,624,77,24,29,12,12,0,0
065 Waidbruck,177,26,1,15,9,1,0,0
066 Burgstall,1.723,99,61,29,0,5,4,0
067 Prad am Stilfser Joch,3.200,252,120,69,53,7,3,0
068 Prettau,571,5,3,1,0,1,0,0
069 Proveis,260,6,3,0,0,0,3,0
070 Ratschings,4.273,149,85,41,9,14,0,0
071 Rasen-Antholz,2.758,111,61,42,0,8,0,0
072 Ritten,7.320,429,212,154,23,27,13,0
073 Riffian,1.317,31,18,4,6,2,1,0
074 Mühlbach,2.685,384,148,106,43,84,3,0
075 Rodeneck,1.170,26,20,5,0,0,1,0
076 Salurn,2.937,769,91,251,206,207,14,0
077 Innichen,3.123,192,73,73,3,36,7,0
079 Jenesien,2.979,70,49,13,2,5,1,0
080 St.Leonhard in Pass.,3.534,71,43,20,1,7,0,0
081 St.Lorenzen,3.663,196,69,81,29,16,1,0
082 St.Martin in Thurn,1.671,40,18,13,3,4,2,0
083 St.Martin in Passeier,3.066,130,62,8,20,37,3,0
084 St.Pankraz,1.545,23,14,8,0,0,1,0
085 St.Christina in Gröden,1.836,133,56,27,5,16,29,0
086 Sarntal,6.839,164,104,24,23,9,4,0
087 Schenna,2.731,162,131,6,2,17,6,0
088 Mühlwald,1.439,19,7,6,5,0,1,0
089 Wolkenstein in Gröden,2.530,108,49,14,4,28,13,0
091 Schnals,1.232,53,31,14,5,2,1,0
092 Sexten,1.817,100,49,26,3,11,11,0
093 Schlanders,5.603,394,185,145,31,31,2,0
094 Schluderns,1.747,57,47,5,5,0,0,0
095 Stilfs,1.072,86,44,31,7,3,1,0
096 Terenten,1.682,51,32,9,0,7,3,0
097 Terlan,3.983,306,160,74,15,52,5,0
098 Tramin a.d. Weinstr.,3.108,207,94,44,22,36,11,0
099 Tisens,1.823,65,50,13,0,1,1,0
100 Tiers,914,60,24,15,0,17,4,0
101 Tirol,2.325,123,103,11,3,4,2,0
102 Truden im Naturpark,963,78,24,40,11,3,0,0
103 Taufers im Münstertal,930,40,22,7,11,0,0,0
104 Ulten,2.840,37,30,5,1,1,0,0
105 Pfatten,922,125,26,26,61,8,4,0
106 Olang,2.933,184,67,70,14,33,0,0
107 Pfitsch,2.729,184,67,30,21,63,3,0
108 Ahrntal,5.816,150,86,35,22,7,0,0
109 Gsies,2.248,60,31,23,6,0,0,0
110 Vintl,3.154,144,54,27,30,32,1,0
111 Vahrn,4.087,346,181,88,20,56,1,0
112 Vöran,918,23,18,5,0,0,0,0
113 Niederdorf,1.428,108,26,54,11,10,7,0
114 Villanders,1.817,44,21,10,0,12,1,0
115 Sterzing,6.201,612,198,191,32,179,12,0
116 Feldthurns,2.722,86,42,8,3,31,2,0
117 Wengen,1.308,30,13,17,0,0,0,0
118 U.L.Frau i.W.-St.Felix,764,9,4,0,0,0,5,0
