Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
095 Stilfs,1.151,77,34,24,17,0,1,1
096 Terenten,1.672,39,26,13,0,0,0,0
097 Terlan,3.836,293,147,74,22,41,9,0
098 Tramin a.d. Weinstr.,3.089,193,89,46,14,33,11,0
099 Tisens,1.792,59,48,11,0,0,0,0
100 Tiers,916,49,20,23,0,5,1,0
101 Tirol,2.325,82,61,14,0,7,0,0
102 Truden im Naturpark,913,87,17,59,4,7,0,0
103 Taufers im Münstertal,952,30,18,8,3,0,1,0
104 Ulten,2.898,30,24,1,1,4,0,0
105 Pfatten,930,73,11,11,45,6,0,0
106 Olang,2.888,153,51,62,11,29,0,0
107 Pfitsch,2.569,151,60,17,19,55,0,0
108 Ahrntal,5.754,122,80,22,12,7,0,1
109 Gsies,2.149,66,30,35,1,0,0,0
110 Vintl,3.115,127,45,29,25,28,0,0
111 Vahrn,3.877,338,175,94,18,46,5,0
112 Vöran,898,20,17,3,0,0,0,0
113 Niederdorf,1.361,96,28,38,9,18,3,0
114 Villanders,1.845,63,31,13,1,18,0,0
115 Sterzing,5.821,485,195,117,27,140,6,0
116 Feldthurns,2.644,77,35,18,0,22,2,0
117 Wengen,1.266,15,7,8,0,0,0,0
118 U.L.Frau i.W.-St.Felix,783,5,5,0,0,0,0,0
Insgesamt,464.247,39.152,13.142,13.246,5.008,5.945,1.784,27
