Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.619,39,20,16,0,3,0,0
002 Andrian,979,46,32,10,0,2,2,0
003 Altrei,378,11,3,4,4,0,0,0
004 Eppan a.d. Weinstr.,12.905,1.107,630,300,71,82,24,0
005 Hafling,695,37,26,10,0,1,0,0
006 Abtei,3.275,74,29,21,9,11,4,0
007 Barbian,1.518,63,35,13,1,13,1,0
008 Bozen,90.533,12.525,2.502,4.333,2.417,2.241,1.024,8
009 Prags,646,14,9,1,0,4,0,0
010 Brenner,1.828,290,83,97,14,95,0,1
011 Brixen,18.589,1.929,706,664,124,390,45,0
012 Branzoll,2.423,217,28,124,29,32,4,0
013 Bruneck,13.969,1.402,503,647,29,209,14,0
014 Kuens,392,4,4,0,0,0,0,0
015 Kaltern a.d. Weinstr.,7.059,514,255,123,46,72,18,0
016 Freienfeld,2.551,128,76,22,6,15,2,7
017 Sand in Taufers,5.051,179,82,55,6,28,8,0
018 Kastelbell-Tschars,2.275,108,51,20,19,16,2,0
019 Kastelruth,6.129,327,133,67,35,72,20,0
020 Tscherms,1.331,62,54,5,0,0,3,0
021 Kiens,2.622,100,44,35,7,13,1,0
022 Klausen,4.853,291,114,75,5,78,19,0
023 Karneid,3.153,181,75,45,18,26,17,0
024 Kurtatsch a.d.Weinstr.,2.129,115,65,13,8,27,2,0
025 Kurtinig a.d. Weinstr.,592,50,25,12,12,0,1,0
026 Corvara,1.286,21,10,5,1,2,2,1
027 Graun im Vinschgau,2.357,92,69,4,8,11,0,0
028 Toblach,3.117,139,53,73,1,12,0,0
029 Neumarkt,4.463,463,122,186,78,44,33,0
030 Pfalzen,2.504,56,30,22,0,4,0,0
031 Völs am Schlern,3.173,261,119,62,17,53,10,0
032 Franzensfeste,791,180,36,51,28,58,7,0
033 Villnöss,2.446,86,42,10,5,29,0,0
034 Gais,3.048,101,61,28,4,6,2,0
035 Gargazon,1.501,86,37,21,8,17,3,0
036 Glurns,839,32,16,7,6,3,0,0
037 Latsch,4.769,372,134,141,44,47,6,0
038 Algund,4.443,323,149,87,30,53,4,0
039 Lajen,2.444,143,36,26,34,41,6,0
040 Leifers,15.489,1.473,280,561,319,172,140,1
041 Lana,10.236,889,442,316,75,52,4,0
042 Laas,3.745,151,74,44,9,14,10,0
043 Laurein,359,0,0,0,0,0,0,0
044 Lüsen,1.488,51,37,1,11,0,2,0
045 Margreid a.d. Weinstr.,1.142,153,67,43,15,22,6,0
046 Mals,4.855,199,126,49,24,0,0,0
047 Enneberg,2.784,113,58,53,1,1,0,0
048 Marling,2.335,152,81,43,7,19,2,0
049 Martell,853,18,18,0,0,0,0,0
050 Mölten,1.569,42,24,14,3,0,0,1
051 Meran,32.396,5.271,1.654,2.191,610,710,104,2
052 Welsberg-Taisten,2.656,168,55,51,4,56,2,0
053 Montan,1.534,69,45,16,1,6,1,0
054 Moos in Passeier,2.174,21,18,3,0,0,0,0
055 Nals,1.678,77,47,11,3,13,3,0
056 Naturns,5.129,311,174,73,38,24,2,0
057 Natz-Schabs,2.623,265,139,77,7,27,15,0
058 Welschnofen,1.740,177,46,95,6,22,7,1
059 Deutschnofen,3.628,248,138,76,11,21,1,1
060 Auer,3.263,274,72,106,54,39,3,0
061 St.Ulrich,4.366,240,68,80,18,23,51,0
062 Partschins,3.336,141,71,52,15,1,2,0
063 Percha,1.380,44,22,22,0,0,0,0
064 Plaus,620,63,22,35,1,5,0,0
065 Waidbruck,161,22,1,11,10,0,0,0
066 Burgstall,1.620,97,65,24,3,2,3,0
067 Prad am Stilfser Joch,3.156,214,93,66,47,5,3,0
068 Prettau,595,1,1,0,0,0,0,0
069 Proveis,269,4,3,1,0,0,0,0
070 Ratschings,4.201,130,90,25,0,15,0,0
071 Rasen-Antholz,2.795,87,63,21,0,2,1,0
072 Ritten,7.085,423,178,193,16,22,14,0
073 Riffian,1.266,25,16,3,4,2,0,0
074 Mühlbach,2.583,280,136,46,23,74,1,0
075 Rodeneck,1.155,26,19,5,0,0,1,1
076 Salurn,2.850,672,90,209,189,165,19,0
077 Innichen,3.046,154,67,39,10,34,4,0
079 Jenesien,2.861,76,50,13,10,2,1,0
080 St.Leonhard in Pass.,3.440,78,41,14,9,13,1,0
081 St.Lorenzen,3.555,162,55,72,15,19,1,0
082 St.Martin in Thurn,1.701,23,10,6,3,0,4,0
083 St.Martin in Passeier,3.023,88,63,4,6,11,3,1
084 St.Pankraz,1.569,20,16,3,0,1,0,0
085 St.Christina in Gröden,1.787,121,49,31,9,2,30,0
086 Sarntal,6.699,163,91,37,23,10,2,0
087 Schenna,2.723,112,96,11,1,3,1,0
088 Mühlwald,1.470,12,6,5,1,0,0,0
089 Wolkenstein in Gröden,2.546,75,37,6,1,23,8,0
091 Schnals,1.320,46,26,19,1,0,0,0
092 Sexten,1.862,78,31,26,8,7,6,0
093 Schlanders,5.620,394,174,161,26,30,3,0
094 Schluderns,1.792,61,45,8,8,0,0,0
