Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.618,46,29,14,0,3,0,0
002 Andrian,971,58,44,11,0,0,3,0
003 Altrei,386,10,3,5,2,0,0,0
004 Eppan a.d. Weinstr.,13.647,1.263,664,345,88,115,51,0
005 Hafling,713,50,39,11,0,0,0,0
006 Abtei,3.374,122,77,29,1,8,7,0
007 Barbian,1.605,98,40,24,4,29,1,0
008 Bozen,91.936,15.640,2.876,4.857,2.885,3.936,1.086,0
009 Prags,632,18,12,2,0,4,0,0
010 Brenner,1.827,363,95,126,20,120,2,0
011 Brixen,19.633,2.136,781,645,150,494,66,0
012 Branzoll,2.573,225,38,102,35,42,8,0
013 Bruneck,14.856,1.506,527,659,81,215,24,0
014 Kuens,398,5,5,0,0,0,0,0
015 Kaltern a.d. Weinstr.,7.364,647,343,177,27,78,22,0
016 Freienfeld,2.542,127,79,18,10,19,1,0
017 Sand in Taufers,5.152,249,105,74,13,45,12,0
018 Kastelbell-Tschars,2.184,116,51,27,17,21,0,0
019 Kastelruth,6.386,497,234,119,64,53,27,0
020 Tscherms,1.455,104,73,21,6,2,1,1
021 Kiens,2.692,114,50,35,8,21,0,0
022 Klausen,4.892,317,143,67,9,62,36,0
023 Karneid,3.194,166,61,34,20,37,14,0
024 Kurtatsch a.d.Weinstr.,2.105,121,59,27,6,27,2,0
025 Kurtinig a.d. Weinstr.,615,39,23,6,9,1,0,0
026 Corvara,1.343,33,15,6,1,8,3,0
027 Graun im Vinschgau,2.295,82,62,7,0,12,1,0
028 Toblach,3.199,171,77,71,3,18,2,0
029 Neumarkt,4.754,529,156,194,94,55,30,0
030 Pfalzen,2.692,73,37,25,2,9,0,0
031 Völs am Schlern,3.252,328,138,79,27,68,16,0
032 Franzensfeste,761,248,52,55,43,92,6,0
033 Villnöss,2.494,100,46,11,12,28,3,0
034 Gais,3.144,93,45,40,3,4,1,0
035 Gargazon,1.601,104,55,37,2,3,7,0
036 Glurns,859,29,19,4,1,4,1,0
037 Latsch,4.829,392,222,87,42,39,2,0
038 Algund,4.632,419,221,102,32,56,8,0
039 Lajen,2.501,153,34,43,20,55,1,0
040 Leifers,16.196,1.620,338,583,272,314,113,0
041 Lana,11.023,1.024,503,358,71,76,16,0
042 Laas,3.811,183,105,41,31,3,3,0
043 Laurein,340,1,1,0,0,0,0,0
044 Lüsen,1.480,47,45,0,0,1,1,0
045 Margreid a.d. Weinstr.,1.140,152,64,22,40,25,1,0
046 Mals,4.879,344,186,71,74,11,2,0
047 Enneberg,2.845,184,111,57,10,2,4,0
048 Marling,2.474,212,112,48,19,31,2,0
049 Martell,832,30,25,5,0,0,0,0
050 Mölten,1.632,44,31,12,0,0,1,0
051 Meran,33.782,6.453,1.938,2.459,785,1.145,125,1
052 Welsberg-Taisten,2.731,162,51,71,13,24,3,0
053 Montan,1.606,61,43,5,5,2,6,0
054 Moos in Passeier,2.083,24,21,3,0,0,0,0
055 Nals,1.852,125,81,27,1,16,0,0
056 Naturns,5.347,431,241,93,46,45,6,0
057 Natz-Schabs,2.896,275,174,44,12,33,12,0
058 Welschnofen,1.778,169,71,66,6,20,6,0
059 Deutschnofen,3.678,246,108,82,24,28,4,0
060 Auer,3.398,307,101,85,57,57,7,0
061 St.Ulrich,4.418,407,136,127,35,38,71,0
062 Partschins,3.515,170,91,37,21,19,2,0
063 Percha,1.486,36,16,16,3,1,0,0
064 Plaus,647,75,36,21,11,7,0,0
065 Waidbruck,166,33,2,16,10,5,0,0
066 Burgstall,1.775,99,64,21,2,4,8,0
067 Prad am Stilfser Joch,3.272,293,140,90,53,7,3,0
068 Prettau,550,1,1,0,0,0,0,0
069 Proveis,254,9,5,0,0,0,4,0
070 Ratschings,4.299,148,89,41,8,9,1,0
071 Rasen-Antholz,2.739,131,71,45,1,13,1,0
072 Ritten,7.387,471,253,146,24,30,18,0
073 Riffian,1.274,54,24,3,10,16,1,0
074 Mühlbach,2.726,354,141,108,39,64,2,0
075 Rodeneck,1.165,33,26,6,0,0,1,0
076 Salurn,3.010,791,94,219,247,218,13,0
077 Innichen,3.122,197,75,80,4,31,7,0
079 Jenesien,2.963,82,56,11,3,9,3,0
080 St.Leonhard in Pass.,3.493,57,41,6,1,9,0,0
081 St.Lorenzen,3.683,213,87,70,33,19,4,0
082 St.Martin in Thurn,1.673,46,19,17,4,4,2,0
083 St.Martin in Passeier,3.113,129,64,10,18,35,2,0
084 St.Pankraz,1.551,25,15,8,0,0,2,0
085 St.Christina in Gröden,1.817,144,56,27,4,21,36,0
086 Sarntal,6.879,180,112,20,27,16,5,0
087 Schenna,2.732,187,134,22,11,14,5,1
088 Mühlwald,1.420,20,6,5,9,0,0,0
089 Wolkenstein in Gröden,2.509,105,44,18,3,17,23,0
091 Schnals,1.191,50,37,9,2,1,1,0
092 Sexten,1.782,133,56,47,1,17,12,0
093 Schlanders,5.644,417,183,150,35,47,2,0
094 Schluderns,1.747,66,56,4,6,0,0,0
095 Stilfs,1.059,78,42,21,10,3,2,0
096 Terenten,1.704,44,33,8,0,3,0,0
097 Terlan,4.049,314,173,81,18,37,5,0
098 Tramin a.d. Weinstr.,3.157,228,109,49,20,39,11,0
099 Tisens,1.826,110,52,13,42,2,1,0
100 Tiers,922,60,25,16,1,16,2,0
101 Tirol,2.322,135,115,11,0,7,2,0
102 Truden im Naturpark,946,82,21,47,6,7,1,0
103 Taufers im Münstertal,935,43,23,8,5,7,0,0
104 Ulten,2.829,32,28,3,1,0,0,0
105 Pfatten,930,89,24,18,42,3,2,0
106 Olang,2.958,194,66,69,19,40,0,0
107 Pfitsch,2.791,222,60,54,61,41,6,0
108 Ahrntal,5.822,179,95,49,23,12,0,0
109 Gsies,2.261,64,36,25,3,0,0,0
110 Vintl,3.134,183,61,32,60,26,4,0
111 Vahrn,4.200,325,183,63,16,63,0,0
112 Vöran,928,17,13,3,1,0,0,0
113 Niederdorf,1.479,120,31,64,7,12,6,0
114 Villanders,1.811,38,22,7,1,7,1,0
115 Sterzing,6.298,588,210,199,29,135,15,0
116 Feldthurns,2.773,99,44,10,2,41,2,0
117 Wengen,1.343,33,17,15,1,0,0,0
118 U.L.Frau i.W.-St.Felix,762,7,4,1,0,0,2,0
