Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.643,10,5,2,2,1,0,0
002 Andrian,776,20,13,4,1,2,0,0
003 Altrei,374,14,4,8,0,0,2,0
004 Eppan a.d. Weinstr.,12.184,504,265,108,47,55,29,0
005 Hafling,681,34,10,21,0,3,0,0
006 Abtei,2.997,28,10,11,4,0,3,0
007 Barbian,1.483,32,24,6,0,2,0,0
008 Bozen,92.396,4.468,1.111,1.390,1.129,526,308,4
009 Prags,628,7,7,0,0,0,0,0
010 Brenner,1.957,94,28,2,6,57,1,0
011 Brixen,17.893,704,280,268,35,99,22,0
012 Branzoll,2.220,99,17,43,28,6,5,0
013 Bruneck,13.194,507,190,231,11,66,6,3
014 Kuens,318,1,1,0,0,0,0,0
015 Kaltern a.d. Weinstr.,6.558,293,154,55,33,44,7,0
016 Freienfeld,2.432,42,25,6,1,10,0,0
017 Sand in Taufers,4.796,74,38,18,5,9,4,0
018 Kastelbell-Tschars,2.293,46,23,16,4,3,0,0
019 Kastelruth,5.868,121,48,33,7,30,3,0
020 Tscherms,1.181,49,44,5,0,0,0,0
021 Kiens,2.620,35,19,11,5,0,0,0
022 Klausen,4.518,111,44,22,4,35,5,1
023 Karneid,3.055,57,20,20,12,2,3,0
024 Kurtatsch a.d.Weinstr.,2.034,53,33,14,1,5,0,0
025 Kurtinig a.d. Weinstr.,582,15,3,5,6,0,0,1
026 Corvara,1.247,5,3,1,0,0,0,1
027 Graun im Vinschgau,2.341,55,46,4,1,4,0,0
028 Toblach,3.186,76,30,35,2,9,0,0
029 Neumarkt,4.194,134,57,36,22,2,17,0
030 Pfalzen,2.226,18,14,4,0,0,0,0
031 Völs am Schlern,2.925,121,55,29,16,15,6,0
032 Franzensfeste,835,68,16,16,8,27,1,0
033 Villnöss,2.360,20,13,0,3,4,0,0
034 Gais,2.846,33,24,7,0,1,1,0
035 Gargazon,1.337,30,15,2,9,0,4,0
036 Glurns,863,19,12,3,4,0,0,0
037 Latsch,4.652,248,86,122,23,16,1,0
038 Algund,4.039,97,42,25,17,10,3,0
039 Lajen,2.229,29,18,3,1,6,1,0
040 Leifers,14.712,420,101,112,127,43,37,0
041 Lana,9.403,345,184,106,32,19,4,0
042 Laas,3.642,55,25,20,4,4,2,0
043 Laurein,355,0,0,0,0,0,0,0
044 Lüsen,1.454,8,7,0,0,1,0,0
045 Margreid a.d. Weinstr.,1.124,58,18,25,8,4,3,0
046 Mals,4.747,96,50,33,11,2,0,0
047 Enneberg,2.652,36,13,21,1,1,0,0
048 Marling,2.131,54,32,6,6,9,1,0
049 Martell,876,11,11,0,0,0,0,0
050 Mölten,1.439,12,10,2,0,0,0,0
051 Meran,32.179,1.992,764,645,285,231,63,4
052 Welsberg-Taisten,2.486,84,22,41,0,21,0,0
053 Montan,1.445,32,23,2,0,2,5,0
054 Moos in Passeier,2.153,15,13,1,1,0,0,0
055 Nals,1.549,23,16,2,0,5,0,0
056 Naturns,4.925,150,88,34,9,16,2,1
057 Natz-Schabs,2.342,85,29,37,6,9,4,0
