Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.660,7,4,2,0,1,0,0
002 Andrian,773,18,13,2,0,3,0,0
003 Altrei,377,13,5,8,0,0,0,0
004 Eppan a.d. Weinstr.,11.932,477,282,92,38,57,8,0
005 Hafling,664,14,6,6,0,2,0,0
006 Abtei,2.931,22,9,12,0,0,1,0
007 Barbian,1.441,27,15,5,2,3,1,1
008 Bozen,93.298,3.566,955,1.001,1.016,358,231,5
009 Prags,628,7,7,0,0,0,0,0
010 Brenner,2.022,92,30,6,6,48,2,0
011 Brixen,17.755,568,250,197,18,88,13,2
012 Branzoll,2.190,77,16,29,20,9,3,0
013 Bruneck,13.176,433,185,196,11,36,5,0
014 Kuens,310,4,3,1,0,0,0,0
015 Kaltern a.d. Weinstr.,6.483,236,143,38,24,28,3,0
016 Freienfeld,2.421,31,19,3,0,9,0,0
017 Sand in Taufers,4.733,53,37,11,1,0,3,1
018 Kastelbell-Tschars,2.304,35,20,12,0,2,0,1
019 Kastelruth,5.872,98,44,27,5,20,2,0
020 Tscherms,1.149,38,35,3,0,0,0,0
021 Kiens,2.560,31,16,9,4,2,0,0
022 Klausen,4.443,92,44,14,4,27,2,1
023 Karneid,3.010,39,21,10,6,2,0,0
024 Kurtatsch a.d.Weinstr.,1.967,50,27,14,2,7,0,0
025 Kurtinig a.d. Weinstr.,571,9,1,3,5,0,0,0
026 Corvara,1.256,5,2,1,0,0,1,1
027 Graun im Vinschgau,2.351,54,44,6,1,3,0,0
028 Toblach,3.187,71,25,37,0,8,1,0
029 Neumarkt,4.189,98,42,28,16,2,10,0
030 Pfalzen,2.197,17,12,5,0,0,0,0
031 Völs am Schlern,2.892,102,56,17,12,12,5,0
032 Franzensfeste,828,37,13,11,4,9,0,0
033 Villnöss,2.368,17,11,0,0,5,1,0
034 Gais,2.757,38,26,10,0,1,1,0
035 Gargazon,1.316,25,14,1,9,0,1,0
036 Glurns,851,21,14,3,4,0,0,0
037 Latsch,4.584,212,77,120,13,2,0,0
038 Algund,4.019,77,44,12,7,12,2,0
039 Lajen,2.142,16,9,3,1,3,0,0
040 Leifers,14.558,324,84,85,97,38,20,0
041 Lana,9.129,285,166,72,22,20,5,0
042 Laas,3.640,43,24,18,1,0,0,0
043 Laurein,359,0,0,0,0,0,0,0
044 Lüsen,1.443,10,6,4,0,0,0,0
045 Margreid a.d. Weinstr.,1.113,45,13,23,8,0,1,0
046 Mals,4.712,109,49,44,13,2,1,0
047 Enneberg,2.645,28,11,17,0,0,0,0
048 Marling,2.163,52,32,5,4,10,1,0
049 Martell,876,6,5,1,0,0,0,0
050 Mölten,1.351,7,6,1,0,0,0,0
051 Meran,32.474,1.765,824,466,229,179,63,4
052 Welsberg-Taisten,2.449,72,24,34,1,13,0,0
053 Montan,1.449,19,18,0,1,0,0,0
054 Moos in Passeier,2.178,12,10,1,1,0,0,0
055 Nals,1.521,17,11,0,0,6,0,0
056 Naturns,4.892,137,75,35,7,17,2,1
057 Natz-Schabs,2.268,76,31,27,9,9,0,0
058 Welschnofen,1.750,61,29,18,0,8,6,0
059 Deutschnofen,3.462,74,33,25,7,8,0,1
060 Auer,2.880,66,36,14,5,4,7,0
061 St.Ulrich,4.357,57,28,11,2,5,11,0
062 Partschins,3.097,71,42,17,7,3,1,1
063 Percha,1.252,14,10,4,0,0,0,0
064 Plaus,489,16,8,2,4,2,0,0
065 Waidbruck,185,5,0,0,5,0,0,0
066 Burgstall,1.329,30,21,5,0,2,2,0
067 Prad am Stilfser Joch,3.124,72,31,23,15,1,2,0
068 Prettau,653,0,0,0,0,0,0,0
069 Proveis,288,2,2,0,0,0,0,0
070 Ratschings,3.884,45,26,9,3,7,0,0
071 Rasen-Antholz,2.654,25,19,2,0,4,0,0
072 Ritten,6.673,237,111,99,4,19,4,0
073 Riffian,1.156,22,10,3,2,7,0,0
074 Mühlbach,2.493,77,27,19,22,8,1,0
075 Rodeneck,1.128,11,4,7,0,0,0,0
076 Salurn,2.746,118,47,31,23,12,5,0
077 Innichen,3.037,58,35,6,6,10,1,0
079 Jenesien,2.597,26,13,5,7,0,1,0
080 St.Leonhard in Pass.,3.402,40,27,11,0,2,0,0
081 St.Lorenzen,3.317,39,25,10,0,3,1,0
082 St.Martin in Thurn,1.633,7,3,0,4,0,0,0
083 St.Martin in Passeier,2.786,41,22,11,3,2,0,3
084 St.Pankraz,1.581,12,11,0,1,0,0,0
085 St.Christina in Gröden,1.717,36,15,0,1,6,14,0
086 Sarntal,6.492,82,39,25,16,0,2,0
087 Schenna,2.610,47,43,3,0,0,1,0
088 Mühlwald,1.436,8,7,1,0,0,0,0
089 Wolkenstein in Gröden,2.444,29,23,3,0,0,3,0
091 Schnals,1.366,31,13,14,4,0,0,0
092 Sexten,1.876,43,25,13,2,2,1,0
093 Schlanders,5.557,181,99,53,11,14,4,0
094 Schluderns,1.752,41,24,7,10,0,0,0
095 Stilfs,1.274,34,21,7,6,0,0,0
096 Terenten,1.542,17,9,7,0,1,0,0
097 Terlan,3.397,96,45,27,4,19,1,0
098 Tramin a.d. Weinstr.,3.072,78,40,19,6,12,1,0
099 Tisens,1.721,30,14,11,0,5,0,0
100 Tiers,889,11,9,1,0,1,0,0
101 Tirol,2.270,76,60,9,0,7,0,0
102 Truden im Naturpark,924,32,1,23,3,5,0,0
103 Taufers im Münstertal,942,8,4,3,0,0,1,0
104 Ulten,2.976,21,20,0,0,0,1,0
105 Pfatten,826,29,8,12,7,1,1,0
106 Olang,2.730,42,26,12,0,3,1,0
107 Pfitsch,2.518,121,21,69,9,22,0,0
108 Ahrntal,5.474,35,13,20,1,0,0,1
109 Gsies,2.058,29,15,14,0,0,0,0
110 Vintl,3.089,46,27,11,7,1,0,0
111 Vahrn,3.375,157,53,76,17,9,1,1
112 Vöran,856,12,7,5,0,0,0,0
113 Niederdorf,1.271,51,13,25,0,13,0,0
114 Villanders,1.793,12,6,3,0,2,1,0
115 Sterzing,5.563,138,61,37,6,30,3,1
116 Feldthurns,2.446,25,18,6,0,0,1,0
117 Wengen,1.240,5,1,4,0,0,0,0
118 U.L.Frau i.W.-St.Felix,778,4,3,0,1,0,0,0
Insgesamt,449.054,12.667,5.368,3.640,1.853,1.313,468,25
