Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.647,9,6,2,0,1,0,0
002 Andrian,769,18,13,2,0,3,0,0
003 Altrei,375,12,5,7,0,0,0,0
004 Eppan a.d. Weinstr.,11.826,449,271,88,37,46,7,0
005 Hafling,661,15,7,5,0,3,0,0
006 Abtei,2.891,15,8,7,0,0,0,0
007 Barbian,1.435,31,14,4,8,3,1,1
008 Bozen,93.385,3.274,924,877,950,316,200,7
009 Prags,626,7,6,0,1,0,0,0
010 Brenner,2.054,71,32,8,5,22,4,0
011 Brixen,17.593,536,246,158,21,96,13,2
012 Branzoll,2.167,74,18,21,22,10,3,0
013 Bruneck,13.019,366,169,155,11,25,6,0
014 Kuens,315,3,2,1,0,0,0,0
015 Kaltern a.d. Weinstr.,6.464,221,143,32,22,20,4,0
016 Freienfeld,2.410,26,18,1,0,7,0,0
017 Sand in Taufers,4.704,45,32,10,0,0,2,1
018 Kastelbell-Tschars,2.305,35,18,15,0,1,0,1
019 Kastelruth,5.850,92,45,20,5,20,2,0
020 Tscherms,1.145,30,29,1,0,0,0,0
021 Kiens,2.567,25,14,9,0,2,0,0
022 Klausen,4.445,60,35,4,5,13,2,1
023 Karneid,2.959,39,22,10,6,1,0,0
024 Kurtatsch a.d.Weinstr.,1.941,38,23,10,1,4,0,0
025 Kurtinig a.d. Weinstr.,573,12,3,7,2,0,0,0
026 Corvara,1.255,6,2,2,0,0,1,1
027 Graun im Vinschgau,2.367,40,33,3,0,3,0,1
028 Toblach,3.168,71,28,34,0,9,0,0
029 Neumarkt,4.162,101,42,28,18,2,11,0
030 Pfalzen,2.142,17,13,4,0,0,0,0
031 Völs am Schlern,2.878,95,55,15,7,15,3,0
032 Franzensfeste,831,30,17,5,4,4,0,0
033 Villnöss,2.352,16,11,0,0,4,1,0
034 Gais,2.589,36,24,10,0,1,1,0
035 Gargazon,1.279,21,13,1,6,0,1,0
036 Glurns,849,19,13,3,3,0,0,0
037 Latsch,4.576,176,68,92,11,5,0,0
038 Algund,3.620,68,40,12,7,8,1,0
039 Lajen,2.108,15,8,3,1,3,0,0
040 Leifers,14.498,272,82,58,80,30,22,0
041 Lana,9.042,237,153,47,16,16,5,0
042 Laas,3.641,49,25,22,2,0,0,0
043 Laurein,353,0,0,0,0,0,0,0
044 Lüsen,1.445,7,5,2,0,0,0,0
045 Margreid a.d. Weinstr.,1.095,42,13,18,7,1,3,0
046 Mals,4.688,138,58,65,12,2,1,0
047 Enneberg,2.636,26,8,18,0,0,0,0
048 Marling,2.167,56,37,4,5,9,1,0
049 Martell,873,5,5,0,0,0,0,0
050 Mölten,1.340,7,6,1,0,0,0,0
051 Meran,32.376,1.624,813,385,199,171,52,4
052 Welsberg-Taisten,2.448,71,24,29,2,14,1,1
053 Montan,1.430,13,7,6,0,0,0,0
054 Moos in Passeier,2.182,11,9,1,1,0,0,0
055 Nals,1.503,18,10,2,0,6,0,0
056 Naturns,4.865,128,76,30,3,16,2,1
057 Natz-Schabs,2.258,65,28,17,9,11,0,0
058 Welschnofen,1.751,62,26,24,0,8,4,0
059 Deutschnofen,3.431,61,30,15,7,8,0,1
060 Auer,2.857,59,36,10,4,4,5,0
061 St.Ulrich,4.370,50,24,9,2,7,8,0
062 Partschins,3.095,63,39,12,7,4,0,1
063 Percha,1.262,19,10,9,0,0,0,0
064 Plaus,486,14,7,3,3,1,0,0
065 Waidbruck,170,3,0,0,3,0,0,0
066 Burgstall,1.329,39,29,5,1,2,2,0
067 Prad am Stilfser Joch,3.106,66,33,15,16,0,2,0
068 Prettau,651,0,0,0,0,0,0,0
069 Proveis,287,2,2,0,0,0,0,0
070 Ratschings,3.862,40,27,5,6,2,0,0
071 Rasen-Antholz,2.658,28,19,4,0,4,1,0
072 Ritten,6.616,225,105,84,5,28,3,0
073 Riffian,1.144,24,11,3,3,7,0,0
074 Mühlbach,2.514,75,24,25,19,6,1,0
075 Rodeneck,1.112,11,6,5,0,0,0,0
076 Salurn,2.787,122,48,32,22,14,6,0
077 Innichen,3.026,53,33,5,6,8,1,0
079 Jenesien,2.569,24,11,7,6,0,0,0
080 St.Leonhard in Pass.,3.392,37,23,11,0,3,0,0
081 St.Lorenzen,3.291,37,24,9,0,3,1,0
082 St.Martin in Thurn,1.602,5,1,0,4,0,0,0
083 St.Martin in Passeier,2.801,31,20,5,2,1,0,3
084 St.Pankraz,1.593,8,8,0,0,0,0,0
085 St.Christina in Gröden,1.671,27,14,0,1,1,11,0
086 Sarntal,6.478,63,30,21,9,0,3,0
087 Schenna,2.579,48,43,3,1,0,1,0
088 Mühlwald,1.438,6,6,0,0,0,0,0
089 Wolkenstein in Gröden,2.424,27,24,0,1,2,0,0
091 Schnals,1.379,32,15,14,3,0,0,0
092 Sexten,1.867,38,20,11,3,2,1,1
093 Schlanders,5.577,163,105,27,12,16,3,0
094 Schluderns,1.744,30,17,5,8,0,0,0
095 Stilfs,1.291,43,27,10,6,0,0,0
096 Terenten,1.526,17,11,5,0,1,0,0
097 Terlan,3.375,83,40,23,4,15,1,0
098 Tramin a.d. Weinstr.,3.061,83,45,14,7,16,1,0
099 Tisens,1.691,28,13,9,0,6,0,0
100 Tiers,863,8,6,1,0,1,0,0
101 Tirol,2.291,82,62,10,0,9,0,1
102 Truden im Naturpark,930,10,1,5,3,1,0,0
103 Taufers im Münstertal,953,9,6,3,0,0,0,0
104 Ulten,2.982,18,17,0,0,0,1,0
105 Pfatten,840,33,9,16,6,1,1,0
106 Olang,2.718,44,28,12,0,3,1,0
107 Pfitsch,2.542,109,21,64,11,13,0,0
108 Ahrntal,5.436,44,23,16,2,1,1,1
109 Gsies,2.051,23,15,8,0,0,0,0
110 Vintl,3.102,46,29,12,4,1,0,0
111 Vahrn,3.333,148,48,76,7,15,1,1
112 Vöran,867,8,8,0,0,0,0,0
113 Niederdorf,1.279,42,14,18,0,10,0,0
114 Villanders,1.782,12,6,3,0,3,0,0
115 Sterzing,5.536,120,54,32,4,27,3,0
116 Feldthurns,2.418,25,17,7,0,0,1,0
117 Wengen,1.240,5,1,4,0,0,0,0
118 U.L.Frau i.W.-St.Felix,781,4,3,0,1,0,0,0
