Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
054 Moos in Passeier,2.057,30,22,6,0,2,0,0
055 Nals,1.879,142,84,29,9,20,0,0
056 Naturns,5.419,453,237,99,44,66,7,0
057 Natz-Schabs,2.944,288,167,53,16,41,11,0
058 Welschnofen,1.772,208,71,66,22,44,5,0
059 Deutschnofen,3.685,256,118,83,22,30,3,0
060 Auer,3.471,353,88,90,78,86,11,0
061 St.Ulrich,4.429,441,154,130,32,50,75,0
062 Partschins,3.555,230,130,35,37,25,3,0
063 Percha,1.530,36,20,9,3,2,2,0
064 Plaus,652,74,44,17,12,1,0,0
065 Waidbruck,157,38,3,21,8,6,0,0
066 Burgstall,1.771,99,64,17,3,6,9,0
067 Prad am Stilfser Joch,3.301,324,142,98,57,20,7,0
068 Prettau,536,10,2,0,8,0,0,0
069 Proveis,256,9,5,0,0,0,4,0
070 Ratschings,4.342,158,97,34,17,10,0,0
071 Rasen-Antholz,2.780,151,73,48,4,25,1,0
072 Ritten,7.439,520,266,135,49,52,18,0
073 Riffian,1.294,68,28,1,19,19,1,0
074 Mühlbach,2.743,408,163,127,26,90,2,0
075 Rodeneck,1.202,38,30,5,2,0,1,0
076 Salurn,3.038,797,88,196,270,230,13,0
077 Innichen,3.120,254,78,84,37,48,7,0
079 Jenesien,2.965,103,51,10,13,25,4,0
080 St.Leonhard in Pass.,3.496,64,38,7,9,9,1,0
081 St.Lorenzen,3.672,213,98,64,20,25,6,0
082 St.Martin in Thurn,1.699,68,40,20,5,1,2,0
083 St.Martin in Passeier,3.105,150,76,3,17,51,3,0
084 St.Pankraz,1.527,17,11,6,0,0,0,0
085 St.Christina in Gröden,1.812,163,63,36,1,16,47,0
086 Sarntal,6.922,227,116,31,38,30,12,0
087 Schenna,2.730,184,130,19,17,17,1,0
088 Mühlwald,1.420,13,7,0,4,2,0,0
089 Wolkenstein in Gröden,2.512,120,58,20,4,18,20,0
091 Schnals,1.179,49,32,13,2,1,1,0
092 Sexten,1.738,143,61,60,2,8,12,0
093 Schlanders,5.700,516,202,170,75,65,4,0
094 Schluderns,1.757,82,56,8,18,0,0,0
095 Stilfs,1.043,99,53,25,16,5,0,0
096 Terenten,1.721,44,31,9,0,4,0,0
097 Terlan,4.155,333,160,104,24,39,6,0
098 Tramin a.d. Weinstr.,3.188,243,109,58,23,48,5,0
099 Tisens,1.833,136,61,14,32,27,2,0
100 Tiers,933,76,22,20,12,21,1,0
101 Tirol,2.317,135,110,13,3,8,1,0
102 Truden im Naturpark,959,82,19,32,14,16,1,0
103 Taufers im Münstertal,927,43,23,7,7,6,0,0
104 Ulten,2.858,40,31,3,4,2,0,0
105 Pfatten,949,112,31,17,49,12,3,0
106 Olang,2.981,225,66,81,21,56,1,0
107 Pfitsch,2.861,234,57,80,59,34,4,0
108 Ahrntal,5.816,213,100,58,33,22,0,0
109 Gsies,2.253,68,34,30,4,0,0,0
110 Vintl,3.159,180,55,33,57,31,4,0
111 Vahrn,4.325,370,191,88,21,67,3,0
112 Vöran,934,25,20,3,1,1,0,0
113 Niederdorf,1.478,119,31,62,3,15,8,0
114 Villanders,1.810,65,27,13,16,7,2,0
115 Sterzing,6.335,655,209,254,31,155,6,0
116 Feldthurns,2.885,115,55,14,10,34,2,0
117 Wengen,1.353,38,16,14,3,5,0,0
118 U.L.Frau i.W.-St.Felix,747,16,12,1,0,0,3,0
