Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.617,38,32,3,0,2,1,0
002 Andrian,962,67,48,12,4,0,3,0
003 Altrei,388,11,5,5,0,1,0,0
004 Eppan a.d. Weinstr.,13.651,1.299,666,361,112,99,61,0
005 Hafling,731,49,37,11,1,0,0,0
006 Abtei,3.374,132,75,40,2,6,9,0
007 Barbian,1.627,125,42,26,14,42,1,0
008 Bozen,92.219,15.902,2.950,4.845,2.934,4.089,1.084,0
009 Prags,639,17,10,5,0,2,0,0
010 Brenner,1.849,381,92,111,28,143,7,0
011 Brixen,20.007,2.488,859,698,258,596,77,0
012 Branzoll,2.583,231,45,75,41,59,11,0
013 Bruneck,15.102,1.624,517,730,130,227,20,0
014 Kuens,386,8,6,0,2,0,0,0
015 Kaltern a.d. Weinstr.,7.349,762,395,206,37,103,21,0
016 Freienfeld,2.533,125,71,22,19,13,0,0
017 Sand in Taufers,5.176,335,115,119,25,64,12,0
018 Kastelbell-Tschars,2.176,122,62,32,12,16,0,0
019 Kastelruth,6.337,538,251,135,73,59,20,0
020 Tscherms,1.439,93,59,22,9,2,1,0
021 Kiens,2.732,155,63,45,12,35,0,0
022 Klausen,4.822,394,145,68,30,107,44,0
023 Karneid,3.231,203,66,46,33,43,14,1
024 Kurtatsch a.d.Weinstr.,2.107,131,56,26,15,32,2,0
025 Kurtinig a.d. Weinstr.,613,52,31,8,12,1,0,0
026 Corvara,1.341,37,14,9,2,9,3,0
027 Graun im Vinschgau,2.290,99,70,8,8,11,2,0
028 Toblach,3.182,178,89,74,6,9,0,0
029 Neumarkt,4.870,543,157,199,100,69,18,0
030 Pfalzen,2.750,75,35,30,0,10,0,0
031 Völs am Schlern,3.249,339,145,92,27,63,12,0
032 Franzensfeste,744,258,48,55,45,99,11,0
033 Villnöss,2.509,120,34,10,29,44,3,0
034 Gais,3.183,126,50,50,11,14,1,0
035 Gargazon,1.626,100,57,30,2,2,9,0
036 Glurns,861,39,17,5,1,15,1,0
037 Latsch,4.788,428,224,93,49,59,3,0
038 Algund,4.594,445,226,118,49,46,6,0
039 Lajen,2.544,173,49,45,29,48,2,0
040 Leifers,16.455,1.698,359,603,284,315,137,0
041 Lana,11.340,1.196,563,385,126,104,18,0
042 Laas,3.852,193,107,34,41,9,2,0
043 Laurein,341,1,1,0,0,0,0,0
044 Lüsen,1.478,92,67,7,9,7,2,0
045 Margreid a.d. Weinstr.,1.136,140,56,28,27,28,1,0
046 Mals,4.886,386,190,76,101,14,5,0
047 Enneberg,2.899,197,115,57,15,5,5,0
048 Marling,2.562,236,125,50,25,31,5,0
049 Martell,807,34,27,7,0,0,0,0
050 Mölten,1.639,54,33,11,3,5,1,1
051 Meran,34.101,6.869,1.985,2.601,879,1.263,139,2
052 Welsberg-Taisten,2.740,187,53,77,30,24,3,0
053 Montan,1.644,58,40,9,5,2,2,0
