Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
046 Mals,4.861,236,145,63,27,0,1,0
047 Enneberg,2.778,132,72,53,1,5,1,0
048 Marling,2.352,171,95,49,7,17,3,0
049 Martell,856,27,24,3,0,0,0,0
050 Mölten,1.584,42,27,13,1,0,1,0
051 Meran,32.560,5.666,1.803,2.305,661,791,102,4
052 Welsberg-Taisten,2.659,171,53,50,7,59,2,0
053 Montan,1.567,67,44,11,3,7,2,0
054 Moos in Passeier,2.145,22,19,3,0,0,0,0
055 Nals,1.730,90,60,11,1,16,2,0
056 Naturns,5.196,358,200,85,41,30,2,0
057 Natz-Schabs,2.639,257,139,64,9,29,16,0
058 Welschnofen,1.736,169,43,96,7,14,9,0
059 Deutschnofen,3.656,246,125,86,14,19,2,0
060 Auer,3.265,283,69,109,56,46,3,0
061 St.Ulrich,4.381,255,75,86,19,23,52,0
062 Partschins,3.385,148,71,48,19,8,2,0
063 Percha,1.413,42,22,19,0,0,1,0
064 Plaus,622,64,18,34,2,10,0,0
065 Waidbruck,171,27,6,12,9,0,0,0
066 Burgstall,1.641,102,66,26,5,2,3,0
067 Prad am Stilfser Joch,3.159,222,96,69,48,6,3,0
068 Prettau,596,1,1,0,0,0,0,0
069 Proveis,270,4,3,1,0,0,0,0
070 Ratschings,4.233,136,90,29,0,17,0,0
071 Rasen-Antholz,2.774,102,68,31,0,2,1,0
072 Ritten,7.151,447,186,202,22,17,20,0
073 Riffian,1.289,28,18,4,4,2,0,0
074 Mühlbach,2.638,323,155,50,35,82,1,0
075 Rodeneck,1.162,28,23,4,0,0,1,0
076 Salurn,2.846,690,94,227,184,168,17,0
077 Innichen,3.033,142,60,43,5,30,4,0
079 Jenesien,2.868,72,52,12,6,2,0,0
080 St.Leonhard in Pass.,3.479,72,43,15,2,10,2,0
081 St.Lorenzen,3.588,168,61,71,19,16,1,0
082 St.Martin in Thurn,1.697,28,13,8,2,0,5,0
083 St.Martin in Passeier,3.033,110,64,4,17,22,3,0
084 St.Pankraz,1.564,24,16,7,0,1,0,0
085 St.Christina in Gröden,1.789,119,50,23,6,6,34,0
086 Sarntal,6.734,168,101,34,22,9,2,0
087 Schenna,2.720,123,107,7,0,8,1,0
088 Mühlwald,1.459,15,6,3,6,0,0,0
089 Wolkenstein in Gröden,2.561,78,39,8,2,23,6,0
091 Schnals,1.290,47,28,15,1,2,1,0
092 Sexten,1.867,86,34,31,9,6,6,0
093 Schlanders,5.608,390,176,151,31,29,3,0
094 Schluderns,1.766,57,40,8,9,0,0,0
095 Stilfs,1.125,90,40,27,21,1,1,0
096 Terenten,1.682,38,25,11,0,2,0,0
097 Terlan,3.814,320,169,76,25,41,9,0
098 Tramin a.d. Weinstr.,3.087,215,97,54,20,31,13,0
099 Tisens,1.795,61,50,10,0,0,1,0
100 Tiers,921,58,21,27,0,9,1,0
101 Tirol,2.346,98,74,15,0,9,0,0
102 Truden im Naturpark,920,88,20,58,3,6,0,1
103 Taufers im Münstertal,932,30,18,8,3,0,1,0
104 Ulten,2.899,33,25,2,1,5,0,0
105 Pfatten,917,86,16,12,51,7,0,0
106 Olang,2.906,149,51,56,10,32,0,0
107 Pfitsch,2.582,178,55,26,19,78,0,0
108 Ahrntal,5.755,129,82,26,13,7,0,1
109 Gsies,2.197,61,32,27,2,0,0,0
110 Vintl,3.136,127,39,32,25,29,2,0
111 Vahrn,3.886,350,182,97,19,49,3,0
112 Vöran,904,23,20,3,0,0,0,0
113 Niederdorf,1.379,97,31,32,9,22,3,0
114 Villanders,1.845,61,32,10,1,18,0,0
115 Sterzing,5.899,520,192,139,33,151,5,0
116 Feldthurns,2.664,85,40,17,1,24,3,0
117 Wengen,1.284,18,10,8,0,0,0,0
118 U.L.Frau i.W.-St.Felix,778,3,3,0,0,0,0,0
