Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.624,41,22,16,0,3,0,0
002 Andrian,988,54,35,15,0,1,3,0
003 Altrei,374,9,3,4,2,0,0,0
004 Eppan a.d. Weinstr.,12.952,1.284,751,327,88,88,30,0
005 Hafling,710,42,32,7,1,2,0,0
006 Abtei,3.285,75,34,22,7,9,3,0
007 Barbian,1.527,76,35,19,1,20,1,0
008 Bozen,90.454,13.469,2.625,4.627,2.536,2.586,1.083,12
009 Prags,642,15,11,1,0,3,0,0
010 Brenner,1.799,294,90,91,14,97,1,1
011 Brixen,18.727,1.968,706,654,123,431,54,0
012 Branzoll,2.437,209,29,116,27,34,3,0
013 Bruneck,14.069,1.454,544,650,27,211,22,0
014 Kuens,393,7,7,0,0,0,0,0
015 Kaltern a.d. Weinstr.,7.072,538,267,125,47,78,21,0
016 Freienfeld,2.532,131,77,26,6,12,3,7
017 Sand in Taufers,5.054,213,99,68,6,29,11,0
018 Kastelbell-Tschars,2.279,113,48,21,21,21,2,0
019 Kastelruth,6.118,345,149,73,36,65,22,0
020 Tscherms,1.326,78,63,12,0,0,3,0
021 Kiens,2.617,110,53,43,6,7,1,0
022 Klausen,4.849,294,121,73,5,78,17,0
023 Karneid,3.142,170,73,43,14,24,16,0
024 Kurtatsch a.d.Weinstr.,2.138,115,67,10,6,30,2,0
025 Kurtinig a.d. Weinstr.,594,56,26,13,16,0,1,0
026 Corvara,1.309,26,11,6,2,4,2,1
027 Graun im Vinschgau,2.359,88,69,4,9,6,0,0
028 Toblach,3.133,165,65,86,2,12,0,0
029 Neumarkt,4.514,495,117,197,83,65,33,0
030 Pfalzen,2.559,60,32,26,0,2,0,0
031 Völs am Schlern,3.195,281,126,67,14,62,12,0
032 Franzensfeste,775,200,39,58,27,69,7,0
033 Villnöss,2.470,86,42,5,10,29,0,0
034 Gais,3.065,98,56,29,4,7,2,0
035 Gargazon,1.543,94,41,25,8,16,4,0
036 Glurns,847,33,16,7,7,3,0,0
037 Latsch,4.748,391,151,134,46,54,6,0
038 Algund,4.475,357,174,90,30,59,4,0
039 Lajen,2.457,160,32,34,34,53,7,0
040 Leifers,15.612,1.583,310,586,337,203,143,4
041 Lana,10.299,937,469,335,68,58,7,0
042 Laas,3.779,158,81,41,11,17,8,0
043 Laurein,346,0,0,0,0,0,0,0
044 Lüsen,1.489,48,33,2,11,0,2,0
045 Margreid a.d. Weinstr.,1.139,163,67,40,20,29,7,0
