Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.626,43,23,17,0,3,0,0
002 Andrian,983,54,35,12,0,3,4,0
003 Altrei,374,9,3,4,2,0,0,0
004 Eppan a.d. Weinstr.,13.029,1.335,766,339,94,98,38,0
005 Hafling,704,49,39,7,1,2,0,0
006 Abtei,3.303,72,36,17,7,9,3,0
007 Barbian,1.538,81,39,15,1,24,2,0
008 Bozen,90.342,14.413,2.760,4.882,2.687,2.937,1.141,6
009 Prags,654,15,12,0,0,3,0,0
010 Brenner,1.812,302,91,83,7,116,4,1
011 Brixen,18.841,2.016,742,659,117,436,62,0
012 Branzoll,2.435,214,36,103,28,40,7,0
013 Bruneck,14.126,1.504,563,654,28,237,22,0
014 Kuens,407,7,7,0,0,0,0,0
015 Kaltern a.d. Weinstr.,7.123,617,316,154,51,80,16,0
016 Freienfeld,2.547,138,92,22,7,8,2,7
017 Sand in Taufers,5.050,243,96,79,6,46,16,0
018 Kastelbell-Tschars,2.266,120,47,26,21,24,2,0
019 Kastelruth,6.103,380,178,70,41,61,30,0
020 Tscherms,1.345,96,68,16,8,1,3,0
021 Kiens,2.602,114,57,41,8,7,1,0
022 Klausen,4.843,311,131,74,6,83,17,0
023 Karneid,3.165,181,74,48,17,27,15,0
024 Kurtatsch a.d.Weinstr.,2.129,102,60,11,4,25,2,0
025 Kurtinig a.d. Weinstr.,600,54,26,8,19,0,1,0
026 Corvara,1.305,28,16,4,1,3,3,1
027 Graun im Vinschgau,2.361,89,64,6,10,9,0,0
028 Toblach,3.144,181,73,90,3,15,0,0
029 Neumarkt,4.524,504,121,192,97,67,27,0
030 Pfalzen,2.608,74,35,35,1,3,0,0
031 Völs am Schlern,3.208,267,126,65,13,51,12,0
032 Franzensfeste,757,224,38,73,32,72,9,0
033 Villnöss,2.487,97,46,6,8,37,0,0
034 Gais,3.084,104,57,33,4,8,2,0
035 Gargazon,1.563,108,46,35,7,16,4,0
036 Glurns,858,31,16,9,2,3,1,0
037 Latsch,4.764,393,161,131,43,55,3,0
038 Algund,4.511,372,183,93,31,60,5,0
039 Lajen,2.475,164,31,38,27,64,4,0
040 Leifers,15.676,1.718,335,663,352,212,156,0
041 Lana,10.392,957,480,333,77,58,9,0
042 Laas,3.791,158,82,41,11,17,7,0
043 Laurein,345,0,0,0,0,0,0,0
044 Lüsen,1.470,59,45,4,8,0,2,0
045 Margreid a.d. Weinstr.,1.139,158,68,33,20,33,4,0
046 Mals,4.875,252,164,53,33,1,1,0
047 Enneberg,2.800,144,81,53,5,4,1,0
048 Marling,2.384,189,105,52,6,24,2,0
049 Martell,851,28,25,3,0,0,0,0
050 Mölten,1.611,42,27,13,1,0,1,0
051 Meran,32.718,6.143,1.876,2.476,758,897,133,3
052 Welsberg-Taisten,2.666,181,51,59,10,59,2,0
053 Montan,1.576,73,45,11,3,7,7,0
054 Moos in Passeier,2.141,22,19,3,0,0,0,0
055 Nals,1.745,97,69,11,0,15,2,0
056 Naturns,5.208,379,214,87,37,35,6,0
057 Natz-Schabs,2.653,252,146,57,5,34,10,0
058 Welschnofen,1.734,177,53,95,7,15,7,0
059 Deutschnofen,3.672,268,125,103,16,20,4,0
060 Auer,3.284,285,71,119,47,45,3,0
061 St.Ulrich,4.417,280,79,96,20,26,59,0
062 Partschins,3.419,145,73,43,20,8,1,0
063 Percha,1.436,38,19,18,0,0,1,0
064 Plaus,632,68,23,29,4,12,0,0
065 Waidbruck,176,26,5,13,8,0,0,0
066 Burgstall,1.660,104,67,26,2,5,4,0
067 Prad am Stilfser Joch,3.161,230,94,79,49,6,2,0
068 Prettau,601,3,2,1,0,0,0,0
069 Proveis,264,3,3,0,0,0,0,0
070 Ratschings,4.259,150,89,32,10,19,0,0
071 Rasen-Antholz,2.768,116,70,43,0,3,0,0
072 Ritten,7.232,451,205,189,24,16,17,0
073 Riffian,1.315,31,22,4,3,2,0,0
074 Mühlbach,2.630,354,165,68,34,86,1,0
075 Rodeneck,1.160,28,23,4,0,0,1,0
076 Salurn,2.859,732,100,231,181,197,23,0
077 Innichen,3.060,161,75,44,3,35,4,0
079 Jenesien,2.898,75,51,14,6,4,0,0
080 St.Leonhard in Pass.,3.467,74,43,16,2,11,2,0
081 St.Lorenzen,3.606,182,65,80,21,15,1,0
082 St.Martin in Thurn,1.693,30,15,7,5,0,3,0
083 St.Martin in Passeier,3.051,109,61,4,17,26,1,0
084 St.Pankraz,1.556,23,15,7,0,1,0,0
085 St.Christina in Gröden,1.783,123,46,25,12,9,31,0
086 Sarntal,6.754,165,99,32,24,9,1,0
087 Schenna,2.717,129,113,5,0,8,3,0
088 Mühlwald,1.450,17,7,3,7,0,0,0
089 Wolkenstein in Gröden,2.581,80,43,10,1,19,7,0
091 Schnals,1.266,47,33,12,0,2,0,0
092 Sexten,1.848,94,35,33,10,6,10,0
093 Schlanders,5.603,422,193,154,37,34,4,0
094 Schluderns,1.752,65,43,12,10,0,0,0
095 Stilfs,1.114,85,41,26,15,2,1,0
096 Terenten,1.689,39,24,11,0,4,0,0
097 Terlan,3.858,344,174,77,28,56,9,0
098 Tramin a.d. Weinstr.,3.095,217,100,48,19,38,12,0
099 Tisens,1.813,73,57,15,1,0,0,0
100 Tiers,919,55,19,28,0,7,1,0
101 Tirol,2.350,112,86,16,1,9,0,0
102 Truden im Naturpark,932,89,21,54,9,5,0,0
103 Taufers im Münstertal,937,31,19,7,4,0,1,0
104 Ulten,2.882,36,28,1,1,6,0,0
105 Pfatten,920,102,18,21,52,10,1,0
106 Olang,2.941,172,73,57,10,32,0,0
107 Pfitsch,2.607,208,62,32,27,87,0,0
108 Ahrntal,5.789,130,89,21,12,7,0,1
109 Gsies,2.210,58,29,24,5,0,0,0
110 Vintl,3.132,134,42,38,27,24,3,0
111 Vahrn,3.950,342,175,96,20,48,3,0
112 Vöran,914,21,17,3,0,1,0,0
113 Niederdorf,1.364,118,31,51,9,24,3,0
114 Villanders,1.832,60,33,10,1,16,0,0
115 Sterzing,5.964,566,199,169,35,157,6,0
116 Feldthurns,2.666,94,46,15,3,27,3,0
117 Wengen,1.278,22,14,8,0,0,0,0
118 U.L.Frau i.W.-St.Felix,776,4,3,0,0,1,0,0
