Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.624,46,29,13,0,4,0,0
002 Andrian,960,63,41,18,0,1,3,0
003 Altrei,386,9,2,5,2,0,0,0
004 Eppan a.d. Weinstr.,13.529,1.257,681,361,72,95,48,0
005 Hafling,716,53,39,14,0,0,0,0
006 Abtei,3.375,112,71,30,2,4,5,0
007 Barbian,1.588,102,43,21,4,31,3,0
008 Bozen,91.334,15.452,2.837,4.997,2.808,3.665,1.145,0
009 Prags,636,16,11,5,0,0,0,0
010 Brenner,1.829,358,100,118,17,120,2,1
011 Brixen,19.446,2.160,769,668,148,504,71,0
012 Branzoll,2.528,226,38,103,29,46,10,0
013 Bruneck,14.628,1.496,526,680,31,236,23,0
014 Kuens,391,5,5,0,0,0,0,0
015 Kaltern a.d. Weinstr.,7.278,637,324,183,39,70,21,0
016 Freienfeld,2.539,127,77,30,4,14,1,1
017 Sand in Taufers,5.133,240,103,75,11,36,15,0
018 Kastelbell-Tschars,2.181,128,49,33,23,23,0,0
019 Kastelruth,6.347,478,238,114,46,52,28,0
020 Tscherms,1.429,107,71,20,13,2,1,0
021 Kiens,2.678,112,50,39,7,16,0,0
022 Klausen,4.889,331,132,81,9,79,30,0
023 Karneid,3.214,175,61,40,22,40,12,0
024 Kurtatsch a.d.Weinstr.,2.103,120,61,27,8,21,3,0
025 Kurtinig a.d. Weinstr.,606,37,24,4,9,0,0,0
026 Corvara,1.331,28,12,5,1,5,5,0
027 Graun im Vinschgau,2.296,84,61,7,4,12,0,0
028 Toblach,3.173,195,81,93,1,18,2,0
029 Neumarkt,4.727,517,144,195,86,62,30,0
030 Pfalzen,2.686,75,32,31,9,3,0,0
031 Völs am Schlern,3.217,326,140,85,25,59,17,0
032 Franzensfeste,735,257,43,62,44,104,4,0
033 Villnöss,2.506,106,52,10,11,31,2,0
034 Gais,3.136,83,41,31,6,4,1,0
035 Gargazon,1.588,99,53,33,2,7,4,0
036 Glurns,862,34,24,4,1,4,1,0
037 Latsch,4.825,363,203,91,30,37,2,0
038 Algund,4.615,426,225,102,39,53,7,0
039 Lajen,2.485,162,37,38,19,66,2,0
040 Leifers,16.064,1.680,348,611,301,300,120,0
041 Lana,10.943,1.011,494,372,64,69,12,0
042 Laas,3.839,154,92,35,21,3,3,0
043 Laurein,341,1,1,0,0,0,0,0
044 Lüsen,1.457,60,52,7,1,0,0,0
045 Margreid a.d. Weinstr.,1.133,147,62,26,35,23,1,0
046 Mals,4.869,296,170,64,58,3,1,0
047 Enneberg,2.834,180,112,52,8,3,5,0
048 Marling,2.425,213,106,56,17,33,1,0
049 Martell,839,30,25,5,0,0,0,0
050 Mölten,1.619,43,31,12,0,0,0,0
051 Meran,33.363,6.253,1.872,2.493,691,1.079,117,1
052 Welsberg-Taisten,2.727,173,51,68,16,36,2,0
053 Montan,1.582,60,37,9,6,2,6,0
054 Moos in Passeier,2.076,23,20,2,0,1,0,0
055 Nals,1.830,112,75,22,0,14,1,0
056 Naturns,5.318,421,234,99,43,40,5,0
057 Natz-Schabs,2.834,287,171,47,8,48,13,0
058 Welschnofen,1.773,170,67,71,7,20,5,0
059 Deutschnofen,3.634,250,113,85,19,30,3,0
060 Auer,3.338,312,96,98,58,52,8,0
061 St.Ulrich,4.429,357,106,127,14,38,72,0
062 Partschins,3.475,178,97,41,24,14,2,0
063 Percha,1.495,37,20,14,3,0,0,0
064 Plaus,641,79,34,23,13,9,0,0
065 Waidbruck,163,30,1,14,9,6,0,0
066 Burgstall,1.752,106,68,28,0,5,5,0
067 Prad am Stilfser Joch,3.223,254,119,79,47,6,3,0
068 Prettau,568,3,2,1,0,0,0,0
069 Proveis,256,8,4,0,0,0,4,0
070 Ratschings,4.260,145,89,34,9,13,0,0
071 Rasen-Antholz,2.741,120,65,42,1,11,1,0
072 Ritten,7.368,430,219,144,20,34,13,0
073 Riffian,1.279,31,21,3,3,3,1,0
074 Mühlbach,2.718,352,136,101,44,69,2,0
075 Rodeneck,1.159,30,23,6,0,0,1,0
076 Salurn,2.953,822,90,245,251,218,18,0
077 Innichen,3.118,192,67,76,3,37,9,0
079 Jenesien,2.977,70,49,13,2,6,0,0
080 St.Leonhard in Pass.,3.526,59,38,10,1,10,0,0
081 St.Lorenzen,3.654,216,88,72,30,23,3,0
082 St.Martin in Thurn,1.667,44,21,14,3,4,2,0
083 St.Martin in Passeier,3.083,127,63,9,22,30,3,0
084 St.Pankraz,1.528,26,15,9,0,0,2,0
085 St.Christina in Gröden,1.830,135,63,24,5,18,25,0
086 Sarntal,6.866,170,106,24,24,12,4,0
087 Schenna,2.746,182,141,8,9,19,5,0
088 Mühlwald,1.421,21,6,5,9,0,1,0
089 Wolkenstein in Gröden,2.520,105,46,16,6,16,21,0
091 Schnals,1.216,50,32,12,4,1,1,0
092 Sexten,1.775,118,60,33,1,12,12,0
093 Schlanders,5.602,414,191,148,27,46,2,0
094 Schluderns,1.738,66,56,5,5,0,0,0
095 Stilfs,1.079,82,46,24,7,3,2,0
096 Terenten,1.694,48,35,8,0,5,0,0
097 Terlan,4.049,324,176,87,15,40,6,0
098 Tramin a.d. Weinstr.,3.129,227,108,46,21,40,12,0
099 Tisens,1.807,100,52,12,34,1,1,0
100 Tiers,912,67,25,20,1,17,4,0
101 Tirol,2.342,135,115,12,0,6,2,0
102 Truden im Naturpark,948,78,23,38,11,6,0,0
103 Taufers im Münstertal,940,37,21,7,8,1,0,0
104 Ulten,2.832,41,32,5,3,1,0,0
105 Pfatten,934,104,22,21,48,8,5,0
106 Olang,2.938,199,71,74,18,36,0,0
107 Pfitsch,2.746,225,68,39,64,51,3,0
108 Ahrntal,5.815,168,92,48,22,6,0,0
109 Gsies,2.241,57,32,20,5,0,0,0
110 Vintl,3.140,174,52,26,58,34,4,0
111 Vahrn,4.090,357,181,78,25,69,4,0
112 Vöran,918,18,12,5,0,1,0,0
113 Niederdorf,1.451,111,31,55,8,10,7,0
114 Villanders,1.821,33,17,8,0,7,1,0
115 Sterzing,6.238,624,197,219,29,167,12,0
116 Feldthurns,2.724,95,44,10,2,37,2,0
117 Wengen,1.326,38,18,19,1,0,0,0
118 U.L.Frau i.W.-St.Felix,777,9,4,1,0,0,4,0
