Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.624,47,30,12,0,3,2,0
002 Andrian,971,73,44,22,1,2,4,0
003 Altrei,372,10,2,6,2,0,0,0
004 Eppan a.d. Weinstr.,13.290,1.329,695,398,87,113,33,3
005 Hafling,704,55,44,10,1,0,0,0
006 Abtei,3.327,99,57,18,8,9,7,0
007 Barbian,1.552,101,46,14,3,35,3,0
008 Bozen,90.314,15.258,2.813,5.038,2.789,3.367,1.251,0
009 Prags,642,14,10,1,0,3,0,0
010 Brenner,1.823,312,82,96,14,113,6,1
011 Brixen,19.187,2.052,750,641,136,461,64,0
012 Branzoll,2.459,225,33,110,27,49,6,0
013 Bruneck,14.348,1.490,532,678,30,223,27,0
014 Kuens,399,6,6,0,0,0,0,0
015 Kaltern a.d. Weinstr.,7.198,578,319,140,33,69,16,1
016 Freienfeld,2.530,140,85,29,4,15,0,7
017 Sand in Taufers,5.084,257,105,82,6,48,16,0
018 Kastelbell-Tschars,2.260,124,51,24,23,26,0,0
019 Kastelruth,6.206,427,189,101,47,65,25,0
020 Tscherms,1.354,99,64,20,12,1,2,0
021 Kiens,2.655,116,48,42,11,14,1,0
022 Klausen,4.857,322,128,86,5,81,22,0
023 Karneid,3.169,171,64,49,15,32,11,0
024 Kurtatsch a.d.Weinstr.,2.118,120,69,18,8,22,3,0
025 Kurtinig a.d. Weinstr.,598,51,27,5,19,0,0,0
026 Corvara,1.326,26,13,6,0,2,4,1
027 Graun im Vinschgau,2.340,85,62,6,12,5,0,0
028 Toblach,3.190,208,88,96,5,16,3,0
029 Neumarkt,4.617,520,126,221,89,57,27,0
030 Pfalzen,2.676,81,33,40,3,5,0,0
031 Völs am Schlern,3.216,307,142,76,21,54,14,0
032 Franzensfeste,737,236,37,68,47,77,7,0
033 Villnöss,2.512,97,49,4,11,31,2,0
034 Gais,3.107,92,55,27,6,3,1,0
035 Gargazon,1.573,117,57,36,5,12,7,0
036 Glurns,860,37,23,9,1,4,0,0
037 Latsch,4.783,372,168,111,39,53,1,0
038 Algund,4.600,413,210,114,30,57,2,0
039 Lajen,2.488,171,30,35,34,70,2,0
040 Leifers,15.891,1.734,352,675,316,255,136,0
041 Lana,10.596,948,477,331,75,51,14,0
042 Laas,3.834,146,103,30,7,3,3,0
043 Laurein,340,0,0,0,0,0,0,0
044 Lüsen,1.453,66,59,4,2,0,1,0
045 Margreid a.d. Weinstr.,1.134,155,66,30,24,33,2,0
046 Mals,4.907,241,147,57,35,1,1,0
047 Enneberg,2.809,167,92,61,4,8,2,0
048 Marling,2.386,202,92,66,7,33,4,0
049 Martell,855,26,23,3,0,0,0,0
050 Mölten,1.625,45,29,14,2,0,0,0
051 Meran,32.912,6.129,1.788,2.523,694,1.003,119,2
052 Welsberg-Taisten,2.688,165,46,58,13,46,2,0
053 Montan,1.564,64,35,16,4,3,6,0
054 Moos in Passeier,2.107,22,19,3,0,0,0,0
055 Nals,1.769,104,81,8,0,14,1,0
056 Naturns,5.278,434,239,106,42,38,9,0
057 Natz-Schabs,2.717,252,163,41,5,31,12,0
058 Welschnofen,1.772,169,66,69,7,20,7,0
059 Deutschnofen,3.683,248,108,97,17,23,3,0
060 Auer,3.272,298,87,96,55,52,8,0
061 St.Ulrich,4.395,326,97,105,29,24,71,0
062 Partschins,3.444,172,101,47,19,2,3,0
063 Percha,1.457,37,19,16,2,0,0,0
064 Plaus,633,78,27,26,12,13,0,0
065 Waidbruck,171,34,5,22,7,0,0,0
066 Burgstall,1.742,100,61,29,0,5,5,0
067 Prad am Stilfser Joch,3.121,244,114,76,45,7,2,0
068 Prettau,581,4,2,2,0,0,0,0
069 Proveis,262,5,4,0,0,0,1,0
070 Ratschings,4.273,143,83,35,10,15,0,0
071 Rasen-Antholz,2.748,110,65,43,0,2,0,0
072 Ritten,7.286,420,195,163,24,22,16,0
073 Riffian,1.329,30,17,4,5,3,1,0
074 Mühlbach,2.678,358,139,99,35,82,3,0
075 Rodeneck,1.153,25,20,4,0,0,1,0
076 Salurn,2.904,771,98,249,200,209,15,0
077 Innichen,3.082,204,75,73,3,47,6,0
079 Jenesien,2.948,68,45,14,2,6,1,0
080 St.Leonhard in Pass.,3.498,75,43,21,1,9,1,0
081 St.Lorenzen,3.611,203,74,83,25,20,1,0
082 St.Martin in Thurn,1.672,31,18,7,1,3,2,0
083 St.Martin in Passeier,3.076,125,64,8,19,31,3,0
084 St.Pankraz,1.542,22,14,8,0,0,0,0
085 St.Christina in Gröden,1.813,115,48,22,3,11,31,0
086 Sarntal,6.801,159,93,32,26,7,1,0
087 Schenna,2.707,170,144,5,1,14,6,0
088 Mühlwald,1.440,19,6,4,8,0,1,0
089 Wolkenstein in Gröden,2.557,105,51,12,4,29,9,0
091 Schnals,1.243,51,29,14,4,3,1,0
092 Sexten,1.824,88,42,21,3,11,11,0
093 Schlanders,5.585,384,178,143,32,29,2,0
094 Schluderns,1.743,54,47,4,3,0,0,0
095 Stilfs,1.085,87,41,31,9,5,1,0
096 Terenten,1.687,48,33,9,0,6,0,0
097 Terlan,3.948,319,165,74,16,58,6,0
098 Tramin a.d. Weinstr.,3.085,189,83,46,17,33,10,0
099 Tisens,1.809,64,48,15,0,0,1,0
100 Tiers,905,55,24,19,4,6,2,0
101 Tirol,2.336,128,107,14,3,3,1,0
102 Truden im Naturpark,967,83,21,48,11,3,0,0
103 Taufers im Münstertal,924,38,21,7,10,0,0,0
