Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.622,8,5,0,0,3,0,0
002 Andrian,761,16,14,0,0,2,0,0
003 Altrei,381,11,5,6,0,0,0,0
004 Eppan a.d. Weinstr.,11.519,377,239,52,39,42,5,0
005 Hafling,642,10,4,3,0,3,0,0
006 Abtei,2.819,16,9,7,0,0,0,0
007 Barbian,1.433,29,13,9,3,3,0,1
008 Bozen,94.177,2.522,822,560,777,208,150,5
009 Prags,643,1,1,0,0,0,0,0
010 Brenner,2.105,61,37,5,2,12,5,0
011 Brixen,17.291,406,208,100,16,71,9,2
012 Branzoll,2.128,45,12,11,15,5,2,0
013 Bruneck,12.781,290,159,108,11,7,5,0
014 Kuens,299,0,0,0,0,0,0,0
015 Kaltern a.d. Weinstr.,6.398,177,127,26,13,8,3,0
016 Freienfeld,2.395,30,18,1,0,11,0,0
017 Sand in Taufers,4.650,34,23,8,0,0,2,1
018 Kastelbell-Tschars,2.308,17,15,0,1,0,0,1
019 Kastelruth,5.759,70,45,7,5,12,1,0
020 Tscherms,1.127,30,27,1,0,1,1,0
021 Kiens,2.555,22,11,3,5,3,0,0
022 Klausen,4.422,52,31,4,4,10,2,1
023 Karneid,2.822,18,15,0,2,1,0,0
024 Kurtatsch a.d.Weinstr.,1.904,45,28,16,1,0,0,0
025 Kurtinig a.d. Weinstr.,564,15,3,4,8,0,0,0
026 Corvara,1.257,5,3,1,0,0,0,1
027 Graun im Vinschgau,2.360,43,30,6,2,3,0,2
028 Toblach,3.125,60,28,24,1,7,0,0
029 Neumarkt,4.136,96,44,22,15,0,15,0
030 Pfalzen,2.128,19,12,6,1,0,0,0
031 Völs am Schlern,2.805,79,47,8,8,12,4,0
032 Franzensfeste,875,17,9,1,0,7,0,0
033 Villnöss,2.297,14,13,1,0,0,0,0
034 Gais,2.678,28,24,2,0,1,1,0
035 Gargazon,1.203,7,5,0,1,0,1,0
036 Glurns,825,14,12,2,0,0,0,0
037 Latsch,4.486,101,53,38,6,4,0,0
038 Algund,3.976,55,41,4,3,7,0,0
039 Lajen,2.052,8,6,0,1,1,0,0
040 Leifers,14.316,186,69,40,52,12,13,0
041 Lana,8.822,172,121,28,11,8,4,0
042 Laas,3.588,35,27,8,0,0,0,0
043 Laurein,346,0,0,0,0,0,0,0
