Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.643,28,5,15,6,2,0,0
002 Andrian,862,26,12,10,1,2,1,0
003 Altrei,365,15,4,11,0,0,0,0
004 Eppan a.d. Weinstr.,12.462,639,317,157,73,67,25,0
005 Hafling,683,35,16,13,0,6,0,0
006 Abtei,3.083,52,16,12,7,12,5,0
007 Barbian,1.491,43,20,5,6,11,1,0
008 Bozen,91.149,6.746,1.412,2.338,1.481,990,518,7
009 Prags,628,6,5,0,0,1,0,0
010 Brenner,1.913,137,40,16,8,72,1,0
011 Brixen,18.049,1.040,344,433,75,163,25,0
012 Branzoll,2.236,136,21,56,38,15,6,0
013 Bruneck,13.363,720,213,348,22,126,11,0
014 Kuens,336,2,2,0,0,0,0,0
015 Kaltern a.d. Weinstr.,6.818,382,197,81,43,50,11,0
016 Freienfeld,2.486,72,29,21,1,21,0,0
017 Sand in Taufers,4.833,100,46,28,3,16,7,0
018 Kastelbell-Tschars,2.266,57,37,14,1,4,1,0
019 Kastelruth,5.966,186,71,41,14,56,4,0
020 Tscherms,1.279,42,35,4,0,0,3,0
021 Kiens,2.588,50,18,19,6,7,0,0
022 Klausen,4.678,177,64,40,3,59,11,0
023 Karneid,3.059,147,30,50,39,20,8,0
024 Kurtatsch a.d.Weinstr.,2.049,90,55,10,9,16,0,0
025 Kurtinig a.d. Weinstr.,589,21,1,11,9,0,0,0
026 Corvara,1.254,11,4,4,0,2,0,1
027 Graun im Vinschgau,2.315,77,60,5,5,6,1,0
028 Toblach,3.167,120,41,57,3,18,1,0
029 Neumarkt,4.298,229,67,83,44,14,21,0
030 Pfalzen,2.326,42,27,4,0,11,0,0
031 Völs am Schlern,2.971,136,52,29,30,21,4,0
032 Franzensfeste,809,101,21,28,20,28,4,0
033 Villnöss,2.390,35,16,4,4,9,2,0
034 Gais,2.946,41,30,6,0,2,3,0
035 Gargazon,1.433,34,13,11,6,0,4,0
036 Glurns,861,18,10,3,5,0,0,0
037 Latsch,4.687,293,86,148,26,33,0,0
038 Algund,4.046,145,51,59,20,9,5,1
039 Lajen,2.329,63,18,14,14,14,3,0
040 Leifers,14.839,709,112,258,194,81,64,0
041 Lana,9.699,495,234,190,34,31,6,0
042 Laas,3.663,100,38,36,10,9,7,0
043 Laurein,356,0,0,0,0,0,0,0
044 Lüsen,1.453,24,14,6,3,1,0,0
045 Margreid a.d. Weinstr.,1.127,54,21,19,7,4,3,0
046 Mals,4.784,158,90,34,28,6,0,0
047 Enneberg,2.694,56,13,42,1,0,0,0
048 Marling,2.200,58,38,7,5,7,1,0
049 Martell,870,6,6,0,0,0,0,0
050 Mölten,1.494,22,13,8,1,0,0,0
051 Meran,32.042,2.947,865,1.136,477,365,101,3
052 Welsberg-Taisten,2.517,80,24,26,2,28,0,0
053 Montan,1.488,99,25,14,40,13,7,0
054 Moos in Passeier,2.190,16,13,1,1,1,0,0
055 Nals,1.587,34,20,1,5,6,2,0
056 Naturns,4.940,183,92,54,9,24,3,1
057 Natz-Schabs,2.449,138,66,39,12,19,2,0
058 Welschnofen,1.738,128,31,62,6,24,5,0
059 Deutschnofen,3.539,120,40,50,9,19,1,1
060 Auer,3.149,179,53,62,26,31,7,0
061 St.Ulrich,4.433,161,43,61,5,13,39,0
062 Partschins,3.213,92,44,40,5,1,2,0
063 Percha,1.316,24,9,12,2,0,1,0
064 Plaus,569,25,2,16,7,0,0,0
065 Waidbruck,172,21,0,5,15,0,0,1
066 Burgstall,1.515,67,39,14,1,10,3,0
067 Prad am Stilfser Joch,3.095,134,56,31,31,14,2,0
068 Prettau,616,4,4,0,0,0,0,0
069 Proveis,275,3,3,0,0,0,0,0
070 Ratschings,4.045,56,34,13,1,8,0,0
071 Rasen-Antholz,2.740,25,18,4,0,3,0,0
072 Ritten,6.822,286,117,136,11,16,6,0
073 Riffian,1.168,20,11,4,3,2,0,0
074 Mühlbach,2.540,172,38,65,30,39,0,0
075 Rodeneck,1.140,16,8,4,2,1,1,0
076 Salurn,2.808,350,77,130,80,47,16,0
077 Innichen,3.021,106,45,21,13,24,3,0
079 Jenesien,2.744,65,32,14,12,5,2,0
080 St.Leonhard in Pass.,3.365,38,24,10,0,4,0,0
081 St.Lorenzen,3.453,79,24,42,6,6,1,0
082 St.Martin in Thurn,1.692,23,8,0,13,0,2,0
083 St.Martin in Passeier,2.869,68,38,6,13,8,1,2
084 St.Pankraz,1.566,16,14,2,0,0,0,0
085 St.Christina in Gröden,1.734,55,14,8,13,0,20,0
086 Sarntal,6.526,118,52,28,30,2,6,0
087 Schenna,2.653,56,51,3,1,1,0,0
088 Mühlwald,1.466,12,8,4,0,0,0,0
089 Wolkenstein in Gröden,2.508,56,35,9,1,5,6,0
091 Schnals,1.360,44,19,23,2,0,0,0
092 Sexten,1.876,42,25,13,2,2,0,0
093 Schlanders,5.606,250,107,96,21,23,3,0
094 Schluderns,1.828,47,25,7,13,2,0,0
095 Stilfs,1.236,55,32,13,8,2,0,0
096 Terenten,1.611,32,18,13,1,0,0,0
097 Terlan,3.572,175,83,51,15,23,3,0
098 Tramin a.d. Weinstr.,3.056,126,50,37,16,20,3,0
099 Tisens,1.790,42,27,10,0,5,0,0
100 Tiers,897,28,8,19,0,1,0,0
101 Tirol,2.293,45,36,6,0,3,0,0
102 Truden im Naturpark,902,74,7,56,0,11,0,0
103 Taufers im Münstertal,940,12,6,6,0,0,0,0
104 Ulten,2.941,20,19,0,1,0,0,0
105 Pfatten,805,37,6,9,21,0,1,0
106 Olang,2.785,85,29,37,2,15,2,0
107 Pfitsch,2.529,126,45,26,10,43,0,2
108 Ahrntal,5.569,47,28,9,8,1,0,1
109 Gsies,2.083,45,23,22,0,0,0,0
110 Vintl,3.093,79,24,23,11,19,0,2
111 Vahrn,3.562,174,74,39,12,45,4,0
112 Vöran,877,10,9,1,0,0,0,0
113 Niederdorf,1.328,63,16,38,0,9,0,0
114 Villanders,1.819,38,8,13,2,14,1,0
115 Sterzing,5.631,269,97,54,18,93,7,0
116 Feldthurns,2.567,56,30,12,3,9,2,0
117 Wengen,1.247,1,0,1,0,0,0,0
118 U.L.Frau i.W.-St.Felix,807,13,4,7,1,1,0,0
