Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.630,44,27,12,0,3,2,0
002 Andrian,976,62,41,15,0,2,4,0
003 Altrei,368,8,2,4,2,0,0,0
004 Eppan a.d. Weinstr.,13.180,1.419,795,378,103,101,42,0
005 Hafling,695,43,36,6,0,1,0,0
006 Abtei,3.313,81,45,16,5,9,6,0
007 Barbian,1.534,94,44,16,2,30,2,0
008 Bozen,90.278,15.189,2.908,5.002,2.806,3.235,1.234,4
009 Prags,642,15,12,0,0,3,0,0
010 Brenner,1.815,325,91,92,12,125,4,1
011 Brixen,19.005,1.991,724,651,126,429,61,0
012 Branzoll,2.424,233,41,112,32,41,7,0
013 Bruneck,14.236,1.485,524,675,28,234,24,0
014 Kuens,395,3,3,0,0,0,0,0
015 Kaltern a.d. Weinstr.,7.178,593,322,142,41,73,15,0
016 Freienfeld,2.538,136,87,31,5,6,0,7
017 Sand in Taufers,5.050,287,110,97,6,58,16,0
018 Kastelbell-Tschars,2.251,129,51,31,18,27,2,0
019 Kastelruth,6.146,424,177,87,48,78,34,0
020 Tscherms,1.355,102,69,17,7,6,3,0
021 Kiens,2.621,112,60,36,2,13,1,0
022 Klausen,4.862,321,126,80,3,91,21,0
023 Karneid,3.184,180,74,47,19,25,15,0
024 Kurtatsch a.d.Weinstr.,2.103,95,61,7,4,20,3,0
025 Kurtinig a.d. Weinstr.,594,58,28,9,20,0,1,0
026 Corvara,1.328,26,14,5,0,3,3,1
027 Graun im Vinschgau,2.356,86,65,6,10,5,0,0
028 Toblach,3.205,191,77,91,5,17,1,0
029 Neumarkt,4.571,525,132,198,100,67,28,0
030 Pfalzen,2.652,71,32,35,3,1,0,0
031 Völs am Schlern,3.199,289,132,76,18,49,14,0
032 Franzensfeste,750,237,41,75,38,75,8,0
033 Villnöss,2.507,94,50,6,5,33,0,0
034 Gais,3.098,82,49,24,4,4,1,0
035 Gargazon,1.583,114,56,35,6,11,6,0
036 Glurns,858,36,21,9,2,3,1,0
037 Latsch,4.774,389,163,126,41,57,2,0
038 Algund,4.587,391,192,104,32,60,3,0
039 Lajen,2.467,166,30,40,28,64,4,0
040 Leifers,15.787,1.768,346,691,344,236,151,0
041 Lana,10.456,908,434,328,81,53,12,0
042 Laas,3.820,149,90,46,8,2,3,0
043 Laurein,345,0,0,0,0,0,0,0
044 Lüsen,1.460,67,55,4,7,0,1,0
045 Margreid a.d. Weinstr.,1.129,155,67,33,19,34,2,0
046 Mals,4.880,274,173,60,39,1,1,0
047 Enneberg,2.798,151,83,54,6,6,2,0
048 Marling,2.390,177,86,53,8,29,1,0
049 Martell,857,26,23,3,0,0,0,0
050 Mölten,1.611,40,25,13,1,0,1,0
051 Meran,32.784,6.473,1.969,2.600,773,1.005,123,3
052 Welsberg-Taisten,2.645,195,47,68,12,66,2,0
053 Montan,1.590,65,39,13,3,3,7,0
054 Moos in Passeier,2.127,21,18,3,0,0,0,0
055 Nals,1.728,99,76,7,0,15,1,0
056 Naturns,5.227,397,214,97,42,37,7,0
057 Natz-Schabs,2.672,257,153,54,5,35,10,0
058 Welschnofen,1.743,182,61,87,7,20,7,0
059 Deutschnofen,3.662,261,119,98,17,23,4,0
060 Auer,3.275,276,80,96,44,48,8,0
061 St.Ulrich,4.412,305,99,95,25,26,60,0
062 Partschins,3.429,155,84,52,17,1,1,0
063 Percha,1.422,41,19,22,0,0,0,0
064 Plaus,632,76,27,28,7,14,0,0
065 Waidbruck,168,33,5,21,7,0,0,0
066 Burgstall,1.708,99,64,23,2,5,5,0
067 Prad am Stilfser Joch,3.122,219,96,68,47,6,2,0
068 Prettau,589,2,1,1,0,0,0,0
069 Proveis,261,4,4,0,0,0,0,0
070 Ratschings,4.263,147,88,32,10,17,0,0
071 Rasen-Antholz,2.751,108,65,42,0,1,0,0
072 Ritten,7.251,438,194,187,28,16,13,0
073 Riffian,1.327,32,20,4,5,3,0,0
074 Mühlbach,2.651,396,169,103,37,86,1,0
075 Rodeneck,1.151,27,21,5,0,0,1,0
076 Salurn,2.874,776,104,249,189,216,18,0
077 Innichen,3.081,189,74,65,5,39,6,0
079 Jenesien,2.930,64,40,12,8,4,0,0
080 St.Leonhard in Pass.,3.483,75,47,17,1,9,1,0
081 St.Lorenzen,3.602,184,68,75,24,16,1,0
082 St.Martin in Thurn,1.690,27,18,3,1,3,2,0
083 St.Martin in Passeier,3.066,124,65,5,20,30,4,0
084 St.Pankraz,1.541,23,15,8,0,0,0,0
085 St.Christina in Gröden,1.800,112,41,20,9,10,32,0
086 Sarntal,6.789,167,101,31,21,13,1,0
087 Schenna,2.713,156,137,5,1,10,3,0
088 Mühlwald,1.445,17,8,0,8,0,1,0
089 Wolkenstein in Gröden,2.561,92,45,11,4,24,8,0
091 Schnals,1.254,42,28,11,1,2,0,0
092 Sexten,1.834,88,47,18,6,6,11,0
093 Schlanders,5.583,426,197,160,37,30,2,0
094 Schluderns,1.749,61,44,7,10,0,0,0
095 Stilfs,1.104,81,39,27,10,4,1,0
096 Terenten,1.682,46,33,8,0,5,0,0
097 Terlan,3.926,335,181,75,19,54,6,0
