Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
047 Enneberg,2.603,16,6,4,4,1,1,0
048 Marling,2.106,55,36,3,6,9,1,0
049 Martell,871,5,5,0,0,0,0,0
050 Mölten,1.291,4,3,1,0,0,0,0
051 Meran,32.714,1.354,835,190,177,96,55,1
052 Welsberg-Taisten,2.421,34,18,10,2,3,1,0
053 Montan,1.411,13,10,2,1,0,0,0
054 Moos in Passeier,2.145,11,8,1,1,0,0,1
055 Nals,1.471,12,5,0,0,7,0,0
056 Naturns,4.814,84,62,7,3,10,1,1
057 Natz-Schabs,2.140,39,26,6,4,2,0,1
058 Welschnofen,1.734,30,14,7,0,7,2,0
059 Deutschnofen,3.319,49,22,16,4,6,0,1
060 Auer,2.788,41,23,6,8,2,2,0
061 St.Ulrich,4.311,30,25,1,1,0,3,0
062 Partschins,3.033,49,28,7,8,4,1,1
063 Percha,1.223,15,10,4,1,0,0,0
064 Plaus,440,11,4,3,4,0,0,0
065 Waidbruck,193,4,2,1,1,0,0,0
066 Burgstall,1.297,27,24,2,1,0,0,0
067 Prad am Stilfser Joch,3.069,53,37,8,7,0,1,0
068 Prettau,649,3,3,0,0,0,0,0
069 Proveis,289,0,0,0,0,0,0,0
070 Ratschings,3.742,31,23,1,6,1,0,0
071 Rasen-Antholz,2.614,24,20,4,0,0,0,0
072 Ritten,6.377,144,83,36,3,21,1,0
073 Riffian,1.113,21,10,5,1,5,0,0
074 Mühlbach,2.450,40,17,11,8,4,0,0
075 Rodeneck,1.085,9,9,0,0,0,0,0
076 Salurn,2.731,72,41,8,10,8,5,0
077 Innichen,2.997,49,32,3,8,6,0,0
079 Jenesien,2.488,14,12,2,0,0,0,0
080 St.Leonhard in Pass.,3.361,27,21,3,0,3,0,0
081 St.Lorenzen,3.169,29,23,4,0,2,0,0
082 St.Martin in Thurn,1.554,1,1,0,0,0,0,0
083 St.Martin in Passeier,2.745,27,18,4,2,0,0,3
084 St.Pankraz,1.555,5,5,0,0,0,0,0
085 St.Christina in Gröden,1.620,21,12,4,3,0,2,0
086 Sarntal,6.369,38,32,2,1,0,3,0
087 Schenna,2.579,46,41,3,2,0,0,0
088 Mühlwald,1.421,5,5,0,0,0,0,0
089 Wolkenstein in Gröden,2.376,21,19,0,1,1,0,0
091 Schnals,1.381,28,11,15,2,0,0,0
092 Sexten,1.838,34,16,11,4,2,1,0
093 Schlanders,5.443,104,73,17,11,3,0,0
094 Schluderns,1.749,28,21,3,4,0,0,0
095 Stilfs,1.311,30,26,0,4,0,0,0
096 Terenten,1.481,17,16,0,0,1,0,0
097 Terlan,3.245,77,40,23,8,5,1,0
098 Tramin a.d. Weinstr.,3.000,61,36,10,4,10,1,0
099 Tisens,1.684,24,13,6,0,5,0,0
100 Tiers,858,10,5,5,0,0,0,0
101 Tirol,2.251,87,66,9,0,9,2,1
102 Truden im Naturpark,949,3,2,0,1,0,0,0
103 Taufers im Münstertal,954,6,3,3,0,0,0,0
104 Ulten,2.986,18,14,3,0,0,1,0
105 Pfatten,790,11,8,0,1,1,1,0
106 Olang,2.632,32,25,3,0,4,0,0
107 Pfitsch,2.510,93,16,68,5,3,1,0
108 Ahrntal,5.331,27,20,2,2,1,1,1
109 Gsies,2.031,16,12,4,0,0,0,0
110 Vintl,3.062,41,29,6,5,1,0,0
111 Vahrn,3.288,56,42,8,3,2,1,0
112 Vöran,834,12,10,2,0,0,0,0
113 Niederdorf,1.248,33,14,16,2,1,0,0
114 Villanders,1.763,4,3,0,1,0,0,0
115 Sterzing,5.508,89,52,19,3,14,1,0
116 Feldthurns,2.352,15,14,0,0,0,1,0
117 Wengen,1.226,3,1,1,0,0,1,0
118 U.L.Frau i.W.-St.Felix,739,9,4,3,1,0,0,1
