Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.626,7,4,1,0,2,0,0
002 Andrian,759,16,14,0,0,2,0,0
003 Altrei,380,6,5,1,0,0,0,0
004 Eppan a.d. Weinstr.,11.327,333,232,33,36,26,6,0
005 Hafling,641,8,4,2,0,2,0,0
006 Abtei,2.804,15,9,6,0,0,0,0
007 Barbian,1.443,18,7,5,3,2,0,1
008 Bozen,94.650,2.151,755,414,684,173,120,5
009 Prags,634,2,2,0,0,0,0,0
010 Brenner,2.087,49,30,3,2,9,5,0
011 Brixen,17.244,323,191,59,13,51,9,0
012 Branzoll,2.080,36,14,6,10,4,2,0
013 Bruneck,12.658,254,147,85,11,7,4,0
014 Kuens,302,7,7,0,0,0,0,0
015 Kaltern a.d. Weinstr.,6.410,160,120,18,10,7,5,0
016 Freienfeld,2.396,30,21,1,0,7,1,0
017 Sand in Taufers,4.649,31,20,8,0,0,2,1
018 Kastelbell-Tschars,2.323,13,13,0,0,0,0,0
019 Kastelruth,5.747,61,41,7,5,7,1,0
020 Tscherms,1.145,25,23,1,0,1,0,0
021 Kiens,2.557,25,15,3,5,2,0,0
022 Klausen,4.390,50,36,2,1,8,2,1
023 Karneid,2.812,22,16,0,3,3,0,0
024 Kurtatsch a.d.Weinstr.,1.875,43,28,14,1,0,0,0
025 Kurtinig a.d. Weinstr.,557,15,3,4,8,0,0,0
026 Corvara,1.263,4,2,1,0,0,0,1
027 Graun im Vinschgau,2.333,38,28,4,2,2,0,2
028 Toblach,3.125,52,22,21,1,8,0,0
029 Neumarkt,4.125,86,37,17,15,0,17,0
030 Pfalzen,2.124,16,12,3,1,0,0,0
031 Völs am Schlern,2.771,69,45,5,8,6,5,0
032 Franzensfeste,894,21,8,1,3,7,2,0
033 Villnöss,2.292,16,13,2,1,0,0,0
034 Gais,2.653,24,17,4,0,2,1,0
035 Gargazon,1.190,6,5,0,1,0,0,0
036 Glurns,828,16,13,2,1,0,0,0
037 Latsch,4.457,92,56,27,5,3,1,0
038 Algund,3.987,53,40,5,2,6,0,0
039 Lajen,2.038,7,5,0,0,2,0,0
040 Leifers,14.264,163,58,42,44,10,9,0
041 Lana,8.798,146,109,17,7,10,3,0
042 Laas,3.566,27,25,2,0,0,0,0
043 Laurein,351,0,0,0,0,0,0,0
044 Lüsen,1.425,5,5,0,0,0,0,0
045 Margreid a.d. Weinstr.,1.079,28,7,14,1,5,1,0
046 Mals,4.639,77,30,44,3,0,0,0
