Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.633,36,12,20,2,2,0,0
002 Andrian,886,31,18,9,2,0,2,0
003 Altrei,378,10,4,4,2,0,0,0
004 Eppan a.d. Weinstr.,12.664,773,374,226,66,79,28,0
005 Hafling,689,25,15,5,0,5,0,0
006 Abtei,3.160,67,24,17,9,11,6,0
007 Barbian,1.496,49,24,3,8,11,3,0
008 Bozen,90.814,8.978,1.713,3.209,1.857,1.465,725,9
009 Prags,642,11,5,4,0,2,0,0
010 Brenner,1.847,190,53,42,20,74,1,0
011 Brixen,18.279,1.400,472,546,89,258,35,0
012 Branzoll,2.342,173,24,72,49,19,9,0
013 Bruneck,13.515,932,273,452,32,160,15,0
014 Kuens,357,1,1,0,0,0,0,0
015 Kaltern a.d. Weinstr.,6.927,439,217,110,55,47,10,0
016 Freienfeld,2.505,89,36,26,2,24,1,0
017 Sand in Taufers,4.904,111,49,29,8,18,7,0
018 Kastelbell-Tschars,2.255,83,49,20,4,9,1,0
019 Kastelruth,6.063,211,74,40,25,59,13,0
020 Tscherms,1.315,51,41,6,0,1,3,0
021 Kiens,2.598,68,20,25,11,12,0,0
022 Klausen,4.762,229,81,49,6,67,26,0
023 Karneid,3.090,173,38,60,38,23,14,0
024 Kurtatsch a.d.Weinstr.,2.080,93,53,16,9,14,1,0
025 Kurtinig a.d. Weinstr.,593,25,3,14,8,0,0,0
026 Corvara,1.251,17,5,7,1,2,1,1
027 Graun im Vinschgau,2.338,85,63,3,9,9,1,0
028 Toblach,3.124,134,43,73,2,15,1,0
029 Neumarkt,4.360,329,94,141,49,20,25,0
030 Pfalzen,2.398,51,29,8,0,13,1,0
031 Völs am Schlern,3.043,173,76,40,25,28,4,0
032 Franzensfeste,797,123,21,27,29,41,5,0
033 Villnöss,2.399,58,30,4,5,19,0,0
034 Gais,3.015,55,34,15,0,3,3,0
035 Gargazon,1.481,54,24,13,7,6,4,0
