Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
036 Glurns,854,22,11,4,5,2,0,0
037 Latsch,4.738,328,103,161,24,39,1,0
038 Algund,4.142,205,83,74,25,18,4,1
039 Lajen,2.368,82,30,13,19,15,5,0
040 Leifers,15.051,1.000,159,391,245,114,91,0
041 Lana,10.002,638,293,246,57,31,11,0
042 Laas,3.666,146,53,58,17,11,7,0
043 Laurein,372,0,0,0,0,0,0,0
044 Lüsen,1.454,29,24,0,4,0,1,0
045 Margreid a.d. Weinstr.,1.145,91,37,27,10,10,7,0
046 Mals,4.801,180,106,39,29,5,1,0
047 Enneberg,2.743,74,25,43,1,4,1,0
048 Marling,2.245,81,49,18,3,9,2,0
049 Martell,875,8,7,1,0,0,0,0
050 Mölten,1.492,36,19,14,2,1,0,0
051 Meran,32.021,3.893,1.105,1.629,540,512,103,4
052 Welsberg-Taisten,2.581,107,30,33,4,40,0,0
053 Montan,1.480,48,22,11,3,5,7,0
054 Moos in Passeier,2.161,15,14,1,0,0,0,0
055 Nals,1.595,33,24,1,2,4,2,0
056 Naturns,5.007,235,129,57,22,23,3,1
057 Natz-Schabs,2.486,167,86,51,4,24,2,0
058 Welschnofen,1.711,157,34,84,6,27,6,0
059 Deutschnofen,3.579,161,58,67,13,22,1,0
060 Auer,3.176,202,52,73,34,38,5,0
061 St.Ulrich,4.364,177,47,71,12,9,38,0
062 Partschins,3.223,109,54,44,4,5,2,0
063 Percha,1.352,32,10,18,2,1,1,0
064 Plaus,589,27,7,15,4,1,0,0
065 Waidbruck,173,24,0,9,15,0,0,0
066 Burgstall,1.541,62,38,11,1,9,3,0
067 Prad am Stilfser Joch,3.143,168,76,48,35,6,3,0
068 Prettau,609,2,2,0,0,0,0,0
069 Proveis,275,4,3,1,0,0,0,0
070 Ratschings,4.135,82,46,23,1,12,0,0
071 Rasen-Antholz,2.758,36,28,5,0,3,0,0
072 Ritten,6.882,308,118,138,18,23,11,0
073 Riffian,1.198,27,12,5,8,2,0,0
074 Mühlbach,2.555,169,44,61,16,48,0,0
075 Rodeneck,1.148,15,10,3,0,1,1,0
076 Salurn,2.809,526,91,177,142,90,26,0
077 Innichen,3.023,109,54,27,5,20,3,0
079 Jenesien,2.792,63,39,11,8,4,1,0
080 St.Leonhard in Pass.,3.386,47,29,9,6,3,0,0
081 St.Lorenzen,3.474,94,28,49,7,9,1,0
082 St.Martin in Thurn,1.698,29,3,6,18,0,2,0
083 St.Martin in Passeier,2.956,61,36,3,8,10,3,1
084 St.Pankraz,1.549,21,18,2,0,0,1,0
085 St.Christina in Gröden,1.756,91,17,33,14,4,23,0
086 Sarntal,6.616,125,55,33,28,4,5,0
087 Schenna,2.697,77,60,14,1,1,1,0
088 Mühlwald,1.445,12,8,4,0,0,0,0
089 Wolkenstein in Gröden,2.519,63,38,4,1,13,7,0
091 Schnals,1.350,42,19,21,2,0,0,0
092 Sexten,1.893,46,23,12,4,3,4,0
093 Schlanders,5.606,297,122,118,24,31,2,0
094 Schluderns,1.790,42,27,5,10,0,0,0
095 Stilfs,1.206,47,34,8,4,1,0,0
096 Terenten,1.658,37,19,17,0,1,0,0
097 Terlan,3.659,251,114,80,16,39,2,0
098 Tramin a.d. Weinstr.,3.100,114,59,20,11,19,5,0
099 Tisens,1.774,40,28,10,0,2,0,0
100 Tiers,902,43,15,23,1,4,0,0
101 Tirol,2.286,52,40,8,0,4,0,0
102 Truden im Naturpark,880,70,10,48,0,12,0,0
103 Taufers im Münstertal,949,32,24,6,2,0,0,0
104 Ulten,2.921,19,18,0,1,0,0,0
105 Pfatten,932,59,5,14,38,1,1,0
106 Olang,2.809,116,34,61,5,16,0,0
107 Pfitsch,2.588,149,50,24,18,56,1,0
108 Ahrntal,5.626,66,42,17,5,1,0,1
109 Gsies,2.101,57,25,32,0,0,0,0
110 Vintl,3.089,98,35,19,24,18,0,2
111 Vahrn,3.743,217,96,70,11,36,4,0
112 Vöran,885,10,9,1,0,0,0,0
113 Niederdorf,1.350,67,17,35,4,7,4,0
114 Villanders,1.818,41,11,14,0,16,0,0
115 Sterzing,5.584,355,129,77,19,120,10,0
116 Feldthurns,2.599,59,27,13,3,14,2,0
117 Wengen,1.256,2,1,1,0,0,0,0
118 U.L.Frau i.W.-St.Felix,817,7,6,0,1,0,0,0
