Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.635,23,5,14,3,1,0,0
002 Andrian,816,24,14,6,1,2,1,0
003 Altrei,369,12,4,8,0,0,0,0
004 Eppan a.d. Weinstr.,12.372,578,281,140,67,71,19,0
005 Hafling,681,36,16,16,0,4,0,0
006 Abtei,3.064,36,15,8,5,5,3,0
007 Barbian,1.502,44,17,4,6,16,1,0
008 Bozen,91.298,5.581,1.226,1.900,1.255,719,474,7
009 Prags,629,7,7,0,0,0,0,0
010 Brenner,1.933,122,34,14,6,68,0,0
011 Brixen,17.941,856,307,355,55,118,21,0
012 Branzoll,2.230,110,17,45,33,6,9,0
013 Bruneck,13.248,644,203,296,19,114,12,0
014 Kuens,328,1,1,0,0,0,0,0
015 Kaltern a.d. Weinstr.,6.703,336,176,62,42,47,9,0
016 Freienfeld,2.499,63,30,13,2,18,0,0
017 Sand in Taufers,4.822,92,45,23,2,14,8,0
018 Kastelbell-Tschars,2.254,61,35,19,1,5,1,0
019 Kastelruth,5.907,150,59,33,9,48,1,0
020 Tscherms,1.251,41,39,2,0,0,0,0
021 Kiens,2.602,46,21,18,6,1,0,0
022 Klausen,4.620,148,52,32,1,55,7,1
023 Karneid,3.050,101,30,34,27,3,7,0
024 Kurtatsch a.d.Weinstr.,2.046,82,50,11,7,14,0,0
025 Kurtinig a.d. Weinstr.,594,23,3,9,11,0,0,0
026 Corvara,1.258,7,4,2,0,0,0,1
027 Graun im Vinschgau,2.311,78,59,5,5,8,1,0
028 Toblach,3.193,98,37,45,2,13,1,0
029 Neumarkt,4.313,187,61,64,36,9,17,0
030 Pfalzen,2.283,28,23,2,0,3,0,0
031 Völs am Schlern,2.942,135,45,35,22,27,6,0
032 Franzensfeste,832,79,19,24,8,26,2,0
033 Villnöss,2.403,37,16,5,7,9,0,0
034 Gais,2.914,38,28,9,0,0,1,0
035 Gargazon,1.417,33,11,10,9,0,3,0
036 Glurns,865,18,10,3,5,0,0,0
037 Latsch,4.689,277,85,135,30,27,0,0
038 Algund,4.024,137,56,44,21,11,5,0
039 Lajen,2.302,45,17,11,7,8,2,0
040 Leifers,14.902,588,110,186,168,67,57,0
041 Lana,9.627,420,212,155,24,25,4,0
042 Laas,3.663,80,30,31,6,8,5,0
043 Laurein,363,1,0,0,0,0,1,0
044 Lüsen,1.454,22,13,6,2,1,0,0
045 Margreid a.d. Weinstr.,1.134,67,22,28,7,8,2,0
046 Mals,4.788,125,67,33,19,6,0,0
047 Enneberg,2.689,44,13,30,1,0,0,0
048 Marling,2.166,61,38,9,5,7,2,0
049 Martell,882,5,5,0,0,0,0,0
050 Mölten,1.459,18,14,3,1,0,0,0
051 Meran,32.076,2.484,797,920,387,277,100,3
052 Welsberg-Taisten,2.520,95,24,42,0,29,0,0
053 Montan,1.482,78,20,8,33,8,9,0
054 Moos in Passeier,2.178,16,14,1,1,0,0,0
055 Nals,1.566,35,23,0,4,6,2,0
056 Naturns,4.947,182,100,43,10,24,4,1
057 Natz-Schabs,2.402,108,46,36,7,16,3,0
058 Welschnofen,1.783,72,33,10,5,20,4,0
059 Deutschnofen,3.505,117,41,47,8,19,1,1
060 Auer,3.050,135,44,52,14,18,7,0
061 St.Ulrich,4.418,133,36,50,4,9,34,0
062 Partschins,3.192,85,41,36,5,1,2,0
063 Percha,1.298,21,9,11,1,0,0,0
064 Plaus,541,22,2,16,4,0,0,0
065 Waidbruck,177,24,0,5,18,0,0,1
066 Burgstall,1.500,59,35,11,1,9,3,0
067 Prad am Stilfser Joch,3.092,121,51,32,28,9,1,0
068 Prettau,612,4,4,0,0,0,0,0
069 Proveis,275,3,3,0,0,0,0,0
070 Ratschings,3.989,60,36,14,2,8,0,0
071 Rasen-Antholz,2.733,23,17,5,0,1,0,0
072 Ritten,6.783,283,112,123,19,23,6,0
073 Riffian,1.145,13,8,2,3,0,0,0
074 Mühlbach,2.529,155,36,48,34,36,1,0
075 Rodeneck,1.152,14,6,4,3,0,1,0
076 Salurn,2.783,259,63,85,58,38,15,0
077 Innichen,3.021,96,40,22,12,19,3,0
079 Jenesien,2.717,60,28,14,14,2,2,0
080 St.Leonhard in Pass.,3.369,40,23,11,0,6,0,0
081 St.Lorenzen,3.439,77,21,36,11,8,1,0
082 St.Martin in Thurn,1.678,15,5,0,9,0,1,0
083 St.Martin in Passeier,2.825,66,34,10,11,8,1,2
084 St.Pankraz,1.576,16,13,3,0,0,0,0
085 St.Christina in Gröden,1.714,63,16,14,12,0,21,0
086 Sarntal,6.532,113,49,31,28,1,4,0
087 Schenna,2.652,52,45,5,1,0,1,0
088 Mühlwald,1.469,8,4,4,0,0,0,0
089 Wolkenstein in Gröden,2.512,51,33,7,1,4,6,0
091 Schnals,1.355,44,19,23,2,0,0,0
092 Sexten,1.889,44,25,13,2,3,1,0
093 Schlanders,5.568,219,107,77,10,19,6,0
094 Schluderns,1.832,49,25,8,14,2,0,0
095 Stilfs,1.254,50,27,14,8,1,0,0
096 Terenten,1.579,33,16,11,0,6,0,0
097 Terlan,3.576,181,75,52,19,32,3,0
098 Tramin a.d. Weinstr.,3.077,110,47,30,14,16,3,0
099 Tisens,1.774,39,25,10,0,4,0,0
100 Tiers,896,13,5,8,0,0,0,0
101 Tirol,2.284,60,45,7,0,8,0,0
102 Truden im Naturpark,912,69,7,52,0,10,0,0
103 Taufers im Münstertal,941,13,7,5,0,0,1,0
104 Ulten,2.959,21,20,0,1,0,0,0
105 Pfatten,812,37,6,12,18,0,1,0
106 Olang,2.776,78,28,34,1,13,2,0
107 Pfitsch,2.515,96,40,24,8,22,0,2
108 Ahrntal,5.545,46,29,8,7,1,0,1
109 Gsies,2.084,37,23,14,0,0,0,0
110 Vintl,3.087,76,22,27,8,17,0,2
111 Vahrn,3.479,156,65,43,12,30,6,0
112 Vöran,869,12,9,3,0,0,0,0
113 Niederdorf,1.299,63,19,36,0,8,0,0
114 Villanders,1.805,26,9,7,3,7,0,0
115 Sterzing,5.628,223,82,43,15,78,5,0
116 Feldthurns,2.524,50,31,6,2,9,2,0
117 Wengen,1.246,1,1,0,0,0,0,0
118 U.L.Frau i.W.-St.Felix,797,5,3,1,1,0,0,0
