Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
036 Glurns,851,31,15,7,6,3,0,0
037 Latsch,4.767,342,123,142,36,38,3,0
038 Algund,4.325,282,128,87,29,35,2,1
039 Lajen,2.404,122,38,24,25,27,8,0
040 Leifers,15.254,1.342,247,524,299,148,124,0
041 Lana,10.154,794,403,284,64,39,4,0
042 Laas,3.704,147,70,46,9,13,9,0
043 Laurein,365,0,0,0,0,0,0,0
044 Lüsen,1.463,52,38,1,12,0,1,0
045 Margreid a.d. Weinstr.,1.126,143,69,37,15,15,7,0
046 Mals,4.838,199,126,50,23,0,0,0
047 Enneberg,2.761,101,46,52,1,2,0,0
048 Marling,2.303,124,72,33,4,11,4,0
049 Martell,856,13,13,0,0,0,0,0
050 Mölten,1.546,40,24,14,2,0,0,0
051 Meran,32.050,4.896,1.517,2.055,581,635,106,2
052 Welsberg-Taisten,2.637,127,40,30,4,52,1,0
053 Montan,1.488,63,42,15,1,5,0,0
054 Moos in Passeier,2.154,15,14,1,0,0,0,0
055 Nals,1.624,62,42,11,2,5,2,0
056 Naturns,5.086,304,170,75,29,27,3,0
057 Natz-Schabs,2.582,256,138,72,7,30,9,0
058 Welschnofen,1.739,161,34,95,5,21,5,1
059 Deutschnofen,3.596,245,135,76,11,19,3,1
060 Auer,3.223,255,64,97,48,43,3,0
061 St.Ulrich,4.361,221,62,80,18,18,43,0
062 Partschins,3.293,130,64,52,10,2,2,0
063 Percha,1.353,37,17,19,0,1,0,0
064 Plaus,601,59,20,33,2,4,0,0
065 Waidbruck,161,20,1,9,10,0,0,0
066 Burgstall,1.598,93,56,21,3,10,3,0
067 Prad am Stilfser Joch,3.157,203,89,58,47,5,4,0
068 Prettau,601,1,1,0,0,0,0,0
069 Proveis,266,4,3,1,0,0,0,0
070 Ratschings,4.168,119,82,23,0,14,0,0
071 Rasen-Antholz,2.771,64,48,15,0,1,0,0
072 Ritten,6.992,391,157,188,14,19,13,0
073 Riffian,1.236,24,16,3,2,3,0,0
074 Mühlbach,2.581,235,115,44,18,58,0,0
075 Rodeneck,1.148,25,19,5,0,0,1,0
076 Salurn,2.791,650,103,207,187,131,22,0
077 Innichen,3.014,133,61,36,5,27,4,0
079 Jenesien,2.851,78,50,15,9,3,1,0
080 St.Leonhard in Pass.,3.430,57,35,8,9,4,1,0
081 St.Lorenzen,3.493,139,53,61,7,17,1,0
082 St.Martin in Thurn,1.693,29,11,6,6,1,5,0
083 St.Martin in Passeier,3.006,85,62,2,7,9,4,1
084 St.Pankraz,1.564,22,17,3,0,1,1,0
085 St.Christina in Gröden,1.784,118,42,31,9,4,32,0
086 Sarntal,6.684,149,73,45,24,5,2,0
087 Schenna,2.702,84,68,10,1,4,1,0
088 Mühlwald,1.465,12,7,5,0,0,0,0
089 Wolkenstein in Gröden,2.544,73,39,5,1,19,9,0
091 Schnals,1.306,47,25,21,1,0,0,0
092 Sexten,1.859,62,29,20,5,3,5,0
093 Schlanders,5.537,365,142,163,27,31,2,0
094 Schluderns,1.791,59,42,8,9,0,0,0
095 Stilfs,1.168,68,27,22,17,1,0,1
096 Terenten,1.646,37,24,12,0,1,0,0
097 Terlan,3.774,297,151,76,21,43,6,0
098 Tramin a.d. Weinstr.,3.092,160,74,46,12,21,7,0
099 Tisens,1.785,51,40,11,0,0,0,0
100 Tiers,917,48,23,21,0,4,0,0
101 Tirol,2.320,78,58,13,0,7,0,0
102 Truden im Naturpark,901,89,18,61,3,7,0,0
103 Taufers im Münstertal,932,26,16,7,3,0,0,0
104 Ulten,2.903,24,22,1,0,1,0,0
105 Pfatten,937,68,10,9,45,3,1,0
106 Olang,2.876,142,45,61,12,24,0,0
107 Pfitsch,2.574,155,64,18,16,57,0,0
108 Ahrntal,5.704,113,78,21,10,1,2,1
109 Gsies,2.114,66,28,35,3,0,0,0
110 Vintl,3.105,136,50,26,27,33,0,0
111 Vahrn,3.851,311,151,94,18,43,5,0
112 Vöran,890,18,16,2,0,0,0,0
113 Niederdorf,1.369,82,19,41,8,10,4,0
114 Villanders,1.834,53,25,11,1,16,0,0
115 Sterzing,5.722,440,183,99,27,122,9,0
116 Feldthurns,2.626,61,32,9,1,17,2,0
117 Wengen,1.260,13,6,7,0,0,0,0
118 U.L.Frau i.W.-St.Felix,788,6,6,0,0,0,0,0
