Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.626,40,17,19,1,3,0,0
002 Andrian,964,39,26,9,1,2,1,0
003 Altrei,382,9,3,4,2,0,0,0
004 Eppan a.d. Weinstr.,12.782,1.028,574,270,74,80,30,0
005 Hafling,693,32,19,8,0,5,0,0
006 Abtei,3.232,72,25,19,8,14,6,0
007 Barbian,1.502,50,28,10,0,11,1,0
008 Bozen,90.428,11.502,2.340,4.001,2.266,1.967,920,8
009 Prags,648,18,9,1,0,8,0,0
010 Brenner,1.846,256,79,70,11,96,0,0
011 Brixen,18.433,1.811,694,634,112,336,35,0
012 Branzoll,2.391,188,31,96,33,24,4,0
013 Bruneck,13.769,1.268,424,613,31,184,16,0
014 Kuens,377,3,3,0,0,0,0,0
015 Kaltern a.d. Weinstr.,7.013,504,236,119,58,71,20,0
016 Freienfeld,2.519,127,68,27,6,17,2,7
017 Sand in Taufers,4.985,173,75,54,9,27,8,0
018 Kastelbell-Tschars,2.262,104,48,22,20,12,2,0
019 Kastelruth,6.117,294,129,57,30,61,17,0
020 Tscherms,1.331,65,56,6,0,0,3,0
021 Kiens,2.589,77,34,25,7,11,0,0
022 Klausen,4.816,266,110,65,4,69,18,0
023 Karneid,3.117,180,68,50,22,23,17,0
024 Kurtatsch a.d.Weinstr.,2.108,112,60,14,9,26,3,0
025 Kurtinig a.d. Weinstr.,592,39,20,9,9,0,1,0
026 Corvara,1.289,20,10,5,1,2,1,1
027 Graun im Vinschgau,2.328,85,66,2,6,10,1,0
028 Toblach,3.112,136,54,69,1,12,0,0
029 Neumarkt,4.405,387,109,160,57,35,26,0
030 Pfalzen,2.467,49,29,18,0,2,0,0
031 Völs am Schlern,3.109,233,103,63,16,42,9,0
032 Franzensfeste,787,167,33,36,35,56,7,0
033 Villnöss,2.429,70,39,3,5,23,0,0
034 Gais,3.035,83,60,17,4,0,2,0
035 Gargazon,1.480,70,29,18,9,11,3,0
