Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.625,41,16,23,0,2,0,0
002 Andrian,934,28,17,9,1,1,0,0
003 Altrei,383,9,3,4,2,0,0,0
004 Eppan a.d. Weinstr.,12.655,973,538,263,71,74,27,0
005 Hafling,696,30,20,5,0,5,0,0
006 Abtei,3.211,63,22,13,8,13,7,0
007 Barbian,1.500,51,27,10,0,11,3,0
008 Bozen,90.500,10.076,2.045,3.518,2.044,1.654,806,9
009 Prags,643,14,8,1,0,5,0,0
010 Brenner,1.832,220,72,55,12,80,1,0
011 Brixen,18.325,1.625,642,574,92,284,33,0
012 Branzoll,2.367,190,29,85,40,31,5,0
013 Bruneck,13.688,1.109,359,528,31,177,14,0
014 Kuens,364,0,0,0,0,0,0,0
015 Kaltern a.d. Weinstr.,6.957,504,251,106,64,64,19,0
016 Freienfeld,2.500,112,54,26,7,23,2,0
017 Sand in Taufers,4.951,128,60,36,6,19,7,0
018 Kastelbell-Tschars,2.265,100,56,18,13,11,2,0
019 Kastelruth,6.099,257,111,42,30,56,17,1
020 Tscherms,1.324,59,49,7,0,0,3,0
021 Kiens,2.571,71,23,24,10,14,0,0
022 Klausen,4.783,256,110,54,3,68,21,0
023 Karneid,3.100,162,55,47,22,24,14,0
024 Kurtatsch a.d.Weinstr.,2.097,99,57,13,6,22,1,0
025 Kurtinig a.d. Weinstr.,601,36,14,11,11,0,0,0
026 Corvara,1.266,27,10,11,1,3,1,1
027 Graun im Vinschgau,2.325,85,64,3,8,9,1,0
028 Toblach,3.098,146,55,75,1,14,1,0
029 Neumarkt,4.355,346,105,144,45,28,24,0
030 Pfalzen,2.420,51,33,12,0,6,0,0
031 Völs am Schlern,3.067,214,106,48,13,44,3,0
032 Franzensfeste,806,138,28,28,31,43,8,0
033 Villnöss,2.419,63,35,2,5,21,0,0
034 Gais,3.023,66,44,15,4,0,3,0
035 Gargazon,1.474,60,27,14,9,6,4,0
036 Glurns,846,29,15,7,5,2,0,0
037 Latsch,4.754,333,118,149,27,37,2,0
038 Algund,4.268,232,111,73,20,24,3,1
039 Lajen,2.384,83,30,12,19,17,5,0
040 Leifers,15.135,1.168,206,460,265,127,110,0
041 Lana,10.064,758,394,269,59,32,4,0
042 Laas,3.668,155,64,52,18,13,8,0
043 Laurein,363,0,0,0,0,0,0,0
044 Lüsen,1.456,45,30,1,13,0,1,0
045 Margreid a.d. Weinstr.,1.129,111,52,30,13,9,7,0
046 Mals,4.825,195,119,48,28,0,0,0
047 Enneberg,2.747,99,46,51,1,1,0,0
048 Marling,2.275,117,76,26,2,10,3,0
049 Martell,860,12,11,1,0,0,0,0
050 Mölten,1.516,38,22,14,2,0,0,0
051 Meran,32.001,4.479,1.364,1.879,544,584,105,3
052 Welsberg-Taisten,2.615,116,34,32,4,46,0,0
053 Montan,1.491,51,32,12,1,5,1,0
054 Moos in Passeier,2.154,14,13,1,0,0,0,0
055 Nals,1.601,44,33,5,2,3,1,0
056 Naturns,5.054,275,147,72,25,27,4,0
057 Natz-Schabs,2.544,220,117,61,10,25,7,0
058 Welschnofen,1.730,156,29,92,6,23,6,0
059 Deutschnofen,3.594,262,163,66,11,20,2,0
060 Auer,3.197,239,60,87,43,44,5,0
061 St.Ulrich,4.353,187,55,74,16,13,29,0
062 Partschins,3.247,126,63,53,6,2,2,0
063 Percha,1.350,33,10,22,0,1,0,0
064 Plaus,608,38,14,15,5,4,0,0
065 Waidbruck,165,16,1,4,11,0,0,0
066 Burgstall,1.537,82,49,16,4,10,3,0
067 Prad am Stilfser Joch,3.156,183,78,52,44,5,4,0
068 Prettau,601,2,2,0,0,0,0,0
069 Proveis,269,4,3,1,0,0,0,0
070 Ratschings,4.175,111,80,20,0,11,0,0
071 Rasen-Antholz,2.772,66,51,12,0,3,0,0
072 Ritten,6.940,384,153,171,23,26,11,0
073 Riffian,1.233,34,12,4,15,3,0,0
074 Mühlbach,2.565,249,119,59,10,61,0,0
075 Rodeneck,1.133,19,15,3,0,0,1,0
076 Salurn,2.791,576,100,182,159,113,22,0
077 Innichen,2.987,126,64,27,4,27,4,0
079 Jenesien,2.820,75,49,13,8,3,2,0
080 St.Leonhard in Pass.,3.399,62,41,9,8,4,0,0
081 St.Lorenzen,3.491,127,54,51,6,15,1,0
082 St.Martin in Thurn,1.694,34,9,7,17,0,1,0
083 St.Martin in Passeier,2.979,90,61,4,9,11,4,1
084 St.Pankraz,1.549,26,21,3,0,1,1,0
085 St.Christina in Gröden,1.773,122,44,34,14,4,26,0
086 Sarntal,6.633,130,63,38,26,0,3,0
087 Schenna,2.700,81,64,10,1,5,1,0
088 Mühlwald,1.450,11,7,4,0,0,0,0
089 Wolkenstein in Gröden,2.535,72,39,5,1,18,9,0
091 Schnals,1.323,42,20,20,2,0,0,0
092 Sexten,1.863,48,26,13,4,2,3,0
093 Schlanders,5.544,337,138,144,21,32,2,0
094 Schluderns,1.813,54,37,7,10,0,0,0
095 Stilfs,1.182,57,34,11,10,1,0,1
096 Terenten,1.652,33,20,12,0,1,0,0
097 Terlan,3.686,286,146,78,18,39,5,0
098 Tramin a.d. Weinstr.,3.105,132,67,37,8,17,3,0
099 Tisens,1.774,48,38,8,0,2,0,0
100 Tiers,909,44,18,22,0,4,0,0
101 Tirol,2.303,71,51,13,0,6,1,0
102 Truden im Naturpark,889,69,12,49,1,7,0,0
103 Taufers im Münstertal,938,26,17,7,2,0,0,0
104 Ulten,2.900,24,23,0,0,1,0,0
105 Pfatten,934,73,7,15,48,2,1,0
106 Olang,2.833,129,42,59,10,18,0,0
107 Pfitsch,2.592,167,65,24,17,61,0,0
108 Ahrntal,5.669,111,77,20,10,1,2,1
109 Gsies,2.111,63,27,34,2,0,0,0
110 Vintl,3.087,117,50,22,20,25,0,0
111 Vahrn,3.836,286,144,83,18,36,5,0
112 Vöran,881,19,18,1,0,0,0,0
113 Niederdorf,1.362,73,18,41,4,6,4,0
114 Villanders,1.836,53,23,13,0,17,0,0
115 Sterzing,5.618,406,178,88,21,111,8,0
116 Feldthurns,2.614,60,33,10,1,14,2,0
117 Wengen,1.260,8,5,3,0,0,0,0
118 U.L.Frau i.W.-St.Felix,803,7,6,0,1,0,0,0
Insgesamt,458.717,32.549,11.092,11.051,4.323,4.604,1.461,18
