Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.610,46,30,13,0,3,0,0
002 Andrian,963,61,47,11,0,0,3,0
003 Altrei,385,10,5,5,0,0,0,0
004 Eppan a.d. Weinstr.,13.690,1.276,668,347,119,90,52,0
005 Hafling,724,52,41,11,0,0,0,0
006 Abtei,3.373,127,75,35,2,8,7,0
007 Barbian,1.624,93,41,23,0,28,1,0
008 Bozen,92.360,15.332,2.927,4.693,2.747,3.897,1.068,0
009 Prags,639,13,11,2,0,0,0,0
010 Brenner,1.830,356,93,123,19,120,1,0
011 Brixen,19.827,2.312,820,675,214,535,68,0
012 Branzoll,2.573,226,46,95,32,47,6,0
013 Bruneck,15.028,1.554,502,701,105,224,22,0
014 Kuens,390,5,5,0,0,0,0,0
015 Kaltern a.d. Weinstr.,7.354,701,372,187,35,86,21,0
016 Freienfeld,2.530,115,74,19,11,10,1,0
017 Sand in Taufers,5.170,279,117,87,19,44,12,0
018 Kastelbell-Tschars,2.185,123,61,28,18,16,0,0
019 Kastelruth,6.401,503,237,119,69,55,23,0
020 Tscherms,1.456,90,56,23,8,2,1,0
021 Kiens,2.714,124,55,32,8,29,0,0
022 Klausen,4.859,378,156,66,13,99,44,0
023 Karneid,3.221,174,65,37,25,34,13,0
024 Kurtatsch a.d.Weinstr.,2.112,123,57,29,7,28,2,0
025 Kurtinig a.d. Weinstr.,616,48,29,8,10,1,0,0
026 Corvara,1.338,39,17,9,1,9,3,0
027 Graun im Vinschgau,2.293,88,65,9,0,13,1,0
028 Toblach,3.197,159,81,63,5,10,0,0
029 Neumarkt,4.799,507,159,187,84,55,22,0
030 Pfalzen,2.714,76,37,30,1,8,0,0
031 Völs am Schlern,3.262,336,148,81,28,65,14,0
032 Franzensfeste,746,253,48,55,44,96,10,0
033 Villnöss,2.493,110,37,7,27,36,3,0
034 Gais,3.178,100,48,45,3,3,1,0
035 Gargazon,1.598,91,54,27,1,2,7,0
036 Glurns,859,29,19,4,1,4,1,0
037 Latsch,4.794,420,223,94,48,52,3,0
038 Algund,4.627,426,216,111,38,54,7,0
039 Lajen,2.511,165,40,44,24,54,3,0
040 Leifers,16.390,1.676,341,574,313,321,127,0
041 Lana,11.169,1.136,530,376,111,103,16,0
042 Laas,3.835,193,109,39,37,5,3,0
043 Laurein,337,1,1,0,0,0,0,0
044 Lüsen,1.477,67,58,7,0,1,1,0
045 Margreid a.d. Weinstr.,1.147,148,60,29,34,24,1,0
046 Mals,4.900,365,192,71,86,14,2,0
047 Enneberg,2.866,177,101,59,12,1,4,0
048 Marling,2.488,233,122,49,19,38,5,0
049 Martell,822,31,26,5,0,0,0,0
050 Mölten,1.631,49,33,10,0,5,1,0
051 Meran,33.993,6.601,1.960,2.508,849,1.148,134,2
052 Welsberg-Taisten,2.707,162,51,69,20,19,3,0
053 Montan,1.625,62,40,7,6,3,6,0
054 Moos in Passeier,2.073,24,21,3,0,0,0,0
055 Nals,1.874,146,85,35,8,18,0,0
056 Naturns,5.379,430,251,87,33,54,5,0
057 Natz-Schabs,2.903,286,173,50,14,38,11,0
058 Welschnofen,1.783,202,73,72,11,42,4,0
059 Deutschnofen,3.682,245,116,80,20,26,3,0
060 Auer,3.431,361,100,83,91,77,10,0
061 St.Ulrich,4.444,440,142,134,31,58,75,0
062 Partschins,3.518,206,114,36,35,20,1,0
063 Percha,1.511,39,18,15,3,1,2,0
064 Plaus,645,68,39,17,8,4,0,0
065 Waidbruck,158,37,3,18,10,6,0,0
066 Burgstall,1.782,104,64,25,2,5,8,0
067 Prad am Stilfser Joch,3.290,318,151,89,57,15,6,0
068 Prettau,545,2,2,0,0,0,0,0
069 Proveis,258,9,5,0,0,0,4,0
070 Ratschings,4.320,151,89,36,16,9,1,0
071 Rasen-Antholz,2.764,145,75,46,1,22,1,0
072 Ritten,7.405,499,275,133,30,48,13,0
073 Riffian,1.297,60,27,0,14,18,1,0
074 Mühlbach,2.718,380,159,121,33,65,2,0
075 Rodeneck,1.192,38,31,4,2,0,1,0
076 Salurn,3.042,817,97,219,269,214,18,0
077 Innichen,3.118,237,76,74,33,46,8,0
079 Jenesien,2.956,89,54,10,2,19,4,0
080 St.Leonhard in Pass.,3.493,62,41,6,2,13,0,0
