Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.627,9,6,0,0,3,0,0
002 Andrian,763,19,14,2,0,3,0,0
003 Altrei,379,11,5,6,0,0,0,0
004 Eppan a.d. Weinstr.,11.697,408,259,60,40,41,8,0
005 Hafling,654,12,5,3,0,4,0,0
006 Abtei,2.873,18,9,9,0,0,0,0
007 Barbian,1.424,27,15,5,2,4,0,1
008 Bozen,93.482,2.962,915,710,879,272,175,11
009 Prags,639,8,5,2,1,0,0,0
010 Brenner,2.097,55,32,6,1,12,4,0
011 Brixen,17.437,472,228,127,19,85,11,2
012 Branzoll,2.182,56,15,14,19,6,2,0
013 Bruneck,12.938,318,164,126,9,13,6,0
014 Kuens,306,1,1,0,0,0,0,0
015 Kaltern a.d. Weinstr.,6.426,203,135,31,20,14,3,0
016 Freienfeld,2.400,23,15,0,0,8,0,0
017 Sand in Taufers,4.672,37,25,10,0,0,1,1
018 Kastelbell-Tschars,2.313,29,18,10,0,0,0,1
019 Kastelruth,5.823,95,48,20,4,22,1,0
020 Tscherms,1.113,30,28,1,0,0,1,0
021 Kiens,2.560,19,14,3,0,2,0,0
022 Klausen,4.474,56,35,4,4,10,2,1
023 Karneid,2.952,24,20,2,2,0,0,0
024 Kurtatsch a.d.Weinstr.,1.918,41,26,12,1,2,0,0
025 Kurtinig a.d. Weinstr.,566,14,3,6,5,0,0,0
026 Corvara,1.248,5,3,1,0,0,0,1
027 Graun im Vinschgau,2.357,42,29,6,2,3,0,2
028 Toblach,3.148,64,29,27,0,8,0,0
029 Neumarkt,4.119,102,45,28,16,1,12,0
030 Pfalzen,2.127,17,13,4,0,0,0,0
031 Völs am Schlern,2.851,82,46,8,8,17,3,0
032 Franzensfeste,861,18,11,0,2,5,0,0
033 Villnöss,2.327,14,12,0,0,2,0,0
034 Gais,2.684,36,29,3,0,2,2,0
035 Gargazon,1.258,14,8,0,5,0,1,0
036 Glurns,830,16,11,2,3,0,0,0
037 Latsch,4.551,158,63,80,9,6,0,0
038 Algund,3.976,65,43,8,3,10,1,0
039 Lajen,2.067,11,8,1,1,1,0,0
040 Leifers,14.362,235,76,60,69,17,13,0
041 Lana,8.952,197,133,35,14,11,4,0
042 Laas,3.629,42,28,14,0,0,0,0
043 Laurein,354,0,0,0,0,0,0,0
044 Lüsen,1.450,5,5,0,0,0,0,0
045 Margreid a.d. Weinstr.,1.086,41,9,20,6,5,1,0
046 Mals,4.666,130,49,70,9,2,0,0
047 Enneberg,2.629,13,7,6,0,0,0,0
048 Marling,2.171,51,34,4,4,8,1,0
049 Martell,871,5,5,0,0,0,0,0
050 Mölten,1.314,7,5,1,1,0,0,0
051 Meran,32.411,1.545,810,344,187,148,51,5
052 Welsberg-Taisten,2.442,46,24,13,3,4,1,1
053 Montan,1.420,11,8,3,0,0,0,0
054 Moos in Passeier,2.166,10,7,1,1,0,0,1
055 Nals,1.490,15,7,0,0,8,0,0
056 Naturns,4.855,120,71,28,3,15,2,1
057 Natz-Schabs,2.217,51,24,14,6,6,0,1
058 Welschnofen,1.743,50,24,13,0,10,3,0
059 Deutschnofen,3.398,58,29,12,7,9,0,1
060 Auer,2.848,48,29,10,3,3,3,0
061 St.Ulrich,4.316,38,25,8,1,1,3,0
062 Partschins,3.081,55,35,9,5,5,0,1
063 Percha,1.251,16,9,6,1,0,0,0
064 Plaus,475,11,4,4,2,1,0,0
065 Waidbruck,184,8,1,3,1,3,0,0
066 Burgstall,1.309,33,26,4,1,1,1,0
067 Prad am Stilfser Joch,3.093,62,32,15,13,0,2,0
