Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.644,7,4,2,0,1,0,0
002 Andrian,773,21,15,3,0,3,0,0
003 Altrei,370,13,4,8,0,0,1,0
004 Eppan a.d. Weinstr.,12.056,455,263,88,42,50,12,0
005 Hafling,679,25,11,12,0,2,0,0
006 Abtei,2.970,26,9,11,4,0,2,0
007 Barbian,1.460,29,16,5,2,5,0,1
008 Bozen,93.012,4.004,1.035,1.195,1.050,440,279,5
009 Prags,621,7,7,0,0,0,0,0
010 Brenner,2.000,95,27,4,2,60,2,0
011 Brixen,17.821,651,264,235,28,103,19,2
012 Branzoll,2.212,87,17,32,27,8,3,0
013 Bruneck,13.195,469,192,218,13,40,5,1
014 Kuens,308,2,2,0,0,0,0,0
015 Kaltern a.d. Weinstr.,6.523,260,142,53,25,34,6,0
016 Freienfeld,2.424,31,19,3,0,9,0,0
017 Sand in Taufers,4.761,62,34,21,1,1,4,1
018 Kastelbell-Tschars,2.278,36,21,12,1,1,0,1
019 Kastelruth,5.869,110,50,29,6,21,4,0
020 Tscherms,1.176,43,40,3,0,0,0,0
021 Kiens,2.583,34,18,10,5,1,0,0
022 Klausen,4.460,106,37,25,5,36,2,1
023 Karneid,3.039,43,17,15,8,1,2,0
024 Kurtatsch a.d.Weinstr.,1.999,50,31,12,2,5,0,0
025 Kurtinig a.d. Weinstr.,580,11,1,3,6,1,0,0
026 Corvara,1.256,5,2,1,0,0,1,1
027 Graun im Vinschgau,2.351,54,45,4,1,4,0,0
028 Toblach,3.196,76,31,37,0,8,0,0
029 Neumarkt,4.198,116,49,33,20,1,13,0
030 Pfalzen,2.223,16,12,4,0,0,0,0
031 Völs am Schlern,2.940,123,62,22,16,17,6,0
032 Franzensfeste,838,52,14,11,6,21,0,0
033 Villnöss,2.376,19,13,1,0,4,1,0
034 Gais,2.815,40,27,10,0,2,1,0
035 Gargazon,1.309,27,16,1,9,0,1,0
036 Glurns,858,17,11,2,4,0,0,0
037 Latsch,4.664,229,83,117,22,7,0,0
038 Algund,4.005,87,41,18,13,12,3,0
039 Lajen,2.198,22,12,3,1,5,1,0
040 Leifers,14.685,377,85,111,114,40,27,0
041 Lana,9.306,320,176,90,27,23,4,0
042 Laas,3.648,51,22,24,2,3,0,0
043 Laurein,360,0,0,0,0,0,0,0
044 Lüsen,1.455,11,6,4,0,1,0,0
045 Margreid a.d. Weinstr.,1.116,49,18,21,8,1,1,0
046 Mals,4.758,98,45,37,14,2,0,0
047 Enneberg,2.649,33,12,19,1,1,0,0
048 Marling,2.139,53,32,4,6,9,2,0
049 Martell,865,6,4,1,0,1,0,0
050 Mölten,1.398,11,8,3,0,0,0,0
051 Meran,32.424,1.917,798,569,255,218,73,4
052 Welsberg-Taisten,2.468,86,25,39,0,22,0,0
053 Montan,1.442,26,19,0,1,2,4,0
054 Moos in Passeier,2.155,12,10,1,1,0,0,0
055 Nals,1.540,18,13,0,0,5,0,0
056 Naturns,4.908,153,82,42,8,18,2,1
057 Natz-Schabs,2.317,81,32,30,9,10,0,0
058 Welschnofen,1.724,76,22,34,0,14,6,0
059 Deutschnofen,3.466,95,39,36,8,9,2,1
060 Auer,2.896,77,39,17,5,6,10,0
061 St.Ulrich,4.372,68,27,16,2,7,16,0
062 Partschins,3.104,75,44,18,10,2,1,0
063 Percha,1.280,18,10,8,0,0,0,0
064 Plaus,521,19,6,11,1,1,0,0
065 Waidbruck,180,13,0,0,12,0,0,1
066 Burgstall,1.362,32,21,6,0,3,2,0
067 Prad am Stilfser Joch,3.110,73,31,23,17,1,1,0
068 Prettau,638,1,1,0,0,0,0,0
069 Proveis,284,2,2,0,0,0,0,0
070 Ratschings,3.938,46,29,10,3,4,0,0
071 Rasen-Antholz,2.672,25,19,3,0,3,0,0
072 Ritten,6.691,231,108,95,7,18,3,0
073 Riffian,1.165,22,10,3,2,7,0,0
074 Mühlbach,2.515,94,33,21,24,16,0,0
075 Rodeneck,1.141,11,2,8,0,0,1,0
076 Salurn,2.777,153,53,47,30,17,6,0
077 Innichen,3.008,62,34,14,7,7,0,0
079 Jenesien,2.623,34,15,10,8,0,1,0
080 St.Leonhard in Pass.,3.426,41,26,11,0,4,0,0
081 St.Lorenzen,3.333,43,21,15,2,4,1,0
082 St.Martin in Thurn,1.648,9,4,0,5,0,0,0
083 St.Martin in Passeier,2.789,51,28,13,4,3,0,3
084 St.Pankraz,1.571,12,10,1,1,0,0,0
085 St.Christina in Gröden,1.720,35,15,1,3,7,9,0
086 Sarntal,6.532,91,41,32,15,1,2,0
087 Schenna,2.627,46,39,5,0,1,1,0
088 Mühlwald,1.448,10,7,3,0,0,0,0
089 Wolkenstein in Gröden,2.469,31,25,2,0,0,4,0
091 Schnals,1.367,34,18,12,4,0,0,0
092 Sexten,1.895,46,28,13,2,3,0,0
093 Schlanders,5.620,208,106,72,9,16,5,0
094 Schluderns,1.764,37,19,6,10,2,0,0
095 Stilfs,1.267,32,20,7,5,0,0,0
096 Terenten,1.539,17,9,7,0,1,0,0
097 Terlan,3.422,114,48,35,7,23,1,0
098 Tramin a.d. Weinstr.,3.074,81,38,25,6,11,1,0
099 Tisens,1.734,31,13,12,0,5,1,0
100 Tiers,898,11,8,2,0,1,0,0
101 Tirol,2.284,71,56,7,0,7,1,0
102 Truden im Naturpark,929,38,1,29,3,5,0,0
103 Taufers im Münstertal,947,7,3,3,0,0,1,0
104 Ulten,2.964,23,22,0,0,0,1,0
105 Pfatten,797,27,7,11,8,0,1,0
106 Olang,2.742,39,23,14,0,1,1,0
107 Pfitsch,2.546,116,25,58,12,21,0,0
108 Ahrntal,5.505,41,20,13,5,1,1,1
109 Gsies,2.056,35,15,19,0,1,0,0
110 Vintl,3.099,43,22,11,7,3,0,0
111 Vahrn,3.432,151,52,65,19,13,1,1
112 Vöran,870,12,7,5,0,0,0,0
113 Niederdorf,1.290,41,12,20,0,9,0,0
114 Villanders,1.793,15,5,4,0,5,1,0
115 Sterzing,5.580,171,83,38,5,41,3,1
116 Feldthurns,2.470,32,20,9,0,1,2,0
117 Wengen,1.228,1,1,0,0,0,0,0
118 U.L.Frau i.W.-St.Felix,779,4,3,0,1,0,0,0
